caller,seasons,n,actual,resid,epa
Ben McAdoo,1,976,23.6680327868852,14.564761587182,-0.0763905799058347
Brian Johnson,1,1165,20.5150214592275,11.3617689493052,0.00831719135521845
Shane Steichen,4,4488,19.3181818181818,9.67676488910064,-0.0038345184428719
Ken Dorsey,3,2606,17.4597083653108,8.03037525573853,-0.0141883349769437
Andy Reid,4,4948,17.461600646726,7.44373561892917,0.0358192324217686
Matt LaFleur,4,4386,16.780665754674,6.91969920338565,0.0264649744942593
Mike Kafka,3,3351,15.4580722172486,6.18011271701951,-0.0748189721596676
Dave Canales,3,3244,13.9950678175093,4.63550192956084,-0.0723384486970123
Ryan Grubb,1,1030,13.9805825242718,4.4688819260653,-0.0616184135455891
Kliff Kingsbury,3,3454,13.288940359004,3.59330381533442,-0.00695518575315953
Joe Brady,3,2944,13.2133152173913,2.89163105862035,0.104268036297862
Bill O'Brien,1,1020,11.5686274509804,2.82381810777476,-0.234160759532824
Kellen Moore,4,4792,12.3747913188648,2.79220751000261,-0.0203284861414551
Eric Bieniemy,1,1060,11.6037735849057,2.72831772489226,-0.144154317547427
Zac Taylor,4,4426,12.4039765024853,2.62592643734203,-0.00273966249442537
Luke Getsy,3,2638,11.5617892342684,2.48811274111678,-0.109672262774282
Shane Waldron,3,2678,11.6878267363704,2.46918476022373,-0.0553795384926753
Tanner Engstrand,1,1010,11.3861386138614,2.44152352667995,-0.178643121187677
Joe Lombardi,1,1223,11.7743254292723,2.41011389202224,-0.0155217843926007
Matt Canada,2,1764,11.1111111111111,1.97380188368936,-0.0781702192309118
Alex Van Pelt,1,1027,10.6134371957157,1.26952613316685,-0.129934377427836
Frank Reich,2,1125,9.95555555555556,1.01411411232419,-0.187423034326898
Scott Turner,2,1657,10.0784550392275,0.929821742160095,-0.10454175255009
Press Taylor,2,2106,10.1614434947768,0.892763800834143,-0.0876404135900348
Bo Hardegree,2,1366,9.73645680819911,0.787449676044394,-0.136354580214438
Nathaniel Hackett,3,1951,9.58482829318298,0.713374333738749,-0.226064336067638
Mike LaFleur,1,1074,9.1247672253259,0.70572037430173,-0.132703100615554
Brian Daboll,1,1063,9.59548447789276,0.654882909589899,-0.1495515911429
Thomas Brown,2,1055,9.19431279620852,0.463012326972202,-0.165321844645833
Doug Pederson,1,1202,9.65058236272879,0.200992136552141,0.00644171281334958
Josh Grizzard,1,1068,9.64419475655431,-0.267161654172392,-0.0427660952480889
Kevin Patullo,1,1082,9.79667282809614,-0.502560259481658,-0.025751657777099
Arthur Smith,4,4273,9.01006318745611,-0.521230016908708,-0.066630543815201
Pep Hamilton,1,1015,8.47290640394085,-0.526758763007857,-0.211955513506027
Sean Payton,3,3331,9.15640948664065,-0.53184715634214,-0.0433030335086674
Todd Monken,3,3358,9.20190589636689,-0.696906370447501,0.063909905808581
Mike McCarthy,2,2315,8.38012958963283,-1.0456710522411,-0.0261877861859568
Tim Kelly,1,1002,7.58483033932137,-1.1461151176608,-0.0989056803834926
Matt Patricia,1,1006,7.85288270377731,-1.36503029330478,-0.0990160155771058
Todd Downing,2,1686,7.1767497034401,-2.17122359234179,-0.0767196443576523
Kevin O'Connell,4,4329,6.90690690690691,-2.56993514598603,-0.0570561846829634
Kevin Stefanski,4,3329,6.33823971162511,-2.61824902533964,-0.147572884717707
Pete Carmichael,2,2136,6.32022471910112,-2.82076019432949,-0.0508714846033629
Brian Schottenheimer,1,1120,6.78571428571427,-3.18396874657734,0.061554416539314
Zac Robinson,2,2134,6.51358950328023,-3.42688434211766,-0.0161515211155366
Liam Coen,2,2285,6.65207877461707,-3.55058052151156,0.0447417032645597
Drew Petzing,3,3178,5.82127123977343,-3.55131598541138,-0.0322547210871016
Brian Callahan,1,1032,5.13565891472869,-4.19896226994469,-0.153950883209157
Klint Kubiak,3,2731,5.49249359209081,-4.2881053837793,-0.0522689169889343
Ben Johnson,4,4874,4.82150184653262,-4.90236703889612,0.0691890224960016
Greg Roman,3,3343,4.93568650912354,-4.94783837494482,-0.0375159457624021
Mike McDaniel,4,4221,4.16962805022506,-5.36999594990771,-0.0242855924238347
Byron Leftwich,1,1239,3.79338175948346,-5.54292341994905,-0.0746841509258967
Bobby Slowik,2,2367,2.99957752429236,-6.19189735815003,-0.0628304061276057
Sean McVay,4,4537,3.65880537800308,-6.21468620525675,0.00945880324896938
Josh McDaniels,3,2816,2.23721590909091,-7.46795650647983,-0.0134816793344552
Nick Caley,1,1226,2.36541598694944,-7.75182015489677,-0.0545801829368554
Kyle Shanahan,4,4670,1.82012847965739,-8.06411009910068,0.0517476305463785
