caller,seasons,n,actual,resid,epa
Shane Waldron,3,797,59.8494353826851,9.62640566837832,-0.06087594617677
Sean Payton,3,1047,59.5033428844317,9.1062379486809,-0.0985788058510909
Joe Brady,3,1060,58.3962264150944,8.34924635178639,0.0153305705926679
Mike McCarthy,2,700,55.7142857142857,4.90073128683226,-0.0867105912204299
Ben Johnson,4,1792,53.9620535714286,3.74087865431128,0.00281578784051824
Matt LaFleur,4,1632,52.8186274509804,2.43600209371424,-0.0526791077869597
Greg Roman,3,1131,52.1662245800177,1.94659689482496,-0.0334436048096446
Todd Monken,3,1351,51.739452257587,1.52242745539598,0.0653552347222007
Todd Downing,2,620,51.7741935483871,1.21253601485683,-0.0992069105347319
Nick Caley,1,417,51.7985611510791,1.09612686599759,-0.135203133616373
Nathaniel Hackett,2,488,51.2295081967213,1.06902865723508,-0.189220311501842
Kevin O'Connell,4,1335,51.6104868913858,1.04646555939864,-0.108795915287309
Josh McDaniels,2,743,50.8748317631225,0.790693212806926,-0.0581457435202313
Zac Robinson,2,826,51.089588377724,0.756824287173243,-0.0269022752309879
Sean McVay,4,1543,51.0693454309786,0.681004094289489,-0.0308689343092972
Kevin Stefanski,3,1015,50.8374384236453,0.276806507204559,-0.0774724471928745
Pete Carmichael,2,791,50.6953223767383,0.258725399313922,-0.0837869310772751
Press Taylor,2,646,51.0835913312694,0.256874133189765,-0.147354169607439
Kellen Moore,4,1706,50.4103165298945,0.200244141491472,-0.0666860199717921
Zac Taylor,4,1235,50.2024291497976,0.126660594090763,-0.0695469140342855
Klint Kubiak,3,1011,50.3461918892186,-0.045231400328489,-0.0801170040972154
Scott Turner,2,582,50,-0.362936107768226,-0.134044890803256
Shane Steichen,4,1601,49.4066208619613,-0.976060931195617,-0.0171012627304084
Mike McDaniel,4,1397,49.7494631352899,-1.04702200817909,-0.0461088620864905
Kliff Kingsbury,3,1163,49.4411006018917,-1.05458374486744,-0.0150340232206949
Bo Hardegree,2,445,50.1123595505618,-1.11747359291891,-0.0861284722772877
Mike Kafka,3,1133,49.2497793468667,-1.16964890066754,-0.0802254573312988
Andy Reid,4,1505,49.2358803986711,-1.23538399455555,-0.0662313030692332
Drew Petzing,3,1027,48.9776046738072,-1.53624926128778,-0.0223188537563819
Arthur Smith,4,1664,48.6177884615385,-1.62105500124967,-0.0633073412352061
Liam Coen,2,795,48.3018867924528,-1.68153853161529,-0.0288917852085342
Luke Getsy,3,979,47.5995914198161,-3.20429292348603,-0.0873285701405162
Bobby Slowik,2,774,47.1576227390181,-3.51991474397422,-0.136033361460003
Dave Canales,3,1087,46.8261269549218,-3.71512157059419,-0.0990766959492779
Matt Canada,2,593,45.8684654300169,-4.4077236123672,-0.0324108402541576
Ken Dorsey,3,761,45.8607095926413,-4.85477174158634,-0.0614411495381212
Kyle Shanahan,4,1647,45.3551912568306,-5.04060623207162,-0.0485994303378465
