caller,season,n,actual,expected,epa,resid
Andy Reid,2022,389,47.0437017994859,50.4411503710906,-0.0386842282771453,-3.39744857160474
Pete Carmichael,2022,394,51.0152284263959,50.3134831937437,-0.11796247687777,0.701745232652272
Zac Taylor,2022,342,52.3391812865497,49.6261763293841,-0.0643381810153435,2.71300495716564
Mike LaFleur,2022,316,42.7215189873418,50.3003365819967,-0.0897436359826524,-7.57881759465496
Sean McVay,2022,327,48.0122324159022,50.6749911136948,-0.0545871780234013,-2.66275869779264
Mike McDaniel,2022,314,50.9554140127389,50.7432923670028,-0.00199119016456913,0.212121645736097
Kevin Stefanski,2022,421,52.2565320665083,50.1675034220598,-0.0129233085751673,2.0890286444485
Kyle Shanahan,2022,465,45.3763440860215,50.23757309042,-0.0466727301318153,-4.86122900439846
Greg Roman,2022,426,53.0516431924883,50.2480698163521,0.017103820470787,2.80357337613621
Matt Canada,2022,379,45.910290237467,49.9952533471553,0.00291519391898429,-4.08496310968827
Ben McAdoo,2022,381,46.4566929133858,50.313061546153,-0.0141691794604298,-3.85636863276715
Byron Leftwich,2022,305,49.5081967213115,50.5235733849103,-0.131815690315161,-1.01537666359886
Shane Waldron,2022,326,58.8957055214724,50.0948046888311,-0.0211745361494688,8.80090083264133
Shane Steichen,2022,467,49.4646680942184,50.3326340584479,0.0593716157899425,-0.867965964229491
Kevin O'Connell,2022,344,50,50.3331156577482,-0.134744958107381,-0.333115657748174
Frank Reich,2022,172,50,50.7351047597652,-0.268987634154253,-0.735104759765228
Pep Hamilton,2022,310,49.6774193548387,50.4750365499527,-0.211102570737562,-0.797617195114022
Joe Lombardi,2022,324,50.3086419753087,50.1281004721,-0.0416432847901257,0.180541503208659
Scott Turner,2022,447,53.0201342281879,50.3281619258108,-0.130763778478632,2.69197230237709
Kliff Kingsbury,2022,346,45.9537572254335,50.7563396685385,-0.0375894075959403,-4.80258244310501
Ken Dorsey,2022,339,45.1327433628319,50.4561438145539,-0.0520389007959397,-5.32340045172202
Doug Pederson,2022,378,48.9417989417989,50.4220296623846,-0.0530490721304895,-1.48023072058562
Josh McDaniels,2022,327,48.9296636085627,50.1271362060436,-0.0469776546918654,-1.19747259748092
Matt Patricia,2022,340,59.1176470588235,50.6801239970852,-0.0568977855584202,8.4375230617383
Matt LaFleur,2022,375,50.1333333333334,50.7157385826111,-0.0214527391791344,-0.582405249277741
Mike Kafka,2022,414,47.5845410628019,50.1763289461389,-0.0308527441848302,-2.59178788333698
Arthur Smith,2022,459,52.9411764705883,50.495479634125,0.0341241909333044,2.44569683646326
Todd Downing,2022,398,54.2713567839196,50.4045883614813,-0.120050114191058,3.86676842243827
Ben Johnson,2022,398,54.2713567839196,50.1263687433909,-0.0524424832669933,4.14498804052871
Nathaniel Hackett,2022,189,56.0846560846561,50.2433944158453,-0.196973711725265,5.84126166881077
Luke Getsy,2022,418,45.933014354067,50.8062883569864,-0.0319784277221233,-4.87327400291936
Kellen Moore,2022,477,51.9916142557652,50.254544734455,-0.0165900551954157,1.73706952131022
Parks Frazier,2022,180,52.7777777777778,50.3926609456539,-0.049154206779268,2.38511683212387
Klint Kubiak,2022,159,50.9433962264151,50.151605032525,-0.109897444223833,0.791791193890113
Eric Bieniemy,2023,281,52.6690391459075,50.3737814061582,-0.161155738175128,2.29525773974925
Frank Reich,2023,162,50.6172839506173,50.5683758008627,-0.185687981637908,0.0489081497545811
Bobby Slowik,2023,387,48.8372093023256,50.7232095690045,-0.171890015345673,-1.88600026667888
Nathaniel Hackett,2023,299,48.1605351170569,50.1080684637944,-0.184319332765297,-1.94753334673752
Matt Canada,2023,214,45.7943925233645,50.773734035336,-0.0949742372243482,-4.97934151197148
Arthur Smith,2023,431,45.9396751740139,49.8496726950471,-0.117671122026831,-3.90999752103314
Matt LaFleur,2023,407,50.1228501228501,50.5579042932618,-0.0459882020309605,-0.435054170411689
Kevin Stefanski,2023,435,48.0459770114943,50.9273319751367,-0.150861572345783,-2.88135496364242
Zac Taylor,2023,284,51.7605633802817,50.5980785568835,-0.113054063879478,1.16248482339818
Mike Kafka,2023,324,53.0864197530864,50.9785584829472,-0.217732142473076,2.10786127013925
Andy Reid,2023,396,47.7272727272727,50.7259672187796,-0.118140974797007,-2.99869449150684
Sean McVay,2023,399,49.874686716792,50.272726415094,-0.0142968597362065,-0.398039698302007
Luke Getsy,2023,397,49.8740554156171,50.7292139665306,-0.0436770857806769,-0.855158550913451
Mike McCarthy,2023,370,51.8918918918919,50.3365154363014,-0.0396157097977561,1.55537645559053
Todd Monken,2023,453,52.9801324503312,50.4590465730389,0.0561019998726332,2.52108587729223
Press Taylor,2023,335,52.5373134328358,50.6383987149196,-0.205938735648767,1.89891471791622
Shane Steichen,2023,388,54.8969072164949,50.8227206689795,-0.1119875467584,4.07418654751533
Ben Johnson,2023,479,52.1920668058455,50.2802977668965,-1.17535008768014e-05,1.91176903894898
Mike McDaniel,2023,375,51.4666666666667,50.8150672674179,0.0582785519113142,0.651599399248745
Shane Waldron,2023,290,64.4827586206897,50.4794703989193,-0.056911220722671,14.0032882217703
Sean Payton,2023,316,64.873417721519,50.4585063627249,-0.129588548942835,14.4149113587941
Kellen Moore,2023,327,48.3180428134557,50.5878615452244,-0.209506358142475,-2.26981873176878
Dave Canales,2023,374,47.5935828877005,50.3424769018423,-0.214493540827842,-2.74889401414178
Brian Johnson,2023,383,45.9530026109661,50.3093387377169,-0.0705240609382058,-4.35633612675082
Tim Kelly,2023,354,46.8926553672316,50.226031597388,-0.0498532859219165,-3.33337623015636
Ken Dorsey,2023,232,50.8620689655172,50.4503568313245,0.0210066666055855,0.411712134192719
Bill O'Brien,2023,332,53.0120481927711,50.8055125464158,-0.120071780566317,2.20653564635531
Kyle Shanahan,2023,436,39.6788990825688,50.5161917059247,0.00225110305900467,-10.8372926233559
Kevin O'Connell,2023,308,52.9220779220779,50.6736971534692,-0.147612863740364,2.24838076860875
Pete Carmichael,2023,397,50.3778337531486,50.5587804302461,-0.0498696387714944,-0.180946677097438
Drew Petzing,2023,373,52.0107238605898,50.6518956323731,0.00604170908397403,1.35882822821672
Thomas Brown,2023,196,40.8163265306123,50.4426689628436,-0.162198552215586,-9.6263424322313
Bo Hardegree,2023,189,49.7354497354497,51.4284624782189,-0.0698362030680218,-1.69301274276916
Joe Brady,2023,187,51.8716577540107,50.5094600871285,-0.0190520614863716,1.3621976668822
Mike Sullivan,2023,176,44.3181818181818,50.5809581923214,-0.171798679723659,-6.26277637413958
Joe Brady,2024,433,56.1200923787529,50.2427684517435,0.043190435882804,5.87732392700936
Arthur Smith,2024,426,47.6525821596244,50.5387205123342,-0.131991578615817,-2.88613835270975
Andy Reid,2024,389,52.9562982005141,50.4657841510209,-0.0371288724224491,2.49051404949326
Drew Petzing,2024,367,46.5940054495913,50.3100139649752,0.0337200711610695,-3.71600851538397
Sean Payton,2024,345,59.4202898550725,50.763139543326,-0.115325257479065,8.65715031174646
Klint Kubiak,2024,349,53.8681948424069,50.2774666834697,-0.0389742546402622,3.59072815893717
