caller,seasons,n,actual,resid,epa
Matt Canada,2,1764,16.0430839002268,10.182412411997,-0.0781702192309118
Mike LaFleur,1,1074,14.2458100558659,9.53624793218865,-0.132703100615554
Scott Turner,2,1657,13.2770066385033,7.74271632443528,-0.10454175255009
Sean McVay,4,4537,12.5633678642275,6.06185524467169,0.00945880324896938
Doug Pederson,1,1202,9.48419301164725,3.73224534369198,0.00644171281334958
Liam Coen,2,2285,10.2844638949672,3.55374051431702,0.0447417032645597
Frank Reich,2,1125,8,2.7546056988856,-0.187423034326898
Luke Getsy,3,2638,8.26383623957544,2.58986356344171,-0.109672262774282
Shane Waldron,3,2678,7.58028379387604,1.65248413570139,-0.0553795384926753
Andy Reid,4,4948,8.48827809215845,1.62165048028459,0.0358192324217686
Nathaniel Hackett,3,1951,6.970784213224,1.48887425389711,-0.226064336067638
Kevin O'Connell,4,4329,7.73850773850774,1.48221884939278,-0.0570561846829634
Mike McDaniel,4,4221,7.58114190950011,1.42461889582373,-0.0242855924238347
Pete Carmichael,2,2136,7.2565543071161,1.37808213912104,-0.0508714846033629
Bill O'Brien,1,1020,6.66666666666667,0.82850363046187,-0.234160759532824
Brian Schottenheimer,1,1120,7.41071428571429,0.787274627364246,0.061554416539314
Matt LaFleur,4,4386,7.18194254445965,0.690767523667315,0.0264649744942593
Brian Callahan,1,1032,6.29844961240311,0.652854073517012,-0.153950883209157
Bo Hardegree,2,1366,6.07613469985359,0.557905719569495,-0.136354580214438
Todd Monken,3,3358,7.26622989874925,0.550870092886869,0.063909905808581
Josh Grizzard,1,1068,6.83520599250938,0.343449160834695,-0.0427660952480889
Tim Kelly,1,1002,6.3872255489022,0.25039694527352,-0.0989056803834926
Kyle Shanahan,4,4670,6.80942184154176,0.225311709264777,0.0517476305463785
Ben Johnson,4,4874,6.60648338120641,0.159573428304442,0.0691890224960016
Thomas Brown,2,1055,5.30805687203791,-0.0353564147206326,-0.165321844645833
Todd Downing,2,1686,5.87188612099644,-0.0402657173517086,-0.0767196443576523
Kellen Moore,4,4792,6.13522537562605,-0.130756283102644,-0.0203284861414551
Kliff Kingsbury,3,3454,5.7614360162131,-0.267853024515429,-0.00695518575315953
Bobby Slowik,2,2367,5.95690747782002,-0.276976133857868,-0.0628304061276057
Greg Roman,3,3343,6.01256356565959,-0.419449310722186,-0.0375159457624021
Klint Kubiak,3,2731,5.56572683998536,-0.627413397310118,-0.0522689169889343
Mike Kafka,3,3351,5.07311250373024,-0.659958215319063,-0.0748189721596676
Joe Lombardi,1,1223,4.98773507767782,-0.677791432900571,-0.0155217843926007
Dave Canales,3,3244,5.20961775585696,-0.795236569474734,-0.0723384486970123
Eric Bieniemy,1,1060,4.81132075471699,-0.97768042816446,-0.144154317547427
Press Taylor,2,2106,5.08072174738842,-0.981255556385544,-0.0876404135900348
Kevin Stefanski,4,3329,4.53589666566537,-1.13701197887975,-0.147572884717707
Byron Leftwich,1,1239,3.954802259887,-1.29180732349936,-0.0746841509258967
Josh McDaniels,3,2816,5.00710227272728,-1.29962583011382,-0.0134816793344552
Mike McCarthy,2,2315,4.92440604751619,-1.30276942916304,-0.0261877861859568
Tanner Engstrand,1,1010,3.76237623762376,-1.37993584164547,-0.178643121187677
Arthur Smith,4,4273,4.3997191668617,-1.85972604872918,-0.066630543815201
Nick Caley,1,1226,4.89396411092985,-1.89114089359774,-0.0545801829368554
Ben McAdoo,1,976,3.48360655737704,-1.95340626832761,-0.0763905799058347
Ken Dorsey,3,2606,4.10590943975441,-2.02919416443097,-0.0141883349769437
Ryan Grubb,1,1030,4.07766990291262,-2.05034071623655,-0.0616184135455891
Drew Petzing,3,3178,3.68156073001888,-2.25169823296624,-0.0322547210871016
Pep Hamilton,1,1015,2.75862068965517,-2.41604071516508,-0.211955513506027
Matt Patricia,1,1006,2.98210735586481,-2.5026745836169,-0.0990160155771058
Brian Daboll,1,1063,3.19849482596424,-2.5865963101869,-0.1495515911429
Zac Robinson,2,2134,3.4676663542643,-2.98853847998474,-0.0161515211155366
Sean Payton,3,3331,3.39237466226358,-3.00457504907435,-0.0433030335086674
Alex Van Pelt,1,1027,2.33690360272639,-3.43175913463867,-0.129934377427836
Zac Taylor,4,4426,3.02756439222775,-3.44017545195608,-0.00273966249442537
Shane Steichen,4,4488,2.80748663101604,-3.62687577823592,-0.0038345184428719
Kevin Patullo,1,1082,2.77264325323475,-4.01153515741598,-0.025751657777099
Joe Brady,3,2944,2.58152173913043,-4.41708055516796,0.104268036297862
Brian Johnson,1,1165,1.63090128755365,-4.79653640876049,0.00831719135521845
