caller,seasons,n,actual,resid,epa
Ben Johnson,4,4874,48.9125974558884,15.6248087462645,0.0691890224960016
Ben McAdoo,1,976,45.6967213114754,14.8812071718685,-0.0763905799058347
Sean McVay,4,4537,47.5424289177871,14.7569429399861,0.00945880324896938
Klint Kubiak,3,2731,45.4412303185646,14.3705000062836,-0.0522689169889343
Kevin O'Connell,4,4329,46.3155463155464,14.0872440065255,-0.0570561846829634
Josh McDaniels,3,2816,45.7386363636364,13.8005154561473,-0.0134816793344552
Pep Hamilton,1,1015,37.832512315271,10.5093431338816,-0.211955513506027
Bobby Slowik,2,2367,40.2196873679763,8.5319091138313,-0.0628304061276057
Nathaniel Hackett,3,1951,36.6478728856997,8.4038013200095,-0.226064336067638
Bo Hardegree,2,1366,35.5051244509517,8.10507743731536,-0.136354580214438
Nick Caley,1,1226,39.0701468189233,7.56930711714867,-0.0545801829368554
Brian Schottenheimer,1,1120,38.125,7.38317545786099,0.061554416539314
Kyle Shanahan,4,4670,41.4989293361884,6.81617276054531,0.0517476305463785
Tim Kelly,1,1002,37.125748502994,6.17901327147962,-0.0989056803834926
Todd Downing,2,1686,35.9430604982206,6.01130092094244,-0.0767196443576523
Joe Brady,3,2944,41.1345108695652,5.96784606854984,0.104268036297862
Sean Payton,3,3331,37.7063944761333,5.93290992427299,-0.0433030335086674
Josh Grizzard,1,1068,35.1123595505618,5.78642935498204,-0.0427660952480889
Mike LaFleur,1,1074,32.4953445065177,5.77654121523845,-0.132703100615554
Liam Coen,2,2285,38.4682713347921,5.13744539449795,0.0447417032645597
Bill O'Brien,1,1020,34.6078431372548,5.03818026969806,-0.234160759532824
Kevin Stefanski,4,3329,34.3346350255332,5.01668154399857,-0.147572884717707
Pete Carmichael,2,2136,36.4232209737828,4.3162124273315,-0.0508714846033629
Joe Lombardi,1,1223,34.9959116925593,4.02665844469658,-0.0155217843926007
Matt Patricia,1,1006,34.3936381709741,3.13075988161859,-0.0990160155771058
Tanner Engstrand,1,1010,26.6336633663366,2.98912733343735,-0.178643121187677
Brian Daboll,1,1063,29.7271872060207,2.40768774010429,-0.1495515911429
Alex Van Pelt,1,1027,29.9902629016553,2.10053206379714,-0.129934377427836
Dave Canales,3,3244,30.6411837237978,1.11275266563264,-0.0723384486970123
Byron Leftwich,1,1239,30.1856335754641,0.355096586549212,-0.0746841509258967
Arthur Smith,4,4273,31.1490755909197,0.0407477565285908,-0.066630543815201
Matt Canada,2,1764,30.9523809523809,-0.384342308286168,-0.0781702192309118
Shane Waldron,3,2678,30.6198655713219,-0.497465664305275,-0.0553795384926753
Mike Kafka,3,3351,28.5586392121755,-0.542347922636831,-0.0748189721596676
Drew Petzing,3,3178,28.4140969162996,-0.592314595939154,-0.0322547210871016
Luke Getsy,3,2638,27.7482941622441,-1.02456611726069,-0.109672262774282
Scott Turner,2,1657,28.4248642124321,-1.26448149859456,-0.10454175255009
Mike McCarthy,2,2315,31.3606911447084,-1.37813520091778,-0.0261877861859568
Thomas Brown,2,1055,24.8341232227488,-1.44389384017895,-0.165321844645833
Brian Callahan,1,1032,26.3565891472868,-1.46650228540638,-0.153950883209157
Matt LaFleur,4,4386,31.1217510259918,-2.1478216808212,0.0264649744942593
Mike McDaniel,4,4221,26.0127931769723,-5.64278920812789,-0.0242855924238347
Doug Pederson,1,1202,24.2928452579035,-6.75756309509583,0.00644171281334958
Kellen Moore,4,4792,25.6886477462437,-7.05147029883317,-0.0203284861414551
Ryan Grubb,1,1030,23.3009708737864,-7.21313122820416,-0.0616184135455891
Ken Dorsey,3,2606,25.4412893323101,-7.33841320158304,-0.0141883349769437
Todd Monken,3,3358,27.3079213817749,-7.37865466235938,0.063909905808581
Greg Roman,3,3343,25.2467843254562,-7.52543965758515,-0.0375159457624021
Press Taylor,2,2106,24.2640075973409,-7.53182485506845,-0.0876404135900348
Kevin Patullo,1,1082,23.5674676524954,-8.5141956108552,-0.025751657777099
Frank Reich,2,1125,16.8,-9.28509659547771,-0.187423034326898
Zac Robinson,2,2134,19.7750702905341,-11.2340062010127,-0.0161515211155366
Eric Bieniemy,1,1060,18.1132075471698,-11.6622487499756,-0.144154317547427
Andy Reid,4,4948,20.6143896523848,-14.5137452265295,0.0358192324217686
Zac Taylor,4,4426,18.075011296882,-15.0543253169801,-0.00273966249442537
Shane Steichen,4,4488,14.9064171122995,-18.0030879660558,-0.0038345184428719
Kliff Kingsbury,3,3454,10.0752750434279,-20.3500581469447,-0.00695518575315953
Brian Johnson,1,1165,6.78111587982831,-26.722848221236,0.00831719135521845
