caller,season,n,actual,expected,epa,resid
Andy Reid,2022,1280,21.015625,37.4440040203808,0.14193307105852,-16.4283790203808
Pete Carmichael,2022,1015,34.8768472906404,31.0625473934506,-0.0652100017780597,3.81429989718987
Zac Taylor,2022,1241,20.9508460918614,35.5292585489845,0.0245996116961475,-14.5784124571231
Mike LaFleur,2022,1074,32.4953445065177,26.7188032912793,-0.132703100615554,5.77654121523845
Sean McVay,2022,1001,47.6523476523477,29.0891472848233,-0.107322733542257,18.5632003675245
Mike McDaniel,2022,1078,34.0445269016698,31.6109093414544,-0.00909615657249123,2.43361756021539
Kevin Stefanski,2022,1116,41.4874551971326,30.373393465522,-0.0282358533475794,11.1140617316106
Kyle Shanahan,2022,1219,38.8022969647252,35.0084599278832,0.0316208621580236,3.79383703684195
Greg Roman,2022,1118,12.9695885509839,33.5950352966265,-0.0406493430495701,-20.6254467456426
Matt Canada,2022,1109,32.73219116321,31.4060081811152,-0.0298985390981869,1.32618298209479
Ben McAdoo,2022,976,45.6967213114754,30.8155141396069,-0.0763905799058347,14.8812071718685
Byron Leftwich,2022,1239,30.1856335754641,29.8305369889149,-0.0746841509258967,0.355096586549212
Shane Waldron,2022,1107,32.4299909665763,31.4784921402433,-0.0346671444041671,0.951498826332983
Shane Steichen,2022,1335,10.7116104868914,36.2235353514901,0.0676525464246555,-25.5119248645987
Kevin O'Connell,2022,1179,46.0559796437659,30.6777594502829,-0.0236411534306657,15.378220193483
Frank Reich,2022,595,21.3445378151261,26.4170852833341,-0.185126245566526,-5.07254746820806
Pep Hamilton,2022,1015,37.832512315271,27.3231691813895,-0.211955513506027,10.5093431338816
Joe Lombardi,2022,1223,34.9959116925593,30.9692532478627,-0.0155217843926007,4.02665844469658
Scott Turner,2022,1140,28.2456140350877,30.1821743900349,-0.115852026948134,-1.93656035494717
Kliff Kingsbury,2022,1144,9.8776223776224,27.0852613298042,-0.110327349232439,-17.2076389521818
Ken Dorsey,2022,1171,26.3023057216055,34.7462102677951,0.0380250349017314,-8.44390454618967
Doug Pederson,2022,1202,24.2928452579035,31.0504083529993,0.00644171281334958,-6.75756309509583
Josh McDaniels,2022,1049,47.1877979027645,29.0758405220131,-0.00160729643436886,18.1119573807514
Matt Patricia,2022,1006,34.3936381709741,31.2628782893555,-0.0990160155771058,3.13075988161859
Matt LaFleur,2022,1051,31.2083729781161,31.9984608529655,-0.0436920099470813,-0.790087874849359
Mike Kafka,2022,1209,34.9875930521092,29.9883382998459,-0.00589714828197677,4.99925475226328
Arthur Smith,2022,1011,25.7171117705242,31.3662086176142,-0.023988441765883,-5.64909684708993
Todd Downing,2022,992,44.7580645161291,29.222839408495,-0.115600711661823,15.5352251076341
Ben Johnson,2022,1092,48.4432234432235,33.2368292638115,0.0463011502399154,15.206394179412
Nathaniel Hackett,2022,582,38.4879725085911,30.1949651456995,-0.152264326782833,8.29300736289165
Luke Getsy,2022,993,34.2396777442095,27.4374911011303,-0.0816923870338359,6.80218664307922
Kellen Moore,2022,1243,43.765084473049,33.081034944117,0.00332007041142502,10.684049528932
Parks Frazier,2022,508,28.1496062992126,29.7666112562334,-0.188708273602254,-1.61700495702075
Klint Kubiak,2022,496,30.0403225806451,28.5302380290006,-0.152961720156694,1.5100845516445
Eric Bieniemy,2023,1060,18.1132075471698,29.7754562971454,-0.144154317547427,-11.6622487499756
Frank Reich,2023,530,11.6981132075472,25.7123923138276,-0.190001504727692,-14.0142791062804
Bobby Slowik,2023,1174,39.1822827938671,31.3226231375631,-0.0501482725953386,7.85965965630398
Nathaniel Hackett,2023,1053,36.9420702754036,26.5763803750475,-0.297866456236041,10.3656899003562
Matt Canada,2023,655,27.93893129771,31.2194148991755,-0.159900437959449,-3.28048360146553
Arthur Smith,2023,1092,22.985347985348,30.7148436979892,-0.12024077541287,-7.72949571264118
Matt LaFleur,2023,1168,31.1643835616439,34.3839971238009,0.0380202614812328,-3.21961356215702
Kevin Stefanski,2023,1257,33.890214797136,31.3709470607909,-0.196505762273616,2.51926773634509
Zac Taylor,2023,1048,15.7442748091602,32.9761529296907,-0.0520928820856413,-17.2318781205305
Mike Kafka,2023,1057,26.5846736045412,27.9041925932668,-0.207701060739448,-1.31951898872557
Josh McDaniels,2023,464,44.1810344827586,30.8879875696911,-0.160535290092631,13.2930469130676
Andy Reid,2023,1354,18.6115214180207,35.2125766307929,-0.0285969784516333,-16.6010552127722
Sean McVay,2023,1149,37.7719756309835,33.0340437239905,0.0377570325447921,4.73793190699301
Luke Getsy,2023,1097,23.2452142206016,31.7629246936844,-0.0756938457981416,-8.51771047308281
Mike McCarthy,2023,1211,34.5995045417011,35.9121232418325,0.0678919071414683,-1.31261870013143
Todd Monken,2023,1200,16.0833333333334,36.7873354713277,0.0178838009717099,-20.7040021379944
Press Taylor,2023,1114,19.8384201077199,33.5782190444344,-0.112236153513287,-13.7397989367145
Shane Steichen,2023,1094,9.78062157221211,31.8686293525761,-0.0649594777939212,-22.088007780364
Ben Johnson,2023,1335,45.3183520599251,34.3543829075636,0.0559160951462186,10.9639691523615
Mike McDaniel,2023,1112,20.0539568345324,34.713640099512,0.0338144980064461,-14.6596832649796
Shane Waldron,2023,995,28.8442211055277,31.0315258591319,-0.0203010458677029,-2.18730475360426
Sean Payton,2023,1016,43.0118110236221,30.6875864434327,-0.0986201071843145,12.3242245801893
Kellen Moore,2023,1106,19.5298372513562,32.0594117575903,-0.0830491898456343,-12.5295745062341
Dave Canales,2023,1176,26.1904761904761,32.0342430047023,-0.0483911459834704,-5.84376681422612
Brian Johnson,2023,1165,6.78111587982831,33.5039641010643,0.00831719135521845,-26.722848221236
Tim Kelly,2023,1002,37.125748502994,30.9467352315144,-0.0989056803834926,6.17901327147962
Ken Dorsey,2023,761,26.018396846255,36.0644289395807,0.0969107347208908,-10.0460320933258
Bill O'Brien,2023,1020,34.6078431372548,29.5696628675568,-0.234160759532824,5.03818026969806
Kyle Shanahan,2023,1225,40.5714285714286,38.4221944859137,0.115305240187908,2.14923408551484
Kevin O'Connell,2023,1071,45.0046685340803,31.0594446194705,-0.0511270427952908,13.9452239146098
Pete Carmichael,2023,1121,37.8233719892953,33.0527070926562,-0.0378887951008498,4.77066489663903
Drew Petzing,2023,1068,28.4644194756554,28.2766385884669,-0.0911557734038358,0.187780887188502
Thomas Brown,2023,566,22.4381625441696,27.2944611100671,-0.243504617659395,-4.85629856589747
Bo Hardegree,2023,546,45.0549450549451,33.4096290522098,-0.0703559128009805,11.6453160027352
Joe Brady,2023,498,29.9196787148594,37.042399439035,0.0373612660484529,-7.12272072417556
Mike Sullivan,2023,437,34.7826086956522,34.7099514313157,-0.0745503521056579,0.0726572643364705
Joe Brady,2024,1224,36.6013071895426,35.6104773572179,0.14759383099671,0.990829832324685
Arthur Smith,2024,1126,41.651865008881,32.2751392524145,-0.0696662720321761,9.37672575646645
Andy Reid,2024,1253,22.9050279329609,35.7033846908043,0.0261160762711517,-12.7983567578434
Drew Petzing,2024,1036,28.4749034749035,32.3226958317062,0.0381167285651341,-3.84779235680271
Sean Payton,2024,1097,36.2807657247037,32.6823524347784,-0.0288076373335054,3.59841328992528
Klint Kubiak,2024,1032,42.5387596899224,29.2475527887235,-0.0655454404935483,13.2912069011989
Brian Callahan,2024,1032,26.3565891472868,27.8230914326932,-0.153950883209157,-1.46650228540638
Alex Van Pelt,2024,1027,29.9902629016553,27.8897308378581,-0.129934377427836,2.10053206379714
Mike McCarthy,2024,1104,27.8079710144927,29.2579725944434,-0.129385710660152,-1.45000157995063
Kevin Stefanski,2024,444,19.5945945945946,25.4653480178981,-0.217131233379782,-5.87075342330347
Ryan Grubb,2024,1030,23.3009708737864,30.5141021019906,-0.0616184135455891,-7.21313122820416
Sean McVay,2024,1161,45.8225667527993,33.272565713571,-0.00152933888673131,12.5500010392284
Kellen Moore,2024,1368,17.2514619883041,36.9075155641839,0.075619408926754,-19.6560535758798
Shane Steichen,2024,1041,12.4879923150817,30.8448259924484,-0.0805640370172592,-18.3568336773667
Greg Roman,2024,1071,33.5200746965453,34.3501843765324,-0.012123267954157,-0.830109679987132
Bobby Slowik,2024,1193,41.2405699916178,32.0471178240253,-0.0753105610034495,9.19345216759247
Mike McDaniel,2024,1082,21.7190388170055,30.9182393202789,-0.0689632467686265,-9.19920050327333
Todd Monken,2024,1184,31.3344594594595,35.1873395494123,0.174738331449319,-3.85288008995281
Ben Johnson,2024,1186,55.0590219224284,36.0744699261553,0.141881789763978,18.984551996273
Kevin O'Connell,2024,1125,49.1555555555556,35.8729944601448,-0.0283584327126545,13.2825610954108
Luke Getsy,2024,548,25,25.2070225637583,-0.228391861374809,-0.207022563758276
Press Taylor,2024,992,29.2338709677419,29.7942410577361,-0.0600197943617055,-0.560370089994173
Brian Daboll,2024,1063,29.7271872060207,27.3194994659164,-0.1495515911429,2.40768774010429
Zac Taylor,2024,1080,16.6666666666666,35.2335638433255,0.053724149122179,-18.5668971766589
Dave Canales,2024,993,32.1248741188318,27.9054688825764,-0.0910790548570764,4.21940523625542
Kyle Shanahan,2024,1026,40.0584795321637,32.0120979131328,0.0380449224985978,8.04638161903084
Matt LaFleur,2024,1087,24.7470101195953,33.9368071237437,0.02796411665333,-9.18979700414838
Zac Robinson,2024,1086,19.244935543278,31.6547457172928,0.0112255573938182,-12.4098101740148
Nathaniel Hackett,2024,316,32.2784810126582,30.208181566264,-0.122722478050007,2.07029944639417
Kliff Kingsbury,2024,1320,8.03030303030305,33.8511379119926,0.0966919273296793,-25.8208348816896
Shane Waldron,2024,576,30.2083333333333,30.5714479512568,-0.155781830884735,-0.363114617923433
Liam Coen,2024,1138,36.9947275922671,33.4492828531243,0.0933687498437821,3.5454447391428
Todd Downing,2024,694,23.342939481268,30.9450863891413,-0.0211432484416048,-7.60214690787332
Ken Dorsey,2024,674,23.293768545994,25.6543948912706,-0.230343005849318,-2.36062634527654
Thomas Brown,2024,489,27.6073619631902,25.1015194541735,-0.0748280828346351,2.50584250901671
Scott Turner,2024,517,28.8201160541586,28.6026441751091,-0.0796022693513097,0.217471879049484
Kellen Moore,2025,1075,21.8604651162791,27.743003293742,-0.105242698189565,-5.88253817746288
Josh Grizzard,2025,1068,35.1123595505618,29.3259301955798,-0.0427660952480889,5.78642935498204
Joe Brady,2025,1222,50.2454991816693,33.957710285037,0.0881377571430467,16.2877888966324
Todd Monken,2025,974,36.2422997946612,31.4896404148927,-0.01410809229654,4.75265937976856
Liam Coen,2025,1147,39.9302528334787,33.2132985062918,-0.0035037884592024,6.71695432718683
Sean McVay,2025,1226,58.2381729200653,35.1092564574668,0.0886928047878489,23.1289164625985
Matt LaFleur,2025,1080,37.4074074074074,32.629764399543,0.0807324262721797,4.77764300786443
Kevin O'Connell,2025,954,44.7589098532495,31.1587613718574,-0.138850108975158,13.6001484813921
Kevin Stefanski,2025,512,32.6171875,25.3180958147368,-0.227236152521073,7.29909168526319
Zac Taylor,2025,1057,18.4484389782403,28.3135068803751,-0.0435975448831097,-9.86506790213481
Kevin Patullo,2025,1082,23.5674676524954,32.0816632633506,-0.025751657777099,-8.5141956108552
Ben Johnson,2025,1261,47.3433782712134,29.5817938942166,0.0346920300580848,17.7615843769968
John Morton,2025,486,52.880658436214,31.9509669922296,0.0725401298989977,20.9296914439844
Arthur Smith,2025,1044,33.6206896551724,30.0117162907303,-0.0485755268562857,3.60897336444208
Mike McDaniel,2025,949,28.7671232876713,28.9636988853751,-0.0586799974872232,-0.196575597703863
Dave Canales,2025,1075,34.1395348837209,28.2863534686134,-0.0812245938822976,5.85318141510751
Greg Roman,2025,1154,29.4627383015598,30.5106133851061,-0.0580466388001636,-1.04787508354633
Nick Caley,2025,1226,39.0701468189233,31.5008397017747,-0.0545801829368554,7.56930711714867
Andy Reid,2025,1061,19.9811498586239,31.5471408662669,0.00146663178488653,-11.565991007643
Josh McDaniels,2025,1303,45.1266308518803,34.6163971876906,0.0293246504657005,10.5102336641897
Shane Steichen,2025,1018,28.3889980353634,31.7934132883716,0.0465691188536271,-3.40441525300821
Chip Kelly,2025,644,33.0745341614907,27.8053644216643,-0.211782194230046,5.26916973982641
Drew Petzing,2025,1074,28.3054003724395,26.533159117099,-0.0415643095093028,1.77224125534046
Kliff Kingsbury,2025,990,13.030303030303,29.7172321559805,-0.0256990587319994,-16.6869291256775
Brian Schottenheimer,2025,1120,38.125,30.741824542139,0.061554416539314,7.38317545786099
Kyle Shanahan,2025,1200,46.4166666666667,32.8179665433709,0.0190271616393401,13.5987001232958
