caller,seasons,n,looks,epa
Andy Reid,4,4948,11.2357745996968,0.0358192324217686
Pete Carmichael,2,2136,14.8012775763898,-0.0508714846033629
Zac Taylor,4,4426,7.89052070862435,-0.00273966249442537
Mike LaFleur,1,1074,9.56588362247862,-0.132703100615554
Sean McVay,4,4537,10.4231308682312,0.00945880324896938
Mike McDaniel,4,4221,28.9321944264028,-0.0242855924238347
Kevin Stefanski,4,3329,14.4496585789273,-0.147572884717707
Kyle Shanahan,4,4670,19.309275062666,0.0517476305463785
Greg Roman,3,3343,21.4701872943359,-0.0375159457624021
Matt Canada,2,1764,9.56371806158767,-0.0781702192309118
Ben McAdoo,1,976,10.4647326632503,-0.0763905799058347
Byron Leftwich,1,1239,8.41442301362649,-0.0746841509258967
Shane Waldron,3,2678,13.6175594471024,-0.0553795384926753
Shane Steichen,4,4488,7.06451698882641,-0.0038345184428719
Kevin O'Connell,4,4329,11.5700324646676,-0.0570561846829634
Frank Reich,2,1125,5.63366629768691,-0.187423034326898
Pep Hamilton,1,1015,14.4159173039751,-0.211955513506027
Joe Lombardi,1,1223,9.39940880503145,-0.0155217843926007
Scott Turner,2,1657,12.0234132033455,-0.10454175255009
Kliff Kingsbury,3,3454,13.9879417624655,-0.00695518575315953
Ken Dorsey,3,2606,9.98883635840097,-0.0141883349769437
Doug Pederson,1,1202,9.51679082338981,0.00644171281334958
Josh McDaniels,3,2816,13.7295744281288,-0.0134816793344552
Matt Patricia,1,1006,9.44234828249622,-0.0990160155771058
Matt LaFleur,4,4386,12.610385407977,0.0264649744942593
Mike Kafka,3,3351,11.0447858418866,-0.0748189721596676
Arthur Smith,4,4273,28.2951930407478,-0.066630543815201
Todd Downing,2,1686,14.5053572735824,-0.0767196443576523
Ben Johnson,4,4874,14.377440033646,0.0691890224960016
Nathaniel Hackett,3,1951,10.9793883495698,-0.226064336067638
Luke Getsy,3,2638,17.8939132607842,-0.109672262774282
Kellen Moore,4,4792,9.77990094720858,-0.0203284861414551
Klint Kubiak,3,2731,19.3801823355497,-0.0522689169889343
Eric Bieniemy,1,1060,7.72801123533623,-0.144154317547427
Bobby Slowik,2,2367,13.7973013244055,-0.0628304061276057
Mike McCarthy,2,2315,10.1274825384873,-0.0261877861859568
Todd Monken,3,3358,18.313456374212,0.063909905808581
Press Taylor,2,2106,8.9832485046506,-0.0876404135900348
Sean Payton,3,3331,13.5927386561929,-0.0433030335086674
Dave Canales,3,3244,11.8299318127256,-0.0723384486970123
Brian Johnson,1,1165,5.87247421162491,0.00831719135521845
Tim Kelly,1,1002,16.5021717670286,-0.0989056803834926
Bill O'Brien,1,1020,13.6570047039655,-0.234160759532824
Drew Petzing,3,3178,12.4689368842519,-0.0322547210871016
Thomas Brown,2,1055,7.75365582604528,-0.165321844645833
Bo Hardegree,2,1366,10.3111824920875,-0.136354580214438
Joe Brady,3,2944,15.4997519212748,0.104268036297862
Brian Callahan,2,1216,9.36680731031045,-0.168354125963034
Alex Van Pelt,1,1027,10.298506587435,-0.129934377427836
Ryan Grubb,1,1030,8.99124518570047,-0.0616184135455891
Brian Daboll,1,1063,9.11231111972104,-0.1495515911429
Zac Robinson,2,2134,14.4341929113255,-0.0161515211155366
Liam Coen,2,2285,11.5894090639537,0.0447417032645597
Josh Grizzard,1,1068,10.9840957723671,-0.0427660952480889
Kevin Patullo,1,1082,10.0888609036176,-0.025751657777099
Nick Caley,1,1226,10.0792596171915,-0.0545801829368554
Brian Schottenheimer,1,1120,9.222889438361,0.061554416539314
Tanner Engstrand,1,1010,8.74830457550004,-0.178643121187677
