caller,season,n,looks,se,epa
Andy Reid,2022,1280,10.9409751924722,0.519409684274577,0.14193307105852
Pete Carmichael,2022,1015,15.5624943296943,0.977691571268064,-0.0652100017780597
Zac Taylor,2022,1241,5.48930918119101,0.251223041366,0.0245996116961475
Mike LaFleur,2022,1074,9.56588362247862,0.571810824430433,-0.132703100615554
Sean McVay,2022,1001,8.46984363365599,0.351728964424915,-0.107322733542257
Mike McDaniel,2022,1078,21.051786038078,1.0545152425638,-0.00909615657249123
Kevin Stefanski,2022,1116,16.9838670051593,0.820774860027565,-0.0282358533475794
Kyle Shanahan,2022,1219,20.1681925616018,0.895201265480741,0.0316208621580236
Greg Roman,2022,1118,39.1450692746536,1.58974533236752,-0.0406493430495701
Matt Canada,2022,1109,10.3122964852798,0.493457098100309,-0.0298985390981869
Ben McAdoo,2022,976,10.4647326632503,0.474983296258511,-0.0763905799058347
Byron Leftwich,2022,1239,8.41442301362649,0.380052621614597,-0.0746841509258967
Shane Waldron,2022,1107,16.6382464055663,0.829172468170768,-0.0346671444041671
Shane Steichen,2022,1335,6.51953785665649,0.30607722664144,0.0676525464246555
Kevin O'Connell,2022,1179,10.1818248464144,0.438410983483045,-0.0236411534306657
Frank Reich,2022,595,5.88637953432597,0.423019003160885,-0.185126245566526
Pep Hamilton,2022,1015,14.4159173039751,0.872835388208641,-0.211955513506027
Joe Lombardi,2022,1223,9.39940880503145,0.483083081655321,-0.0155217843926007
Scott Turner,2022,1140,12.0161021654636,0.57514376881111,-0.115852026948134
Kliff Kingsbury,2022,1144,11.8071262167482,0.637281572743371,-0.110327349232439
Ken Dorsey,2022,1171,8.45252637423654,0.491731018808928,0.0380250349017314
Doug Pederson,2022,1202,9.51679082338981,0.415488022871097,0.00644171281334958
Josh McDaniels,2022,1049,10.1315294724813,0.440889105768966,-0.00160729643436886
Matt Patricia,2022,1006,9.44234828249622,0.461007368607771,-0.0990160155771058
Matt LaFleur,2022,1051,14.5937475204316,0.698769952737494,-0.0436920099470813
Mike Kafka,2022,1209,10.9515139699156,0.641852675967121,-0.00589714828197677
Arthur Smith,2022,1011,42.2016035708382,2.49017868309348,-0.023988441765883
Todd Downing,2022,992,16.9629706318805,0.943771078101797,-0.115600711661823
Ben Johnson,2022,1092,13.3179663745305,0.715304412775423,0.0463011502399154
Nathaniel Hackett,2022,582,11.2294766206164,0.874883218925895,-0.152264326782833
Luke Getsy,2022,993,25.6178092166857,1.46211735666667,-0.0816923870338359
Kellen Moore,2022,1243,12.5294690538413,0.598208810449118,0.00332007041142502
Parks Frazier,2022,508,6.98438008460788,0.47342482709008,-0.188708273602254
Klint Kubiak,2022,496,12.6517571884984,1.08897576245795,-0.152961720156694
Eric Bieniemy,2023,1060,7.72801123533623,0.314091367196902,-0.144154317547427
Frank Reich,2023,530,5.34995992825249,0.353190302215717,-0.190001504727692
Bobby Slowik,2023,1174,13.9847063124543,0.778955900071374,-0.0501482725953386
Nathaniel Hackett,2023,1053,11.0237640315262,0.554676995381996,-0.297866456236041
Matt Canada,2023,655,8.29627764651199,0.520757471820183,-0.159900437959449
Arthur Smith,2023,1092,33.5805851513614,2.17564966621319,-0.12024077541287
Matt LaFleur,2023,1168,11.0252851249697,0.526758454266291,0.0380202614812328
Kevin Stefanski,2023,1257,12.136711663233,0.598157158535979,-0.196505762273616
Zac Taylor,2023,1048,6.65737965513476,0.34232339604687,-0.0520928820856413
Mike Kafka,2023,1057,9.60743673609916,0.492114143915697,-0.207701060739448
Josh McDaniels,2023,464,10.2505964309572,0.834759006553678,-0.160535290092631
Andy Reid,2023,1354,10.1636763090443,0.441729043883159,-0.0285969784516333
Sean McVay,2023,1149,8.20336579723124,0.334758132034045,0.0377570325447921
Luke Getsy,2023,1097,14.5851469054031,0.848745930889089,-0.0756938457981416
Mike McCarthy,2023,1211,11.0873940677966,0.564575287625666,0.0678919071414683
Todd Monken,2023,1200,12.4539080758245,0.744308817211342,0.0178838009717099
Press Taylor,2023,1114,9.25934610846415,0.51118534726225,-0.112236153513287
Shane Steichen,2023,1094,4.87322003504911,0.276951322627517,-0.0649594777939212
Ben Johnson,2023,1335,12.7667856682008,0.58071911352097,0.0559160951462186
Mike McDaniel,2023,1112,26.6199525964232,1.28988300901949,0.0338144980064461
