caller,seasons,n,looks,epa
Andy Reid,4,3805,11.4524334462828,0.0137842468717887
Pete Carmichael,2,1620,17.9139635368789,-0.0147696666890913
Zac Taylor,4,3362,7.18458261084668,-0.0123670060432181
Mike LaFleur,1,776,10.2160766460556,-0.0817043210533398
Sean McVay,4,3446,10.2685265478227,0.0260935782367612
Mike McDaniel,4,3129,34.8717982938059,-0.00336489603744889
Kevin Stefanski,4,2392,16.2144071374395,-0.129445964880879
Kyle Shanahan,4,3567,20.8864212318677,0.0576259646883779
Greg Roman,3,2505,22.2726995169654,-0.020275948720309
Matt Canada,2,1320,10.9327620667528,-0.0853544059470575
Ben McAdoo,1,726,11.149593289273,-0.0556326563092916
Byron Leftwich,1,899,9.63206624191663,-0.0304382912093593
Shane Waldron,3,2020,16.4685589287795,-0.015629727133356
Shane Steichen,4,3368,7.4417647937292,-0.0234688705390507
Kevin O'Connell,4,3272,12.4585585071998,-0.0382743058532642
Frank Reich,2,819,5.86800019818173,-0.158420490044123
Pep Hamilton,1,734,15.7362386662767,-0.139282210582832
Joe Lombardi,1,903,10.4453307343097,-0.0264864426352712
Scott Turner,2,1242,12.8288971010572,-0.0723906171563622
Kliff Kingsbury,3,2540,15.8460526285951,-0.00322444074600187
Ken Dorsey,3,1970,10.5275407488724,-0.0210637581690694
Doug Pederson,1,918,10.0150617460204,0.036561809601932
Josh McDaniels,3,2122,16.0349305056595,-0.0197772731399732
Matt Patricia,1,751,9.8270988903622,-0.0621309422313691
Matt LaFleur,4,3329,13.81461850992,0.0390343865145111
Mike Kafka,3,2438,12.5308637509794,-0.0601188814568534
Arthur Smith,4,3254,30.8018152991103,-0.0599702041223816
Todd Downing,2,1245,16.5940708112118,-0.0425007646211447
Ben Johnson,4,3618,15.6521514630697,0.0601828448893218
Nathaniel Hackett,3,1408,13.9819599579149,-0.188949095372002
Luke Getsy,3,1914,21.9019485870824,-0.105308237496779
Kellen Moore,4,3546,9.91900315965866,-0.00608806024969085
Klint Kubiak,3,2011,20.5743824138004,-0.0118878332023661
Eric Bieniemy,1,778,8.78642441860465,-0.111662438211743
Bobby Slowik,2,1753,16.1047467680961,-0.0560519585927285
Mike McCarthy,2,1631,10.937819993699,-0.0158315822242283
Todd Monken,3,2546,20.569728059408,0.0666179681898778
Press Taylor,2,1560,9.69922367077432,-0.0404589856844933
Sean Payton,3,2452,15.1068570557062,-0.0398526096645876
Dave Canales,3,2361,13.7565958315113,-0.0788504215123425
Brian Johnson,1,888,5.30844195231099,-0.0419793167268973
Tim Kelly,1,751,21.6351693938696,-0.0573066315872866
Bill O'Brien,1,755,14.6079035155248,-0.143399064068911
Drew Petzing,3,2318,16.0033735604748,-0.0169309431902353
Thomas Brown,2,735,8.56625154775043,-0.145238391729389
Bo Hardegree,2,950,11.8300223374318,-0.0875041695894969
Joe Brady,3,2197,15.803546113153,0.0811721878700657
Brian Callahan,2,886,10.1393834916001,-0.146662741933127
Alex Van Pelt,1,743,10.4838930513825,-0.0900705127825164
Ryan Grubb,1,783,9.62593931771734,-0.0359570089630106
Brian Daboll,1,747,11.2778677244394,-0.13687857879024
Zac Robinson,2,1593,15.2622543090309,0.0336840638875662
Liam Coen,2,1703,12.5516542767149,0.0371532984404276
Josh Grizzard,1,797,12.0203872825799,-0.0295936472601764
Kevin Patullo,1,815,10.4913495904102,-0.0371493531928106
Nick Caley,1,924,10.9211186805307,-0.0683124828234502
Brian Schottenheimer,1,848,10.7195988299206,0.0608502349976608
