caller,seasons,n,looks,epa
Andy Reid,4,2257,11.6818733741853,0.0410357187999316
Pete Carmichael,2,822,22.5641585409369,-0.0145396793764218
Zac Taylor,4,1896,8.15536475357772,0.00944350914659267
Sean McVay,4,1934,10.2057637218468,0.0351289859060353
Mike McDaniel,4,1690,35.0693304333205,0.0424418392370747
Kevin Stefanski,4,1305,19.3055683639437,-0.114631536797089
Kyle Shanahan,4,2048,21.0012834293175,0.0834090620060124
Greg Roman,3,1467,23.9519417587041,0.00545494650486135
Matt Canada,2,737,12.2348254926354,-0.0934411724852437
Shane Waldron,3,1185,18.8100838546286,0.00439410364168837
Shane Steichen,4,1893,7.69675573697277,-0.0114857387355452
Kevin O'Connell,4,1728,13.4683045273877,-0.0385522680158762
Joe Lombardi,1,502,9.68209116107176,0.00429974194055822
Scott Turner,2,732,15.4724205697867,-0.0727831170171539
Kliff Kingsbury,3,1316,17.5643712945671,-0.014346425494782
Ken Dorsey,3,1081,12.5204019524479,0.020205244401282
Josh McDaniels,3,1202,18.0208880509508,-0.0199948356606181
Matt LaFleur,4,1777,15.6460964153549,0.0496534177332228
Mike Kafka,3,1289,13.6483929495349,-0.0500131973359499
Arthur Smith,4,1872,33.3284457732119,-0.0651668903246744
Todd Downing,2,752,18.6040630658697,0.0453232171780557
Ben Johnson,4,1967,16.1996925199267,0.0626681886336861
Nathaniel Hackett,3,755,16.4504026686402,-0.207017195061318
Luke Getsy,3,1081,26.4648850469261,-0.0660696684630117
Kellen Moore,4,1985,10.497500692631,-0.00492553337147549
Klint Kubiak,3,1111,22.2367923381051,-0.0156971876191784
Bobby Slowik,2,997,17.7332385012807,-0.0122307851189448
Mike McCarthy,2,846,11.8561527145696,-0.0168728952166178
Todd Monken,3,1480,20.1465732711341,0.0964042451887113
Press Taylor,2,801,10.0529502050782,-0.0678451464659117
Sean Payton,3,1369,15.6231054020933,-0.0408103217876264
Dave Canales,3,1327,16.4016433534606,-0.0782056759657604
Drew Petzing,3,1185,19.6221748786557,0.00205738644905484
Joe Brady,3,1186,15.5432368331993,0.0659985482122617
Zac Robinson,2,988,15.9212730205445,0.0796948277244443
Liam Coen,2,887,12.8951349241864,0.0544048449226151
Nick Caley,1,517,10.5501858736059,-0.0758927411091742
