caller,seasons,n,looks,epa
Andy Reid,4,2257,2.52200340573244,0.0410357187999316
Pete Carmichael,2,822,3.65848808349788,-0.0145396793764218
Zac Taylor,4,1896,1.82413825364407,0.00944350914659267
Sean McVay,4,1934,1.52503198764989,0.0351289859060353
Mike McDaniel,4,1690,3.15227640867104,0.0424418392370747
Kevin Stefanski,4,1305,2.86514050828957,-0.114631536797089
Kyle Shanahan,4,2048,2.83666507025127,0.0834090620060124
Greg Roman,3,1467,3.35740249070322,0.00545494650486135
Matt Canada,2,737,2.04907514217481,-0.0934411724852437
Shane Waldron,3,1185,2.60780251254043,0.00439410364168837
Shane Steichen,4,1893,1.88700776106567,-0.0114857387355452
Kevin O'Connell,4,1728,2.62678141537643,-0.0385522680158762
Joe Lombardi,1,502,2.28642338951617,0.00429974194055822
Scott Turner,2,732,2.40057464447275,-0.0727831170171539
Kliff Kingsbury,3,1316,2.64346433834585,-0.014346425494782
Ken Dorsey,3,1081,2.43820852215865,0.020205244401282
Josh McDaniels,3,1202,3.38560945235124,-0.0199948356606181
Matt LaFleur,4,1777,2.47502499394612,0.0496534177332228
Mike Kafka,3,1289,2.31549374321378,-0.0500131973359499
Arthur Smith,4,1872,4.22817448016805,-0.0651668903246744
Todd Downing,2,752,2.6022517053035,0.0453232171780557
Ben Johnson,4,1967,2.83178016337316,0.0626681886336861
Nathaniel Hackett,3,755,3.17715039349431,-0.207017195061318
Luke Getsy,3,1081,3.81268214039658,-0.0660696684630117
Kellen Moore,4,1985,2.3051753246057,-0.00492553337147549
Klint Kubiak,3,1111,3.65749368962179,-0.0156971876191784
Bobby Slowik,2,997,2.67249911769608,-0.0122307851189448
Mike McCarthy,2,846,2.39442500312903,-0.0168728952166178
Todd Monken,3,1480,3.86865161561103,0.0964042451887113
Press Taylor,2,801,2.24981189428961,-0.0678451464659117
Sean Payton,3,1369,2.86034669666481,-0.0408103217876264
Dave Canales,3,1327,2.35248813862725,-0.0782056759657604
Drew Petzing,3,1185,3.3099174250844,0.00205738644905484
Joe Brady,3,1186,2.73976102575955,0.0659985482122617
Zac Robinson,2,988,2.13660571402714,0.0796948277244443
Liam Coen,2,887,2.1690674317049,0.0544048449226151
Nick Caley,1,517,2.45253461305091,-0.0758927411091742
