caller,seasons,n,looks,epa
Andy Reid,4,3805,2.55109169526429,0.0137842468717887
Pete Carmichael,2,1620,3.38835755374186,-0.0147696666890913
Zac Taylor,4,3362,1.79921331207142,-0.0123670060432181
Mike LaFleur,1,776,2.17366161141552,-0.0817043210533398
Sean McVay,4,3446,1.57829539274564,0.0260935782367612
Mike McDaniel,4,3129,3.36587329323129,-0.00336489603744889
Kevin Stefanski,4,2392,2.51398006241604,-0.129445964880879
Kyle Shanahan,4,3567,3.01718021396074,0.0576259646883779
Greg Roman,3,2505,3.3081097549289,-0.020275948720309
Matt Canada,2,1320,1.97028786481828,-0.0853544059470575
Ben McAdoo,1,726,2.45334290401969,-0.0556326563092916
Byron Leftwich,1,899,2.32377306352724,-0.0304382912093593
Shane Waldron,3,2020,2.54952583361684,-0.015629727133356
Shane Steichen,4,3368,1.92907599096671,-0.0234688705390507
Kevin O'Connell,4,3272,2.46307814588845,-0.0382743058532642
Frank Reich,2,819,1.73157346058,-0.158420490044123
Pep Hamilton,1,734,3.56310679611651,-0.139282210582832
Joe Lombardi,1,903,2.27726830468479,-0.0264864426352712
Scott Turner,2,1242,2.23072666329152,-0.0723906171563622
Kliff Kingsbury,3,2540,2.54866705419012,-0.00322444074600187
Ken Dorsey,3,1970,2.26537659131827,-0.0210637581690694
Doug Pederson,1,918,2.11430422857832,0.036561809601932
Josh McDaniels,3,2122,3.23361486600064,-0.0197772731399732
Matt Patricia,1,751,1.82164826421904,-0.0621309422313691
Matt LaFleur,4,3329,2.31389779815172,0.0390343865145111
Mike Kafka,3,2438,2.23042616608541,-0.0601188814568534
Arthur Smith,4,3254,4.19317230063628,-0.0599702041223816
Todd Downing,2,1245,2.5458739225372,-0.0425007646211447
Ben Johnson,4,3618,2.75619673925291,0.0601828448893218
Nathaniel Hackett,3,1408,2.79825470886935,-0.188949095372002
Luke Getsy,3,1914,3.59877509956155,-0.105308237496779
Kellen Moore,4,3546,2.26904592302041,-0.00608806024969085
Klint Kubiak,3,2011,3.76397377277556,-0.0118878332023661
Eric Bieniemy,1,778,1.96997327771622,-0.111662438211743
Bobby Slowik,2,1753,2.5685018214918,-0.0560519585927285
Mike McCarthy,2,1631,2.35427338341236,-0.0158315822242283
Todd Monken,3,2546,3.93554012109326,0.0666179681898778
Press Taylor,2,1560,2.2010992444964,-0.0404589856844933
Sean Payton,3,2452,2.89158546999236,-0.0398526096645876
Dave Canales,3,2361,2.17566872486429,-0.0788504215123425
Brian Johnson,1,888,1.96602385219427,-0.0419793167268973
Tim Kelly,1,751,3.12843669810378,-0.0573066315872866
Bill O'Brien,1,755,2.48732894069944,-0.143399064068911
Drew Petzing,3,2318,3.09992681306326,-0.0169309431902353
Thomas Brown,2,735,1.5343442415645,-0.145238391729389
Bo Hardegree,2,950,2.39292451867583,-0.0875041695894969
Joe Brady,3,2197,2.85838680747453,0.0811721878700657
Brian Callahan,2,886,2.05158401710186,-0.146662741933127
Alex Van Pelt,1,743,2.31068359948028,-0.0900705127825164
Ryan Grubb,1,783,1.64455151964418,-0.0359570089630106
Brian Daboll,1,747,1.98010873041254,-0.13687857879024
Zac Robinson,2,1593,2.08285347313532,0.0336840638875662
Liam Coen,2,1703,2.16024254376603,0.0371532984404276
Josh Grizzard,1,797,2.16068606615443,-0.0295936472601764
Kevin Patullo,1,815,2.39586418103417,-0.0371493531928106
Nick Caley,1,924,2.58234977078804,-0.0683124828234502
Brian Schottenheimer,1,848,2.3593159765335,0.0608502349976608
