caller,season,n,looks,se,epa
Andy Reid,2022,1027,2.58019981389882,0.0722548428520449,0.106334715399224
Pete Carmichael,2022,771,3.71666291037488,0.149862966688639,-0.0537221373147033
Zac Taylor,2022,958,1.39615268644943,0.0356644707879592,0.00657015538430303
Mike LaFleur,2022,776,2.17366161141552,0.0697994548354645,-0.0817043210533398
Sean McVay,2022,732,1.21929944491537,0.0295709164682805,-0.115439903807873
Mike McDaniel,2022,827,2.86873005207458,0.0700937084346407,-0.0117457995918705
Kevin Stefanski,2022,819,3.16195321791992,0.140395138484387,-0.0358236028979985
Kyle Shanahan,2022,915,3.20099056134361,0.0750298065774321,0.0551568436064849
Greg Roman,2022,862,3.63060110358862,0.105799985233741,0.00733273788711819
Matt Canada,2022,837,2.11001616288327,0.0788824642196942,-0.0688816249067918
Ben McAdoo,2022,726,2.45334290401969,0.104351465461905,-0.0556326563092916
Byron Leftwich,2022,899,2.32377306352724,0.0900953122022146,-0.0304382912093593
Shane Waldron,2022,838,2.86709450621321,0.0738435207644227,-0.0261557686602724
Shane Steichen,2022,1004,1.83789485979603,0.0538344754046987,0.0221995133609766
Kevin O'Connell,2022,891,2.06608964805686,0.081982139495956,-0.0203318571134583
Frank Reich,2022,454,1.88131872152802,0.0939753237892788,-0.0758568747174244
Pep Hamilton,2022,734,3.56310679611651,0.146053775531421,-0.139282210582832
Joe Lombardi,2022,903,2.27726830468479,0.079231573140885,-0.0264864426352712
Scott Turner,2022,863,2.10068167827271,0.0690914896248292,-0.0570893821825607
Kliff Kingsbury,2022,836,2.11608999581669,0.0632137043209442,-0.0434360911013581
Ken Dorsey,2022,908,2.14832475974832,0.0858822863855913,0.0180220020861091
Doug Pederson,2022,918,2.11430422857832,0.0688931802474117,0.036561809601932
Josh McDaniels,2022,796,2.57667062981482,0.0834084641229016,-0.019364140668051
Matt Patricia,2022,751,1.82164826421904,0.0658246430359594,-0.0621309422313691
Matt LaFleur,2022,800,2.59514587545573,0.0649321147475165,0.0392865801369771
Mike Kafka,2022,915,2.43552332692644,0.0944079655077202,0.0247150666502818
Arthur Smith,2022,797,4.83059726494685,0.186938986732518,0.000271506890318182
Todd Downing,2022,738,2.95533628193565,0.0803363096550217,-0.0633977469628507
Ben Johnson,2022,798,2.84737157848554,0.146194361863321,0.0189236291021313
Nathaniel Hackett,2022,436,3.08912632744804,0.168241616468147,-0.107265472716498
Luke Getsy,2022,725,4.33014354066986,0.149751027048443,-0.0668237897342648
Kellen Moore,2022,935,2.65423168337295,0.0889740629215126,0.00353288667346254
Parks Frazier,2022,365,1.62679074323497,0.076393059807151,-0.0906590507314733
Klint Kubiak,2022,361,3.39462961028106,0.179020264146371,-0.0693694377044563
Eric Bieniemy,2023,778,1.96997327771622,0.0726781948857692,-0.111662438211743
Frank Reich,2023,365,1.54531497161999,0.0686871641242872,-0.261116055409386
Bobby Slowik,2023,865,2.79786461414057,0.100624380021685,-0.0082360098434535
Nathaniel Hackett,2023,740,2.78175677050481,0.102026187576288,-0.265063930781106
Matt Canada,2023,483,1.72815000668082,0.0692607895264685,-0.113900405389506
Arthur Smith,2023,832,4.37047712963665,0.170110739206697,-0.112899479843551
Matt LaFleur,2023,870,2.1576444936586,0.0395497303495515,0.025497445572253
Kevin Stefanski,2023,903,2.14148696187156,0.0817558496997936,-0.171123641562686
Zac Taylor,2023,792,1.60989674614147,0.0492941215104221,-0.0267390072277529
Mike Kafka,2023,729,2.01111069006025,0.0672156344537906,-0.18448946262941
Josh McDaniels,2023,350,3.17668781857901,0.181494580241352,-0.158517120004233
Andy Reid,2023,1033,2.28657469370946,0.0572275680384993,-0.0456570150566876
Sean McVay,2023,875,1.11837929693098,0.0176836694946512,0.00626982537497361
Luke Getsy,2023,796,3.39495708154506,0.116671586636061,-0.0988700078875202
