caller,seasons,n,actual,resid,epa
Todd Downing,2,620,56.4516129032258,7.01284710918703,-0.0992069105347319
Sean McVay,4,1543,55.800388852884,6.60035096046142,-0.0308689343092972
Joe Brady,3,1060,55.7547169811321,6.51312977919038,0.0153305705926679
Nick Caley,1,417,55.6354916067146,6.06928481329544,-0.135203133616373
Mike McDaniel,4,1397,54.4738725841088,4.95477811131377,-0.0461088620864905
Drew Petzing,3,1027,53.65141187926,4.91038732658691,-0.0223188537563819
Bo Hardegree,2,445,52.8089887640449,4.23476908983809,-0.0861284722772877
Kevin O'Connell,4,1335,53.1835205992509,3.60882592781653,-0.108795915287309
Luke Getsy,3,979,52.6046986721144,3.55173534769811,-0.0873285701405162
Kyle Shanahan,4,1647,53.2483302975106,3.50306480851547,-0.0485994303378465
Zac Robinson,2,826,52.0581113801453,3.12498101815761,-0.0269022752309879
Kevin Stefanski,3,1015,52.1182266009852,2.73885106511891,-0.0774724471928745
Shane Waldron,3,797,51.3174404015056,1.79418111535506,-0.06087594617677
Dave Canales,3,1087,50.3219871205152,1.45146415775373,-0.0990766959492779
Klint Kubiak,3,1011,50.4451038575668,1.40231940324181,-0.0801170040972154
Josh McDaniels,2,743,50.8748317631225,1.16983486056167,-0.0581457435202313
Nathaniel Hackett,2,488,50.4098360655738,1.05108466060436,-0.189220311501842
Todd Monken,3,1351,50.5551443375278,0.967026670097344,0.0653552347222007
Bobby Slowik,2,774,50.1291989664083,0.71109354264977,-0.136033361460003
Matt LaFleur,4,1632,49.264705882353,-0.0946788281640509,-0.0526791077869597
Shane Steichen,4,1601,49.156777014366,-0.26067610757935,-0.0171012627304084
Ben Johnson,4,1792,48.2700892857143,-0.874675377937298,0.00281578784051824
Zac Taylor,4,1235,48.1781376518219,-1.44087072084789,-0.0695469140342855
Arthur Smith,4,1664,47.65625,-1.52186850766436,-0.0633073412352061
Mike McCarthy,2,700,47.8571428571429,-1.61764146174703,-0.0867105912204299
Kellen Moore,4,1706,47.4208675263775,-2.04514833156278,-0.0666860199717921
Greg Roman,3,1131,47.5685234305924,-2.05540311325976,-0.0334436048096446
Liam Coen,2,795,46.7924528301887,-2.70425246196722,-0.0288917852085342
Matt Canada,2,593,46.7116357504216,-2.79992744954803,-0.0324108402541576
Pete Carmichael,2,791,47.0290771175727,-3.02880991123117,-0.0837869310772751
Press Taylor,2,646,46.1300309597523,-3.37620156099183,-0.147354169607439
Sean Payton,3,1047,45.7497612225406,-3.5394212464093,-0.0985788058510909
Andy Reid,4,1505,45.6478405315615,-4.06461704609006,-0.0662313030692332
Scott Turner,2,582,45.1890034364261,-4.1393789689975,-0.134044890803256
Mike Kafka,3,1133,44.9249779346867,-4.14540865783237,-0.0802254573312988
Kliff Kingsbury,3,1163,43.1642304385211,-5.67447269977626,-0.0150340232206949
Ken Dorsey,3,761,43.1011826544021,-6.62132644152046,-0.0614411495381212
