caller,season,n,actual,expected,epa,resid
Andy Reid,2022,389,45.5012853470437,50.9159794580048,-0.0386842282771453,-5.41469411096108
Pete Carmichael,2022,394,43.1472081218274,49.8768867196771,-0.11796247687777,-6.72967859784964
Zac Taylor,2022,342,48.5380116959064,50.4270439172349,-0.0643381810153435,-1.88903222132844
Mike LaFleur,2022,316,45.8860759493671,49.6370134851601,-0.0897436359826524,-3.75093753579298
Sean McVay,2022,327,54.434250764526,49.0953757857693,-0.0545871780234013,5.33887497875671
Mike McDaniel,2022,314,53.5031847133758,49.9652404029658,-0.00199119016456913,3.53794431041001
Kevin Stefanski,2022,421,54.3942992874109,49.4936823915699,-0.0129233085751673,4.90061689584101
Kyle Shanahan,2022,465,54.4086021505376,50.0340936709476,-0.0466727301318153,4.37450847959006
Greg Roman,2022,426,52.112676056338,49.5813114542357,0.017103820470787,2.53136460210237
Matt Canada,2022,379,46.7018469656992,49.4619823068302,0.00291519391898429,-2.76013534113096
Ben McAdoo,2022,381,46.1942257217848,49.6777712516585,-0.0141691794604298,-3.48354552987365
Byron Leftwich,2022,305,46.2295081967213,49.7172532511539,-0.131815690315161,-3.4877450544326
Shane Waldron,2022,326,53.680981595092,49.8092417519517,-0.0211745361494688,3.87173984314033
Shane Steichen,2022,467,46.8950749464668,49.9375081164423,0.0593716157899425,-3.04243316997551
Kevin O'Connell,2022,344,50.2906976744186,49.7264713828647,-0.134744958107381,0.564226291553908
Frank Reich,2022,172,41.8604651162791,49.1542371206505,-0.268987634154253,-7.29377200437146
Pep Hamilton,2022,310,41.9354838709677,48.642727300044,-0.211102570737562,-6.70724342907629
Joe Lombardi,2022,324,46.2962962962963,50.0110154350599,-0.0416432847901257,-3.71471913876359
Scott Turner,2022,447,43.847874720358,49.5215405353764,-0.130763778478632,-5.67366581501842
Kliff Kingsbury,2022,346,45.9537572254335,48.9770272477514,-0.0375894075959403,-3.02327002231786
Ken Dorsey,2022,339,40.4129793510325,49.9757325403107,-0.0520389007959397,-9.5627531892782
Doug Pederson,2022,378,50.7936507936508,50.1744767660817,-0.0530490721304895,0.619174027569081
Josh McDaniels,2022,327,47.4006116207951,50.0569037523474,-0.0469776546918654,-2.65629213155227
Matt Patricia,2022,340,49.4117647058824,49.1540672323283,-0.0568977855584202,0.257697473554053
Matt LaFleur,2022,375,47.7333333333333,49.6101679801941,-0.0214527391791344,-1.87683464686076
Mike Kafka,2022,414,44.9275362318841,49.3432282321695,-0.0308527441848302,-4.41569200028545
Arthur Smith,2022,459,52.9411764705883,49.3441049244929,0.0341241909333044,3.5970715460954
Todd Downing,2022,398,56.0301507537689,49.9214376936007,-0.120050114191058,6.10871306016817
Ben Johnson,2022,398,51.5075376884422,48.9808945574952,-0.0524424832669933,2.52664313094702
Nathaniel Hackett,2022,189,40.7407407407407,49.2254265244045,-0.196973711725265,-8.48468578366376
Luke Getsy,2022,418,50.7177033492823,48.9407045205244,-0.0319784277221233,1.77699882875788
Kellen Moore,2022,477,45.2830188679245,49.5001074840438,-0.0165900551954157,-4.21708861611924
Parks Frazier,2022,180,44.4444444444444,49.3570224112935,-0.049154206779268,-4.91257796684902
Klint Kubiak,2022,159,46.5408805031447,49.2468946010062,-0.109897444223833,-2.70601409786153
Eric Bieniemy,2023,281,46.9750889679715,48.976537998885,-0.161155738175128,-2.00144903091349
