caller,seasons,n,actual,resid,epa
DAL,4,1657,32.9511164755582,4.88422682343582,-0.0133233308509966
NYJ,4,1698,30.2709069493522,3.11281867149792,-0.0335210798137127
CLE,4,1587,30.8128544423441,3.03311580445832,-0.133216220621435
DET,4,1708,29.8594847775176,2.12611814031697,-0.0100805689580741
HOU,4,1939,29.9123259412068,1.80237937628331,-0.105772371082605
PHI,4,2159,30.2918017600741,1.78495719994368,-0.123608079447742
MIA,4,1695,29.3805309734513,1.55469185263358,0.0152187708336696
LA,4,1894,29.2502639915523,1.3140772549001,-0.0444650716225024
DEN,4,1640,29.9390243902439,1.15673961254155,-0.0841887383946081
WAS,4,1666,28.9315726290516,1.15326943249406,0.0727634491680673
GB,4,1745,29.3409742120344,0.844948454026158,-0.0532415616388744
CIN,4,1757,28.5714285714286,0.776573464350748,0.00948326689534112
SEA,4,2006,29.01296111665,0.420861541927745,-0.0528031613465105
MIN,3,1137,28.3201407211961,-0.0737730711829611,-0.0663695221188539
NE,4,1649,27.5924802910855,-0.264701133355572,-0.107413158232144
JAX,4,1885,27.3740053050398,-0.290469980603506,-0.0277841310063746
TEN,4,1856,26.7241379310345,-0.295080214835185,0.0616878428853193
TB,4,1607,27.7535780958307,-0.307100069637837,0.0455219736912442
NO,4,1682,27.4673008323425,-0.337916587376429,-0.0719176562517929
NYG,4,1430,26.5734265734266,-0.512298647236159,-0.0297523521538172
BAL,4,2105,27.5534441805226,-0.817631319908512,-0.0763211999999943
PIT,4,1778,27.5028121484814,-0.990544499240658,0.00985438959344085
LAC,4,1714,26.8378063010502,-1.01794728459388,-0.0702881006958112
KC,4,1821,27.1279516749039,-1.02274851532901,-0.0311163222861673
IND,4,1816,26.2665198237885,-1.03378537467923,0.0369645108013426
SF,4,2133,26.8635724331927,-1.04317600479497,-0.0920207998183748
BUF,4,2007,27.5037369207773,-1.05849986030025,-0.075272946239379
LV,4,1681,25.1041046995836,-2.03497120794762,0.00757064752431408
ARI,4,1595,25.0156739811912,-2.40332397827907,0.0813353266228329
CHI,4,1726,24.6813441483198,-2.87719378690317,0.00117823443195272
ATL,4,1605,24.2990654205608,-3.05379778518112,0.0174948284598329
CAR,4,1480,22.7702702702703,-4.69841456544158,0.00824437060368218
