caller,seasons,n,actual,resid,epa
Jim Schwartz,3,480,41.4583333333333,4.11858344140152,-0.107905853749253
Aaron Glenn,3,652,41.5644171779141,2.51399115002229,-0.0191192898129404
Mike Macdonald,4,626,41.6932907348243,2.3127316476438,-0.176124834384138
Vance Joseph,4,936,37.0726495726496,0.949595402130207,-0.0272416720509084
Sean McDermott,3,411,39.4160583941606,0.923522588980457,-0.0888485274665114
Todd Bowles,4,971,38.3110195674562,0.578628933147348,-0.0162884175765926
Steve Spagnuolo,4,869,38.5500575373993,0.43759704047709,-0.146270439637476
DeMeco Ryans,3,509,38.7033398821218,-0.236225965449285,-0.0989104081567355
Teryl Austin,4,761,35.3482260183968,-0.604576763357972,-0.0814383464195961
Lou Anarumo,4,618,37.0550161812298,-1.08128294927403,-0.0878239838424529
Brian Flores,3,859,35.1571594877765,-1.21603592345545,-0.00058886202808979
Don Martindale,2,560,34.4642857142857,-1.33357312796372,0.00723324254753851
Patrick Graham,3,466,33.2618025751073,-2.77391146756549,0.127760555723066
Brandon Staley,3,495,33.9393939393939,-2.78133688249973,-0.0436567835735552
Ejiro Evero,4,738,29.6747967479675,-6.38727201476976,0.048203932816733
