caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,234,33.7606837606838,35.8629014884305,0.0480492076812645,-2.10221772774673
Mike Macdonald,2022,161,35.4037267080745,39.247650352324,-0.0742477883370766,-3.84392364424949
Leslie Frazier,2022,129,41.0852713178295,37.274770635043,0.0637536553680437,3.81050068278646
Lou Anarumo,2022,164,44.5121951219512,37.2741132156878,-0.0952886890892575,7.23808190626342
Joe Woods,2022,137,37.2262773722628,36.3349730733537,-0.170927821882885,0.891304298909034
Dan Quinn,2022,173,42.7745664739884,37.8041566193448,-0.0306677185214327,4.97040985464361
Ejiro Evero,2022,227,31.7180616740088,35.9620217906746,-0.168549780824144,-4.24396011666578
Aaron Glenn,2022,203,40.8866995073892,37.3540934817544,-0.103176142818529,3.53260602563473
Joe Barry,2022,194,33.5051546391753,35.0189474209682,-0.00334896310472627,-1.51379278179296
Mike Caldwell,2022,201,43.2835820895522,35.9071652465199,0.0220263422054441,7.37641684303236
Steve Spagnuolo,2022,209,34.9282296650718,37.0894957244681,-0.149109855935904,-2.16126605939637
Raheem Morris,2022,187,27.807486631016,35.972310841721,0.134727583451067,-8.16482421070498
Brandon Staley,2022,193,34.1968911917099,36.2684244241739,-0.0936164444051875,-2.07153323246406
Patrick Graham,2022,174,35.0574712643678,35.0800528009047,0.185535707050699,-0.0225815365369328
Josh Boyer,2022,266,38.3458646616541,35.0101875799491,-0.0132783597573303,3.33567708170504
Ed Donatell,2022,155,29.0322580645161,35.6414363941839,-0.0492738773745874,-6.60917832966775
Bill Belichick,2022,148,35.1351351351351,36.8096435392225,-0.137717078213354,-1.67450840408737
Don Martindale,2022,279,35.84229390681,35.8882691751244,0.120554147047862,-0.0459752683144004
Jonathan Gannon,2022,184,38.5869565217391,38.2100073296739,-0.324969841896192,0.376949192065261
Teryl Austin,2022,171,32.7485380116959,34.9417207533853,-0.120136628548304,-2.19318274168942
DeMeco Ryans,2022,161,36.6459627329193,38.8011293381638,0.0209854747752966,-2.1551666052445
Todd Bowles,2022,203,35.9605911330049,37.1049896983678,-0.0978521272778656,-1.14439856536283
Jack Del Rio,2022,143,36.3636363636364,37.3822174601622,-0.0510478323468797,-1.0185810965258
Al Holcomb,2022,149,32.2147651006712,38.0319200206123,-0.139295804220558,-5.81715491994114
