caller,seasons,n,actual,resid,epa
Dan Quinn,2,872,34.6330275229358,5.73991295633785,-0.128387954259087
Jim Schwartz,3,1204,33.1395348837209,5.50495768801318,-0.174665444881726
Chris Shula,2,1058,31.758034026465,3.70821667613291,-0.0573135741937037
Jeff Ulbrich,4,1674,31.063321385902,3.57037585144117,-0.0923063081648564
Vic Fangio,3,1585,31.5457413249211,3.28663514427582,-0.129104063847933
Jack Del Rio,2,730,30,2.08424838846677,0.0338108422949087
Mike Caldwell,2,913,29.4633077765608,2.005058678779,-0.0711871801221666
Vance Joseph,4,1617,30.3648732220161,1.76285354716585,-0.0649304044860298
Aaron Glenn,3,1302,29.2626728110599,1.60081520642279,0.0110463329165966
DeMeco Ryans,3,1540,29.4155844155844,1.33539713822401,-0.104053955092685
Steve Wilks,2,933,28.2958199356913,1.16127136164412,-0.0396876620447678
Dennard Wilson,2,815,27.3619631901841,1.12904649753513,0.0650379868258546
Bill Belichick,2,826,28.9346246973366,1.11736682656315,-0.14971885534813
Joe Barry,2,750,29.7333333333333,0.906638191143667,-0.0553851219241816
Jeff Hafley,2,995,29.0452261306533,0.865616061579635,-0.0516258126801001
Mike Macdonald,4,2099,29.5855169128156,0.70796206898778,-0.104829029315881
Lou Anarumo,4,1741,28.661688684664,0.70370981862394,0.00941255459607951
Jesse Minter,2,891,28.3950617283951,0.244598038803985,-0.110291513349907
Matt Eberflus,3,1148,27.9616724738676,0.131425765774597,-0.00369674054977181
Todd Bowles,4,1607,27.7535780958307,-0.286481878126194,0.0455219736912442
Brandon Staley,3,1154,26.9497400346621,-0.368248537647669,-0.0565341474513394
Sean McDermott,3,1460,27.7397260273973,-0.629040927511367,-0.0684976100972663
Clint Hurtt,2,973,27.5436793422405,-0.836754540500273,-0.0142758740562055
Steve Spagnuolo,4,1821,27.1279516749039,-1.04447140725086,-0.0311163222861673
Teryl Austin,4,1778,27.5028121484814,-1.05530333373155,0.00985438959344085
Gus Bradley,3,1389,25.9179265658747,-1.33422121266139,0.0127173382735257
Zach Orr,2,1039,26.2752646775746,-1.39328722373239,-0.0314270545431816
Shane Bowen,4,1716,25.8741258741259,-1.43795019506297,0.051893015322384
Anthony Weaver,2,808,25.990099009901,-1.48487987808219,0.0899213400466533
Raheem Morris,2,836,26.0765550239235,-1.71823854152664,-0.0282046461197142
Patrick Graham,4,1681,25.1041046995836,-2.03326135731963,0.00757064752431408
Ryan Nielsen,2,922,25.3796095444685,-2.14717871632727,0.0774897785946715
Dennis Allen,4,1510,25.4304635761589,-2.64614234006169,-0.0501135244771272
Nick Rallis,3,1225,24.4081632653061,-3.11438636451351,0.105174523671063
Ejiro Evero,4,1500,22.4666666666667,-4.81863242040079,-0.0133559304401278
