caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,370,27.027027027027,27.2508901277104,0.00240825531450479,-0.223863100683364
Dean Pees,2022,432,21.0648148148148,27.1832653735247,0.128901007533487,-6.11845055870987
Mike Macdonald,2022,471,25.6900212314225,28.5988140036599,-0.0186564840154919,-2.90879277223741
Leslie Frazier,2022,547,26.873857404022,28.8991813930994,-0.0933570244249084,-2.02532398907749
Alan Williams,2022,387,19.1214470284238,26.4531232551395,0.117042188284779,-7.33167622671571
Lou Anarumo,2022,479,27.5574112734865,29.046710775018,-0.047156553489928,-1.48929950153153
Joe Woods,2022,383,23.4986945169713,28.408767847106,-0.00291630936976181,-4.91007333013469
Dan Quinn,2022,489,35.7873210633947,29.4416482067059,-0.181510528020089,6.34567285668873
Ejiro Evero,2022,393,25.4452926208651,27.7354936222084,-0.0818982505009677,-2.29020100134324
Aaron Glenn,2022,367,27.2479564032698,28.3076182109296,0.102364742483852,-1.05966180765983
Joe Barry,2022,310,29.6774193548387,28.7976613063966,-0.115548725990999,0.879758048442096
Lovie Smith,2022,448,28.5714285714286,27.6481341537354,-0.0593813086785047,0.923294417693146
Gus Bradley,2022,452,23.6725663716814,26.614297494556,0.00768762685984921,-2.94173112287458
Mike Caldwell,2022,474,28.6919831223629,27.4613984998017,-0.0311806300470311,1.23058462256118
Steve Spagnuolo,2022,562,27.4021352313168,28.8917580162079,-0.00578360181315152,-1.48962278489114
Raheem Morris,2022,390,24.1025641025641,28.1079938014348,-0.00868928703264566,-4.00542969887071
Brandon Staley,2022,380,25,28.3457241011293,-0.0774693812084333,-3.34572410112933
Patrick Graham,2022,389,24.9357326478149,27.6722988501613,0.0498604360766767,-2.73656620234635
Josh Boyer,2022,387,29.9741602067183,29.0147646299012,-0.0293985393273736,0.959395576817116
Ed Donatell,2022,527,24.6679316888046,27.8980467984527,0.0378104882947464,-3.23011510964816
Bill Belichick,2022,450,31.5555555555556,28.1920304000378,-0.202934213909839,3.36352515551781
Dennis Allen,2022,441,24.0362811791383,28.4307615489376,-0.0731848138564029,-4.39448036979928
Don Martindale,2022,374,31.2834224598931,28.3693771311306,-0.0794374966087507,2.91404532876244
Jeff Ulbrich,2022,478,31.3807531380753,27.362923267995,-0.141095289048665,4.01782987008034
