caller,seasons,n,actual,resid,epa
Jim Schwartz,3,1697,35.4743665291691,4.98490741121889,-0.150076800911223
Dan Quinn,3,1522,35.2168199737188,4.69272080784401,-0.082078235357285
Jeff Ulbrich,4,2315,33.5637149028078,3.95697356493374,-0.107130864313472
Jonathan Gannon,1,705,35.177304964539,3.38358742336858,-0.197360319226769
Chris Shula,2,1413,33.0502476999292,3.24845516820876,-0.0423745594975412
Vic Fangio,3,2027,32.8564380858411,2.75260648103435,-0.125265426990738
Josh Boyer,1,710,32.5352112676056,1.81713115686263,-0.0267331685293731
Vance Joseph,4,2665,32.7954971857411,1.79577237669567,-0.0676323346190823
Mike Caldwell,2,1373,31.755280407866,1.65320140596558,-0.054403104279421
Jeff Hafley,2,1267,31.3338595106551,1.55139382466991,-0.0256764837141917
Clint Hurtt,2,1255,31.1553784860558,1.54726040375185,0.0163098673080196
Aaron Glenn,3,2020,32.5742574257425,1.33013051040099,0.00873125619739116
Dennard Wilson,2,1060,29.7169811320755,1.31607788843367,0.0652187556783969
Mike Macdonald,4,2822,32.0340184266478,1.15332046482767,-0.121913284027367
Matt Eberflus,3,1563,30.9660908509277,1.11378276016341,0.0195436931738981
Jack Del Rio,2,1013,31.1944718657453,1.09694172193364,-0.0148640145609286
DeMeco Ryans,3,2090,31.7224880382775,0.948194971923047,-0.105650085845738
Jesse Minter,2,1229,31.0821806346623,0.940100172120836,-0.101941467116551
Steve Wilks,2,1225,30.6938775510204,0.771331082801434,-0.0320590778073413
Joe Whitt Jr.,2,963,30.9449636552441,0.575438649359788,0.0955181534664153
Sean McDermott,3,1943,30.8286155429748,0.297319706542807,-0.084754376627152
Anthony Campanile,1,703,30.298719772404,0.205395530755624,-0.167821813732449
Shane Bowen,4,2320,29.4827586206897,0.0545816926349808,0.0357909740147517
Todd Bowles,4,2708,31.1299852289512,-0.015584252323506,0.0154597526367173
Joe Barry,2,1184,30.5743243243243,-0.0652996351237583,-0.0250128643621451
Lou Anarumo,4,2580,30.2325581395349,-0.0704535411656236,-0.0214563840386537
Bill Belichick,2,1259,29.7061159650516,-0.28855676886294,-0.0920377378581302
Brian Flores,3,1858,31.9698600645856,-0.558762705861827,-0.0722118231605246
Steve Spagnuolo,4,2821,30.6628855015952,-0.589798267789436,-0.0668899639442272
Don Martindale,2,1290,30.1550387596899,-0.636053093413065,-0.0483342946831919
Teryl Austin,4,2570,29.8832684824903,-0.739258984357467,-0.0191203667351012
Joe Woods,2,859,28.9871944121071,-0.959927534057876,-0.0315313514959547
Brandon Staley,3,1687,28.7492590397155,-1.01620777778959,-0.0480576548002169
Zach Orr,2,1391,28.3249460819554,-1.67014973035911,0.0062859114674586
Patrick Graham,4,2386,27.4518021793797,-1.94665068246842,0.0305106106383237
Gus Bradley,3,1757,27.43312464428,-2.05401630227241,-0.00394380357122832
Anthony Weaver,2,1160,27.6724137931034,-2.19322874756723,0.0215366762227799
Ryan Nielsen,2,1203,26.7664172901081,-2.26760526448612,0.0703159943604278
Dennis Allen,4,2160,27.5925925925926,-2.32633128175857,-0.0767627242152769
Raheem Morris,2,1268,27.2870662460568,-2.32650096166868,0.0165529795922339
Nick Rallis,3,1718,25.6693830034924,-3.21834339685434,0.0934488036983121
Ejiro Evero,4,2287,24.7923043288151,-4.89298970380306,0.00793317228084907
