caller,seasons,n,actual,resid,epa
Brian Flores,3,1858,46.232508073197,20.5474805147001,-0.0722118231605246
Don Martindale,2,1290,43.4108527131783,15.472114614045,-0.0483342946831919
Josh Boyer,1,710,37.4647887323944,9.5786083468669,-0.0267331685293731
Todd Bowles,4,2708,35.8567208271787,9.41152735888418,0.0154597526367173
Vance Joseph,4,2665,35.1219512195122,8.70573694470007,-0.0676323346190823
Aaron Glenn,3,2020,32.2772277227723,6.75327082819278,0.00873125619739116
Joe Barry,2,1184,33.0236486486487,6.33157445401004,-0.0250128643621451
Steve Spagnuolo,4,2821,30.804679191776,4.90380930055681,-0.0668899639442272
Joe Whitt Jr.,2,963,31.9833852544133,4.82981807357889,0.0955181534664153
Ejiro Evero,4,2287,32.2693484914735,4.29780729014018,0.00793317228084907
Teryl Austin,4,2570,29.6108949416342,3.12625944411476,-0.0191203667351012
Dan Quinn,3,1522,27.9894875164258,2.76870369340896,-0.082078235357285
Jonathan Gannon,1,705,26.0992907801419,2.5615802312151,-0.197360319226769
Mike Caldwell,2,1373,28.6234522942462,2.46955890409264,-0.054403104279421
Brandon Staley,3,1687,29.3420272673385,1.67034825439293,-0.0480576548002169
Jim Schwartz,3,1697,28.285209192693,1.54738888939163,-0.150076800911223
Raheem Morris,2,1268,28.2334384858044,1.36648001610551,0.0165529795922339
Anthony Campanile,1,703,26.8847795163585,1.33912842800235,-0.167821813732449
Anthony Weaver,2,1160,26.551724137931,0.104350108524844,0.0215366762227799
Jack Del Rio,2,1013,26.4560710760119,-0.496936834032062,-0.0148640145609286
Bill Belichick,2,1259,27.4027005559968,-0.553591599994204,-0.0920377378581302
Matt Eberflus,3,1563,24.5681381957773,-1.70877310933018,0.0195436931738981
DeMeco Ryans,3,2090,24.3540669856459,-1.81432786981383,-0.105650085845738
Lou Anarumo,4,2580,23.953488372093,-2.05701098452474,-0.0214563840386537
Jeff Ulbrich,4,2315,23.9308855291577,-2.86102295477049,-0.107130864313472
Dennis Allen,4,2160,23.2407407407408,-2.97980207579072,-0.0767627242152769
Steve Wilks,2,1225,22.9387755102041,-3.08265601630721,-0.0320590778073413
Patrick Graham,4,2386,24.5180217937972,-3.16190052174863,0.0305106106383237
Mike Macdonald,4,2822,22.1828490432318,-3.27307072961155,-0.121913284027367
Jesse Minter,2,1229,22.213181448332,-3.43319432911493,-0.101941467116551
Sean McDermott,3,1943,21.1528564076171,-4.46359059057757,-0.084754376627152
Shane Bowen,4,2320,22.9310344827586,-4.47126597487206,0.0357909740147517
Zach Orr,2,1391,21.2077641984184,-4.64266335509992,0.0062859114674586
Joe Woods,2,859,22.9336437718277,-4.88312295068823,-0.0315313514959547
Nick Rallis,3,1718,22.1187427240978,-4.94884003606452,0.0934488036983121
Chris Shula,2,1413,20.8775654635527,-5.03471582107675,-0.0423745594975412
Vic Fangio,3,2027,19.6842624568328,-5.89652282976581,-0.125265426990738
Dennard Wilson,2,1060,22.5471698113208,-6.33947004581679,0.0652187556783969
Jeff Hafley,2,1267,18.7056037884767,-6.89123965676319,-0.0256764837141917
Clint Hurtt,2,1255,18.8844621513944,-7.63398393751141,0.0163098673080196
Ryan Nielsen,2,1203,18.7032418952618,-8.89129251495611,0.0703159943604278
Gus Bradley,3,1757,17.7575412635174,-9.69437307227078,-0.00394380357122832
