caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,628,37.2611464968153,27.8174606495934,0.0106755297417477,9.44368584722186
Dean Pees,2022,582,19.0721649484536,28.7161264382943,0.10046385693335,-9.64396148984068
Mike Macdonald,2022,677,23.781388478582,25.7625322535832,-0.0295570256846082,-1.98114377500124
Leslie Frazier,2022,696,18.5344827586207,24.7971268092421,-0.0657940587435649,-6.26264405062141
Alan Williams,2022,501,20.3592814371258,28.8033211027493,0.120490054720771,-8.44403966562357
Lou Anarumo,2022,708,23.1638418079096,25.6122782068738,-0.0782285504579799,-2.44843639896418
Joe Woods,2022,553,24.7739602169982,27.4637801589522,-0.0811298130514605,-2.689819941954
Dan Quinn,2022,695,24.8920863309352,23.5581588731717,-0.124072354946205,1.33392745776356
Ejiro Evero,2022,640,35.46875,27.0423891831888,-0.107652808034618,8.42636081681123
Aaron Glenn,2022,598,33.9464882943144,26.1474986003095,0.0353758161432768,7.79898969400487
Joe Barry,2022,512,37.890625,27.8739966495778,-0.0625811707650428,10.0166283504223
Lovie Smith,2022,561,18.5383244206774,27.2424630488729,-0.0355734125330861,-8.70413862819553
Gus Bradley,2022,557,16.1579892280072,28.7560497830276,-0.0202600981177396,-12.5980605550204
Mike Caldwell,2022,716,28.072625698324,26.4343442478576,-0.0104921433499721,1.63828145046642
Steve Spagnuolo,2022,800,26.125,25.0679265749641,-0.0477910391101621,1.05707342503591
Raheem Morris,2022,594,31.4814814814815,27.1714429976262,0.0437372514024778,4.3100384838553
Brandon Staley,2022,594,32.4915824915825,27.2435273078305,-0.0811717644042209,5.248055183752
Patrick Graham,2022,616,28.2467532467532,28.2971946758448,0.0769103187251253,-0.0504414290915527
Josh Boyer,2022,710,37.4647887323944,27.8861803855275,-0.0267331685293731,9.5786083468669
Ed Donatell,2022,692,22.3988439306359,27.3056505673237,0.0195037485961664,-4.90680663668779
Bill Belichick,2022,650,22.7692307692307,27.0355801324432,-0.144572090495091,-4.26634936321244
Dennis Allen,2022,584,16.9520547945206,26.25263999599,-0.107143112841025,-9.30058520146939
Don Martindale,2022,674,41.3946587537092,27.7377879755566,-0.00376737152864682,13.6568707781526
Jeff Ulbrich,2022,597,15.9128978224456,27.4637684616037,-0.15626633581604,-11.5508706391582
Jonathan Gannon,2022,705,26.0992907801419,23.5377105489268,-0.197360319226769,2.5615802312151
Teryl Austin,2022,581,29.4320137693632,27.1756429071322,0.0315493112285713,2.256370862231
Clint Hurtt,2022,623,16.3723916532905,26.2728653256191,0.0170798786193817,-9.90047367232857
DeMeco Ryans,2022,737,21.8453188602442,25.0282304725399,-0.157630941882386,-3.18291161229564
Todd Bowles,2022,649,31.2788906009245,27.2583929348295,-0.0125093464517198,4.020497666095
Shane Bowen,2022,710,15.3521126760564,26.8938092541107,0.0124962299216119,-11.5416965780543
Jack Del Rio,2022,555,25.7657657657658,26.5990490654299,-0.106353273366888,-0.833283299664117
Al Holcomb,2022,436,34.1743119266055,25.7798938507881,0.00240551310360698,8.39441807581745
Nick Rallis,2023,538,16.728624535316,26.8337494073969,0.114198332548584,-10.1051248720809
Ryan Nielsen,2023,589,23.0899830220713,26.9057202170301,-0.0280195265697671,-3.81573719495879
Mike Macdonald,2023,768,20.5729166666667,24.4052795198513,-0.217687030368931,-3.83236285318465
Sean McDermott,2023,669,20.4783258594918,25.7067595729646,-0.150899778895626,-5.22843371347281
Ejiro Evero,2023,507,34.7140039447732,29.4696193489685,-0.0461376749669776,5.24438459580467
Lou Anarumo,2023,599,22.3706176961603,26.4068099537954,-0.00368748994572119,-4.03619225763518
Jim Schwartz,2023,606,27.7227722772277,24.9351846638194,-0.261423057455434,2.78758761340832
Dan Quinn,2023,576,31.25,25.287282722032,-0.109120351608403,5.96271727796799
Vance Joseph,2023,612,34.8039215686275,26.6487877499434,0.0227281900268858,8.15513381868409
Aaron Glenn,2023,745,27.51677852349,25.3929253272562,0.0495123728428463,2.12385319623374
Joe Barry,2023,672,29.3154761904762,25.7915618480183,0.0036106071829198,3.52391434245788
DeMeco Ryans,2023,686,23.9067055393586,27.5455246502995,-0.0342582921577623,-3.63881911094089
Gus Bradley,2023,619,17.4474959612278,26.0060339263356,-0.0275168711641545,-8.5585379651078
Mike Caldwell,2023,657,29.2237442922374,25.8482574478155,-0.102257363070114,3.37548684442197
Steve Spagnuolo,2023,773,31.5653298835705,25.4429583641355,-0.173760262294462,6.12237151943505
Raheem Morris,2023,674,25.3709198813056,26.5986145385582,-0.00740467241857451,-1.22769465725261
Brandon Staley,2023,559,28.6225402504472,27.6885801456429,0.0150354584955572,0.933960104804338
Patrick Graham,2023,610,19.5081967213115,26.567284335367,-0.0675487191110972,-7.05908761405557
Vic Fangio,2023,665,23.1578947368421,25.0743230163379,-0.0797095666646506,-1.91642827949578
Brian Flores,2023,647,50.5409582689336,27.102969503937,0.00153876476600141,23.4379887649965
Bill Belichick,2023,609,32.3481116584565,28.93898971807,-0.0359665897234427,3.40912194038651
Dennis Allen,2023,592,21.6216216216216,26.0016343543759,-0.132649905888389,-4.38001273275428
Don Martindale,2023,616,45.6168831168831,28.1586088512286,-0.0970974541087819,17.4582742656545
Jeff Ulbrich,2023,570,16.8421052631579,26.8800303496813,-0.198428766452299,-10.0379250865234
Sean Desai,2023,599,23.7061769616027,26.4135307425599,0.00987923006295494,-2.70735378095721
Teryl Austin,2023,650,30.6153846153846,26.7335244262448,-0.0956845834894249,3.88186018913979
Clint Hurtt,2023,632,21.3607594936709,26.7605296577787,0.0155508213476105,-5.39977016410778
Steve Wilks,2023,794,19.1435768261965,24.3886857448376,-0.122713570060474,-5.24510891864108
Todd Bowles,2023,742,41.644204851752,27.472419608535,-0.000109566522779434,14.171785243217
Shane Bowen,2023,614,21.0097719869707,27.2105314699077,0.0544102393570036,-6.20075948293706
Jack Del Rio,2023,458,27.292576419214,27.3819318374692,0.0960017903240224,-0.0893554182552272
Matt Eberflus,2023,585,21.8803418803419,24.9347314187604,-0.0812716296754589,-3.05438953841854
Nick Rallis,2024,579,23.4887737478411,26.6083987059783,0.0369110103432793,-3.11962495813716
Jimmy Lake,2024,609,22.6600985221675,25.628575314393,0.0750611011146863,-2.9684767922255
Zach Orr,2024,736,18.070652173913,25.9220645084734,-0.0295165821925098,-7.85141233456039
Sean McDermott,2024,697,19.5121951219512,24.9101002629809,0.0238375820639086,-5.39790514102968
Ejiro Evero,2024,560,31.7857142857143,27.8817796853504,0.131088457389601,3.90393460036387
Matt Eberflus,2024,387,23.2558139534884,27.5264870895203,-0.0961321809687666,-4.2706731360319
Lou Anarumo,2024,609,22.6600985221675,26.1498075614764,-0.00194351603881106,-3.48970903930891
Jim Schwartz,2024,552,29.3478260869565,28.5669321450742,0.00652085376255513,0.780893941882304
Mike Zimmer,2024,563,31.6163410301954,25.7410936454579,-0.0048917862148312,5.87524738473748
Vance Joseph,2024,697,35.2941176470589,26.013212583136,-0.128685204197293,9.28090506392286
Aaron Glenn,2024,677,36.0413589364845,25.1173698600585,-0.0596814155138403,10.923989076426
Jeff Hafley,2024,633,16.2717219589257,25.7868778331302,-0.111357594335578,-9.51515587420451
DeMeco Ryans,2024,667,27.5862068965517,26.0118582901703,-0.121639410539802,1.57434860638146
Gus Bradley,2024,581,19.6213425129088,27.7420976909323,0.0368133477238287,-8.12075517802353
Ryan Nielsen,2024,614,14.4951140065147,28.2553024229014,0.164647626001934,-13.7601884163868
Steve Spagnuolo,2024,705,32.3404255319149,26.0158835594536,0.0318353156512935,6.32454197246132
Chris Shula,2024,655,21.9847328244275,26.710874669197,0.00942778219362243,-4.72614184476947
Jesse Minter,2024,646,24.4582043343653,25.0234167573068,-0.0927591524649147,-0.565212422941499
Patrick Graham,2024,599,27.8797996661102,28.2861882917123,0.0500827922869805,-0.406388625602062
Anthony Weaver,2024,607,22.8995057660626,26.1157793663381,-0.0425229116175725,-3.21627360027548
Brian Flores,2024,715,40.979020979021,24.2203036133018,-0.0736490858705728,16.7587173657192
DeMarcus Covington,2024,560,31.4285714285714,28.2573443957205,0.0947924203771564,3.1712270328509
Dennis Allen,2024,324,25,25.7051857602265,-0.0885060650144158,-0.705185760226506
Shane Bowen,2024,547,32.3583180987203,28.4113630148458,0.0661273814220204,3.9469550838745
Jeff Ulbrich,2024,564,27.3049645390071,26.0353345668326,-0.00387199321457827,1.26962997217445
Vic Fangio,2024,744,16.6666666666667,24.7949912187754,-0.139198119511768,-8.12832455210868
Teryl Austin,2024,644,27.1739130434783,26.4472387592244,-0.00565356793032512,0.726674284253832
Mike Macdonald,2024,613,23.6541598694943,27.0299384075705,-0.0400422079500789,-3.37577853807618
Nick Sorensen,2024,553,19.1681735985533,26.9564659474502,-0.0203884490386706,-7.78829234889685
Todd Bowles,2024,712,36.376404494382,24.7542558049553,0.0336250965378841,11.6221486894267
Dennard Wilson,2024,504,23.6111111111111,28.6731940501976,-0.000365022795333693,-5.06208293908646
Joe Whitt Jr.,2024,633,33.8072669826224,26.5646884832855,0.0324402268840609,7.24257849933692
Joe Woods,2024,306,19.6078431372549,28.4546803488256,0.0581024695504333,-8.8468372115707
Nick Rallis,2025,601,25.6239600665558,27.7192797837237,0.129342540522135,-2.09531971716789
Jeff Ulbrich,2025,584,35.7876712328767,26.7497472152471,-0.0675149783436271,9.03792401762957
Zach Orr,2025,655,24.7328244274809,25.7699316774161,0.046515889076217,-1.03710724993519
Sean McDermott,2025,577,23.9168110918544,26.3649817675585,-0.139238468637655,-2.44817067570403
Ejiro Evero,2025,580,27.0689655172414,27.7739517525609,0.0638331503767904,-0.704986235319538
Dennis Allen,2025,660,29.3939393939394,26.6414893968878,0.00601333779508673,2.75244999705164
Al Golden,2025,568,18.8380281690141,27.5105212001838,0.103609747109069,-8.67249303116972
Jim Schwartz,2025,539,27.8293135435993,26.8913035331111,-0.185264322087722,0.938010010488178
Matt Eberflus,2025,591,28.087986463621,26.7872148667747,0.195082656219727,1.30077159684622
Vance Joseph,2025,728,33.3791208791209,25.3977726387617,-0.152692952484358,7.98134824035916
Kelvin Sheppard,2025,603,24.5439469320066,26.6999985302982,-0.0374848281356132,-2.1560515982916
Jeff Hafley,2025,634,21.1356466876972,25.4071087961317,0.0598694831995903,-4.27146210843456
Lou Anarumo,2025,664,27.4096385542169,25.9498244011214,0.00515173290609362,1.45981415309549
Anthony Campanile,2025,703,26.8847795163585,25.5456510883561,-0.167821813732449,1.33912842800235
Steve Spagnuolo,2025,543,34.622467771639,27.6305855953342,-0.0710699296115623,6.9918821763048
Chris Shula,2025,758,19.9208443271767,25.2222038876747,-0.0871377967108817,-5.30135956049795
Jesse Minter,2025,583,19.7255574614065,26.3366528392145,-0.112116038754557,-6.61109537780796
Patrick Graham,2025,561,22.2816399286988,27.564621200111,0.0652882116332108,-5.28298127141229
Anthony Weaver,2025,553,30.5605786618445,26.81134864149,0.0918516306876875,3.74923002035449
Brian Flores,2025,496,48.1854838709677,25.946860586954,-0.166342846448383,22.2386232840137
Brandon Staley,2025,534,26.5917602996255,28.1302452669915,-0.0772697694585678,-1.538484967366
Shane Bowen,2025,449,26.0579064587973,27.2393109123399,0.0102075097256885,-1.18140445354254
Steve Wilks,2025,431,29.9303944315545,29.0293205071353,0.134947109777316,0.901073924419215
Vic Fangio,2025,618,19.57928802589,27.0717694228184,-0.157512553012101,-7.49248139692837
Teryl Austin,2025,695,31.0791366906475,25.7088518871678,-0.00235052563705686,5.37028480347968
Mike Macdonald,2025,764,21.2041884816754,24.977440246337,-0.173167105157084,-3.77325176466159
Robert Saleh,2025,659,22.0030349013657,26.1024839689952,0.0793365985720395,-4.09944906762954
Todd Bowles,2025,605,33.0578512396694,26.3030106029358,0.043179843987315,6.75484063673365
Dennard Wilson,2025,556,21.5827338129496,29.0801231065939,0.124668799474728,-7.49738929364429
Joe Whitt Jr.,2025,330,28.4848484848485,28.2831435915873,0.216513085365295,0.201704893261198
Zak Kuhr,2025,646,30.4953560371517,25.2818984224608,-0.196369897424252,5.21345761469087
Matt Burke,2025,469,20.042643923241,24.9068904866669,-0.25225982005705,-4.86424656342594
Dan Quinn,2025,251,29.0836653386454,29.6718634019394,0.0962571115548392,-0.588198063294009
