caller,seasons,n,H,se
Brian Flores,3,1858,1.76187678377018,0.0156606534774233
Josh Boyer,1,710,1.59821199474255,0.0340725842719652
Don Martindale,2,1290,1.56266573395547,0.0255107983993315
Todd Bowles,4,2708,1.4171446988747,0.020246388082422
Vance Joseph,4,2665,1.41421763107649,0.0208162242509478
Lou Anarumo,4,2580,1.39969810314243,0.0250645856749774
Steve Spagnuolo,4,2821,1.39701447043642,0.0215111493729418
Bill Belichick,2,1259,1.38671808959673,0.0326301677540279
Aaron Glenn,3,2020,1.36448870739664,0.0252695073094838
Anthony Campanile,1,703,1.32710706536073,0.0431162628541149
Mike Caldwell,2,1373,1.31114246063604,0.0307112858083316
Joe Barry,2,1184,1.28707906646899,0.0322474562169599
Dennis Allen,4,2160,1.28067171661627,0.0273674179678385
Patrick Graham,4,2386,1.26314358066837,0.0261428036965994
Joe Whitt Jr.,2,963,1.26264258301396,0.0390343597896334
Raheem Morris,2,1268,1.23942132878097,0.0307855944945982
Nick Rallis,3,1718,1.22438657465325,0.0306111620792284
Ejiro Evero,4,2287,1.21328041303447,0.0227043297269731
Teryl Austin,4,2570,1.2090110093464,0.022860532642493
Joe Woods,2,859,1.20236388508842,0.0434561310995577
Dan Quinn,3,1522,1.19854096819988,0.0308613486522693
Anthony Weaver,2,1160,1.17685177648558,0.0349703758280322
Jesse Minter,2,1229,1.17402932451129,0.0364883016181812
Brandon Staley,3,1687,1.17025937228386,0.0283133802386911
Jim Schwartz,3,1697,1.16277574169169,0.0273596577075474
Jeff Ulbrich,4,2315,1.15392074827105,0.0267587103064674
Sean McDermott,3,1943,1.13425621973308,0.0303106682041907
DeMeco Ryans,3,2090,1.11711480553452,0.0269088945601682
Mike Macdonald,4,2822,1.1080327043162,0.0240831100549845
Chris Shula,2,1413,1.10484829347344,0.0335783961426962
Jack Del Rio,2,1013,1.10299149508716,0.03659881557734
Shane Bowen,4,2320,1.10203619801215,0.0259373339596624
Matt Eberflus,3,1563,1.10147966691383,0.031853288582062
Zach Orr,2,1391,1.09948975402608,0.033604764949127
Ryan Nielsen,2,1203,1.05535088111204,0.0359726571987911
Steve Wilks,2,1225,1.03843975231238,0.0361038364678057
Gus Bradley,3,1757,1.01406111910137,0.0330099382779043
Jonathan Gannon,1,705,1.00994762009347,0.0404933692117704
Clint Hurtt,2,1255,0.997276691646479,0.0364031989567267
Jeff Hafley,2,1267,0.997212274499393,0.0380023051223639
Vic Fangio,3,2027,0.977154991419073,0.0290380054025498
Dennard Wilson,2,1060,0.945332282618701,0.038933517517249
