caller,season,n,H,se
Vance Joseph,2022,628,1.39114917049031,0.0413853243767466
Dean Pees,2022,582,1.1733807407841,0.0583891574197444
Mike Macdonald,2022,677,1.22319689147298,0.0474630132328845
Leslie Frazier,2022,696,0.993137179009333,0.0490317073810785
Alan Williams,2022,501,1.04095104522746,0.061855697233518
Lou Anarumo,2022,708,1.4047735850805,0.0473893728509736
Joe Woods,2022,553,1.26153478392505,0.0531380502284686
Dan Quinn,2022,695,1.18930731691603,0.0468808777281941
Ejiro Evero,2022,640,1.27642522181943,0.0393733492142018
Aaron Glenn,2022,598,1.44939460015579,0.0434062267931254
Joe Barry,2022,512,1.30269269453775,0.0485403629755581
Lovie Smith,2022,561,0.968467284111428,0.0582904759441064
Gus Bradley,2022,557,0.896440740218319,0.0586543672236884
Mike Caldwell,2022,716,1.31185639341708,0.0425535485469583
Steve Spagnuolo,2022,800,1.26323295713943,0.0425049423001419
Raheem Morris,2022,594,1.1578282682947,0.0399223120645251
Brandon Staley,2022,594,1.27098578623641,0.0468620666016286
Patrick Graham,2022,616,1.41823011909494,0.0464558361097117
Josh Boyer,2022,710,1.59821199474255,0.0340725842719652
Ed Donatell,2022,692,0.948385810205041,0.0425589718328544
Bill Belichick,2022,650,1.28677381258801,0.0483232562107173
Dennis Allen,2022,584,1.13324049930665,0.0550713511540267
Don Martindale,2022,674,1.49961640828647,0.0383877917736315
Jeff Ulbrich,2022,597,0.931487425501078,0.0546137294259285
Jonathan Gannon,2022,705,1.00994762009347,0.0404933692117704
Teryl Austin,2022,581,1.19020758190347,0.042192261995734
Clint Hurtt,2022,623,0.92999110875525,0.0528552507035431
DeMeco Ryans,2022,737,1.03652509587445,0.0442803742501451
Todd Bowles,2022,649,1.43028235729386,0.0452197732428112
Shane Bowen,2022,710,0.906093046065122,0.0512410472565336
Jack Del Rio,2022,555,1.13240803372486,0.0502118469481109
Al Holcomb,2022,436,1.37868072154614,0.0507396485831799
Nick Rallis,2023,538,1.27928228490861,0.0599154921116159
Ryan Nielsen,2023,589,1.17714790748165,0.0476174405862101
Mike Macdonald,2023,768,1.0097361173506,0.0463363753290621
Sean McDermott,2023,669,1.04660345809869,0.0458011939823297
Ejiro Evero,2023,507,1.28517317104667,0.0448457264832945
Lou Anarumo,2023,599,1.33557001246452,0.0534856726904756
Jim Schwartz,2023,606,1.15382418742174,0.0452853605863596
Dan Quinn,2023,576,1.19128996785729,0.0491251607010628
Vance Joseph,2023,612,1.42101427266094,0.041455510489893
Aaron Glenn,2023,745,1.23247491326405,0.0442532404136171
Joe Barry,2023,672,1.27518296889279,0.0431325080504302
DeMeco Ryans,2023,686,1.13568992942475,0.0480605699677637
Gus Bradley,2023,619,1.06364703900191,0.0554280616205157
