caller,seasons,n,actual,resid,epa
Gus Bradley,3,487,26.8993839835729,3.88592977757571,-0.600869938394617
Brandon Staley,3,485,27.0103092783505,3.72082563558805,-0.659511252331365
Jesse Minter,2,382,25.9162303664922,2.57968421030732,-0.604569824695275
Jack Del Rio,2,316,24.6835443037975,2.28923909318975,-0.49363098947237
Jeff Ulbrich,4,777,24.8391248391248,2.16984779333055,-0.523545796116347
Vance Joseph,4,874,25.0572082379863,2.09063837215202,-0.617499115366971
Steve Spagnuolo,4,866,24.7113163972286,2.08017245261966,-0.634403579242476
Brian Flores,3,594,24.0740740740741,1.60093185451095,-0.506511835945826
Teryl Austin,4,768,23.5677083333333,1.35566608223598,-0.603910053773385
Dennard Wilson,2,315,23.4920634920635,1.35302677277534,-0.561754417845181
Clint Hurtt,2,391,23.7851662404092,1.3336245608909,-0.547784036678046
Jim Schwartz,3,602,23.7541528239203,1.19339077798433,-0.552049908415721
Nick Rallis,3,441,23.5827664399093,1.08560575953686,-0.50279357539418
Raheem Morris,2,346,23.6994219653179,0.99064212270899,-0.54354134063651
Dennis Allen,3,506,24.1106719367589,0.913821128399477,-0.590799568815473
Ryan Nielsen,2,323,23.5294117647059,0.913773350210014,-0.488578431108598
DeMeco Ryans,3,663,23.8310708898944,0.670763598488102,-0.629882689720641
Bill Belichick,2,375,24,0.6562334994475,-0.643896049838513
Joe Barry,2,362,23.2044198895028,0.468114928152016,-0.544004949946883
Mike Macdonald,4,904,23.783185840708,0.376559387628744,-0.623379760551621
Shane Bowen,4,684,22.6608187134503,0.123449316934534,-0.622139024132269
Vic Fangio,3,667,23.3883058470765,0.113373259822466,-0.637520740582221
Anthony Weaver,2,321,23.0529595015576,-0.0354334410291591,-0.441192127352238
Chris Shula,2,467,22.6980728051392,-0.24125298736437,-0.532514073315617
Sean McDermott,3,599,22.8714524207012,-0.300789323444162,-0.593554493195326
Patrick Graham,4,655,22.5954198473282,-0.319985831511844,-0.513755633104735
Ejiro Evero,4,567,22.2222222222222,-0.377630593494973,-0.585355172641707
Zach Orr,2,394,22.5888324873096,-0.562781027428392,-0.554468999092046
Todd Bowles,4,843,21.7081850533808,-1.30777010696356,-0.406530331750925
Jeff Hafley,2,397,21.1586901763224,-1.55899824400993,-0.515738822203669
Dan Quinn,2,470,22.1276595744681,-1.57469180987236,-0.643454129554014
Don Martindale,2,389,19.5372750642674,-3.0288429236504,-0.499952050648956
Lou Anarumo,4,781,19.8463508322663,-3.13643837841312,-0.523219594254937
Steve Wilks,2,377,19.893899204244,-3.3299095296259,-0.472413129066994
Matt Eberflus,3,484,19.4214876033058,-3.50354729020152,-0.416959426812212
Aaron Glenn,3,658,18.9969604863222,-3.73827593916274,-0.441742232477004
Mike Caldwell,2,436,17.8899082568807,-4.75788291270306,-0.517819266168213
