caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,184,19.5652173913043,23.0517381397278,-0.489202593817659,-3.4865207484235
Dean Pees,2022,125,16.8,22.716937482357,-0.543843288362026,-5.91693748235703
Mike Macdonald,2022,187,27.807486631016,23.3605607945651,-0.479719204618969,4.4469258364509
Leslie Frazier,2022,210,21.4285714285714,23.1999351403543,-0.702489857730411,-1.77136371178287
Alan Williams,2022,104,19.2307692307692,23.1914217440555,-0.534865029012928,-3.96065251328625
Lou Anarumo,2022,222,16.2162162162162,23.0079869764882,-0.478479054630608,-6.79177076027201
Joe Woods,2022,152,22.3684210526316,23.4326589166334,-0.3908925710344,-1.06423786400181
Dan Quinn,2022,264,21.969696969697,23.4980962352093,-0.724073432273034,-1.52839926551236
Ejiro Evero,2022,179,20.1117318435754,22.6403514599667,-0.506981985929667,-2.52861961639127
Aaron Glenn,2022,186,20.9677419354839,23.1883411325755,-0.374229830799885,-2.22059919709159
Joe Barry,2022,157,21.656050955414,22.7539341018838,-0.44230126492252,-1.09788314646975
Lovie Smith,2022,179,21.7877094972067,20.9975915914141,-0.524832962819651,0.790117905792577
Gus Bradley,2022,146,30.1369863013699,22.894121119625,-0.631752236197664,7.24286518174492
Mike Caldwell,2022,235,16.1702127659574,22.9009193974607,-0.461192991568687,-6.73070663150321
Steve Spagnuolo,2022,233,27.4678111587983,22.8446734917266,-0.780044430347215,4.62313766707166
Raheem Morris,2022,152,25,22.5222506952521,-0.531407539181313,2.4777493047479
Brandon Staley,2022,164,25.609756097561,23.584031213711,-0.642664535334561,2.02572488385004
Patrick Graham,2022,169,15.9763313609467,23.0880381616615,-0.312452503562679,-7.11170680071475
Josh Boyer,2022,231,20.3463203463204,22.5632588907238,-0.527349808450901,-2.21693854440342
Ed Donatell,2022,175,23.4285714285714,21.955927750894,-0.547304092784013,1.47264367767743
Bill Belichick,2022,205,26.3414634146341,23.6175677907176,-0.695222994176353,2.72389562391653
Dennis Allen,2022,159,30.188679245283,22.9147361603173,-0.658993212869332,7.27394308496572
Don Martindale,2022,220,19.0909090909091,22.7641458030451,-0.369673661379652,-3.67323671213606
Jeff Ulbrich,2022,202,22.2772277227723,22.8176408438104,-0.556171528109819,-0.540413121038146
Jonathan Gannon,2022,248,31.4516129032258,23.985407714762,-0.871198668685411,7.46620518846378
