caller,seasons,n,actual,resid,epa
DAL,4,2434,36.113393590797,9.57279520739871,-0.0154766677369897
CHI,4,2352,31.3350340136054,5.64921719962921,0.0105936403356989
LA,4,2684,30.8867362146051,5.45051129716663,-0.0128564953713104
TB,4,2708,30.7607090103397,4.76788265446265,0.0154597526367173
NYJ,4,2276,29.9648506151142,4.42029867879391,-0.0407314681143599
SEA,4,2634,29.2710706150342,3.41582523769187,-0.0514064198646242
LV,4,2387,27.6916631755341,3.10380131062425,0.0308920299967148
TEN,4,2387,26.8956849602011,3.04573781867942,0.0469276111635017
GB,4,2451,28.6821705426357,2.71315347306014,-0.0253559103511468
NE,4,2544,28.1446540880503,2.13256227408986,-0.0764435721363994
MIA,4,2536,27.1293375394322,1.73873849740481,-0.0190452964306583
PIT,4,2574,27.2727272727273,1.51345381106553,-0.0191933966408938
NO,4,2342,27.668659265585,0.979994041535033,-0.0794546871207881
LAC,4,2472,26.7394822006473,0.836136128864946,-0.0659766995531135
JAX,4,2693,25.8447827701448,0.253130145498216,-0.0337275066642962
ATL,4,2368,25.7601351351352,0.241975334781306,0.0213401114745686
DET,4,2626,25.7806549885758,0.167772039893076,-0.00171643051620988
WAS,4,2409,25.1556662515567,0.0243594034912496,0.0549066066440394
CLE,4,2251,26.254997778765,-0.087163364494024,-0.132184813533893
ARI,4,2350,23.6595744680851,-0.435472311174623,0.0717671419030177
DEN,4,2681,24.9160760910108,-0.759283660472283,-0.0956974737820343
SF,4,2746,25.2367079388201,-0.974998489369552,-0.0626305320264721
BUF,4,2639,25.1231527093596,-1.77442204749248,-0.0797538532292829
BAL,4,2836,24.2595204513399,-2.35470514882444,-0.0629231462837037
IND,4,2447,22.1904372701267,-3.21725880362559,0.00164078223672387
HOU,4,2569,23.08291163877,-3.48606203179176,-0.112901659862658
CIN,4,2486,22.4456958970233,-3.56497649816692,0.000732566716264772
MIN,4,2553,22.0133176654916,-3.65271457152488,-0.0454012766791252
CAR,4,2265,20.8388520971302,-4.1739865971388,0.0411788128299954
NYG,4,2427,18.3353934899052,-6.0065935906537,-0.0161192076212413
PHI,4,2817,20.0567980120696,-6.62362584993005,-0.118616127421273
KC,4,2824,15.5453257790368,-10.5094075382347,-0.0658827862672958
