caller,seasons,n,actual,resid,epa
Dan Quinn,3,1531,37.4265186152841,10.3205632127622,-0.0822025246852502
Chris Shula,2,1415,34.416961130742,8.63676350971835,-0.038373737428798
Anthony Campanile,1,703,32.4324324324324,6.79235099622739,-0.167821813732449
Matt Eberflus,3,1563,31.2859884836852,5.53100807419475,0.0195436931738981
Jeff Ulbrich,4,2321,31.0641964670401,5.2244017201603,-0.105009112228832
Todd Bowles,4,2708,30.7607090103397,4.7965753684577,0.0154597526367173
Dennis Allen,4,2161,31.0967144840352,4.72236606398015,-0.0768333643854566
Dennard Wilson,2,1061,27.0499528746466,4.2777663193341,0.0645730623169595
Jeff Hafley,2,1267,30.3078137332281,4.21477084525147,-0.0256764837141917
Anthony Weaver,2,1161,28.9405684754522,3.36898172291879,0.020403565667268
Patrick Graham,4,2387,27.6916631755341,3.15295330271793,0.0308920299967148
Mike Macdonald,4,2824,29.0722379603399,2.6471463625686,-0.121482697983996
Joe Woods,2,859,28.4051222351572,2.33227500911018,-0.0315313514959547
Raheem Morris,2,1269,26.9503546099291,1.90727406330377,0.0155965365525233
Teryl Austin,4,2574,27.2727272727273,1.55655644854304,-0.0191933966408938
Bill Belichick,2,1261,27.2799365582871,1.46511178951145,-0.092906709483099
Joe Barry,2,1184,26.9425675675676,1.10772188746597,-0.0250128643621451
Jack Del Rio,2,1015,26.6009852216749,0.533586690211536,-0.0171087613301763
Vance Joseph,4,2669,25.8898463844136,0.434028282105561,-0.0679900872544831
Clint Hurtt,2,1255,26.2948207171315,0.153128803666837,0.0163098673080196
Jim Schwartz,3,1698,26.5017667844523,0.00700061906071702,-0.148812266576759
Josh Boyer,1,710,24.7887323943662,0.00591557105662943,-0.0267331685293731
Brandon Staley,3,1689,25.1628182356424,-0.146549377235317,-0.0437520144621981
Joe Whitt Jr.,2,963,24.7144340602285,-0.352813310433767,0.0955181534664153
Jesse Minter,2,1232,26.3798701298701,-0.448888969643925,-0.101162706789041
Mike Caldwell,2,1376,25.5087209302326,-0.452255624005311,-0.0537377054928967
Aaron Glenn,3,2022,25.1730959446093,-0.520142233948034,0.00839355501805047
Nick Rallis,3,1721,23.5909355026147,-0.605870206893917,0.0941231592099972
DeMeco Ryans,3,2092,26.0516252390057,-1.07468831945873,-0.106019108782754
Vic Fangio,3,2041,24.8407643312102,-1.3160227464365,-0.130175615175792
Shane Bowen,4,2323,22.4709427464486,-2.08580304631579,0.0361348787361527
Sean McDermott,3,1943,24.1893978383942,-2.5229662955881,-0.084754376627152
Ryan Nielsen,2,1205,22.4896265560166,-3.05234343431798,0.0685618375171038
Brian Flores,3,1860,22.741935483871,-3.1092519327117,-0.0709032224531295
Steve Wilks,2,1228,21.9869706840391,-3.54009891757043,-0.0306268205078613
Gus Bradley,3,1781,22.0662549129703,-3.61440759831971,-0.00301346595198826
Lou Anarumo,4,2583,22.4932249322493,-3.69098308102086,-0.0187460914942134
Zach Orr,2,1391,22.1423436376708,-3.78068989513695,0.0062859114674586
Ejiro Evero,4,2291,20.3404626800524,-4.26307786459333,0.00865171239591432
Don Martindale,2,1290,18.8372093023256,-5.3268884522335,-0.0483342946831919
Steve Spagnuolo,4,2824,15.5453257790368,-10.494366991426,-0.0658827862672958
Jonathan Gannon,1,706,13.5977337110482,-14.6246516652321,-0.196589006232388
