caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,629,23.8473767885533,23.9378495805191,0.0105990881902805,-0.0904727919658015
Dean Pees,2022,582,22.6804123711341,24.7303140010442,0.10046385693335,-2.04990162991009
Mike Macdonald,2022,677,21.5657311669129,26.4454354128994,-0.0295570256846082,-4.87970424598656
Leslie Frazier,2022,696,27.7298850574713,27.4247687347447,-0.0657940587435649,0.305116322726512
Alan Williams,2022,501,33.1337325349302,24.7169847111264,0.120490054720771,8.41674782380374
Lou Anarumo,2022,709,22.9901269393512,28.2359761352768,-0.0767429105475103,-5.24584919592556
Joe Woods,2022,553,25.497287522604,25.883362413288,-0.0811298130514605,-0.386074890684029
Dan Quinn,2022,703,41.1095305832148,28.7347407388908,-0.125860678310245,12.374789844324
Ejiro Evero,2022,641,19.8127925117005,24.7152318361443,-0.106759060617367,-4.90243932444387
Aaron Glenn,2022,599,21.2020033388982,25.7549287387495,0.0338477477157654,-4.5529253998513
Joe Barry,2022,512,17.1875,25.0681126584823,-0.0625811707650428,-7.88061265848228
Lovie Smith,2022,561,29.7682709447415,25.4744164878087,-0.0355734125330861,4.29385445693278
Gus Bradley,2022,581,20.1376936316695,25.3450879782259,-0.0167342420609706,-5.20739434655634
Mike Caldwell,2022,719,23.0876216968011,25.6963966305527,-0.00940194050230974,-2.60877493375159
Steve Spagnuolo,2022,801,16.9787765293383,26.599222769991,-0.0442621812698765,-9.62044624065268
Raheem Morris,2022,594,23.2323232323232,24.1753829875177,0.0437372514024778,-0.943059755194451
Brandon Staley,2022,594,28.4511784511785,25.4788312766237,-0.0811717644042209,2.97234717455477
Patrick Graham,2022,617,22.0421393841167,25.0073709795357,0.0783107211568798,-2.96523159541902
Josh Boyer,2022,710,24.7887323943662,24.7828168233096,-0.0267331685293731,0.00591557105662943
Ed Donatell,2022,693,20.0577200577201,25.159892402213,0.0230455041861679,-5.10217234449295
Bill Belichick,2022,650,28.4615384615384,26.8630788406501,-0.144572090495091,1.59845962088839
Dennis Allen,2022,584,27.9109589041096,26.9860770623519,-0.107143112841025,0.924881841757735
Don Martindale,2022,674,16.7655786350148,24.6645290631171,-0.00376737152864682,-7.89895042810225
Jeff Ulbrich,2022,601,29.2845257903494,25.7211438133792,-0.155184334853723,3.56338197697023
Jonathan Gannon,2022,706,13.5977337110482,28.2223853762803,-0.196589006232388,-14.6246516652321
Teryl Austin,2022,582,26.6323024054983,26.281052819514,0.0300844333124989,0.351249585984309
Clint Hurtt,2022,623,24.3980738362761,26.7090094414798,0.0170798786193817,-2.31093560520374
DeMeco Ryans,2022,739,33.0175913396482,27.8370053150738,-0.158534912480714,5.1805860245744
Todd Bowles,2022,649,26.3482280431433,26.6379046975671,-0.0125093464517198,-0.289676654423772
Shane Bowen,2022,710,25.9154929577465,24.9983575835194,0.0124962299216119,0.917135374227048
Jack Del Rio,2022,557,28.1867145421903,26.4986298603793,-0.110115283157148,1.68808468181098
Al Holcomb,2022,436,22.0183486238532,26.1503646825227,0.00240551310360698,-4.13201605866949
Nick Rallis,2023,539,19.8515769944341,23.7368972636828,0.114766697217892,-3.88532026924872
Ryan Nielsen,2023,591,26.0575296108291,26.7070119195128,-0.0312633302150209,-0.649482308683663
Mike Macdonald,2023,768,30.46875,27.9912055489452,-0.217687030368931,2.4775444510548
Sean McDermott,2023,669,25.4110612855007,26.6649688676178,-0.150899778895626,-1.25390758211704
Ejiro Evero,2023,508,17.7165354330708,24.8462900952033,-0.0427549971252916,-7.12975466213243
Lou Anarumo,2023,599,23.2053422370618,25.5614690753151,-0.00368748994572119,-2.35612683825332
Jim Schwartz,2023,606,28.3828382838284,28.0989972548713,-0.261423057455434,0.28384102895707
Dan Quinn,2023,576,39.4097222222222,26.5667298889538,-0.109120351608403,12.8429923332684
Vance Joseph,2023,614,25.8957654723127,24.4839981835372,0.0213804385815941,1.41176728877553
Aaron Glenn,2023,745,22.0134228187919,25.3278338324104,0.0495123728428463,-3.31441101361843
Joe Barry,2023,672,34.375,26.419023220383,0.0036106071829198,7.95597677961701
DeMeco Ryans,2023,686,24.198250728863,25.8590297844076,-0.0342582921577623,-1.66077905554467
Gus Bradley,2023,619,21.9709208400646,26.619519389901,-0.0275168711641545,-4.64859854983638
Mike Caldwell,2023,657,28.158295281583,26.2505244463682,-0.102257363070114,1.90777083521474
Steve Spagnuolo,2023,774,14.5994832041344,26.7946744717908,-0.173833368280517,-12.1951912676564
Raheem Morris,2023,675,30.2222222222222,25.80665439864,-0.0091672925154367,4.41556782358221
Brandon Staley,2023,559,27.3703041144902,24.1950445476926,0.0150354584955572,3.17525956679755
Patrick Graham,2023,610,25.9016393442623,24.4861164148592,-0.0675487191110972,1.41552292940312
