caller,epa_all,np,p4,r5,stu,H
Aaron Glenn,0.00839355501805042,2022,1.60081520642279,6.75327082819278,-0.520142233948034,1.36448870739664
Anthony Weaver,0.020403565667268,1161,-1.48487987808219,0.104350108524844,3.36898172291879,1.17685177648558
Bill Belichick,-0.0929067094830987,1261,1.11736682656315,-0.553591599994204,1.46511178951145,1.38671808959673
Brandon Staley,-0.0437520144621981,1689,-0.368248537647669,1.67034825439293,-0.146549377235317,1.17025937228386
Chris Shula,-0.0383737374287981,1415,3.70821667613291,-5.03471582107675,8.63676350971835,1.10484829347344
Clint Hurtt,0.0163098673080187,1255,-0.836754540500273,-7.63398393751141,0.153128803666837,0.997276691646479
Dan Quinn,-0.0822025246852504,1531,5.73991295633785,2.76870369340896,10.3205632127622,1.19854096819988
DeMeco Ryans,-0.118057561225899,2278,1.33539713822401,-1.81432786981383,-1.07468831945873,1.11711480553452
Dennard Wilson,0.0645730623169596,1061,1.12904649753513,-6.33947004581679,4.2777663193341,0.945332282618701
Dennis Allen,-0.0768333643854564,2161,-2.64614234006169,-2.97980207579072,4.72236606398015,1.28067171661627
Ejiro Evero,0.00865171239591423,2291,-4.81863242040079,4.29780729014018,-4.26307786459333,1.21328041303447
Gus Bradley,-0.00301346595198803,1781,-1.33422121266139,-9.69437307227078,-3.61440759831971,1.01406111910137
Jack Del Rio,-0.0171087613301765,1015,2.08424838846677,-0.496936834032062,0.533586690211536,1.10299149508716
Jeff Hafley,-0.0256764837141915,1267,0.865616061579635,-6.89123965676319,4.21477084525147,0.997212274499393
Jeff Ulbrich,-0.105009112228832,2321,3.57037585144117,-2.86102295477049,5.2244017201603,1.15392074827105
Jesse Minter,-0.101162706789041,1232,0.244598038803985,-3.43319432911493,-0.448888969643925,1.17402932451129
Jim Schwartz,-0.148812266576759,1698,5.50495768801318,1.54738888939163,0.00700061906071702,1.16277574169169
Joe Barry,-0.0250128643621448,1184,0.906638191143667,6.33157445401004,1.10772188746597,1.28707906646899
Lou Anarumo,-0.0187460914942134,2583,0.70370981862394,-2.05701098452474,-3.69098308102086,1.39969810314243
Matt Eberflus,0.0195436931738984,1563,0.131425765774597,-1.70877310933018,5.53100807419475,1.10147966691383
Mike Caldwell,-0.0537377054928964,1376,2.005058678779,2.46955890409264,-0.452255624005311,1.31114246063604
Mike Macdonald,-0.121482697983995,2824,0.70796206898778,-3.27307072961155,2.6471463625686,1.1080327043162
Nick Rallis,0.0941231592099969,1721,-3.11438636451351,-4.94884003606452,-0.605870206893917,1.22438657465325
Patrick Graham,0.0308920299967148,2387,-2.03326135731963,-3.16190052174863,3.15295330271793,1.26314358066837
Raheem Morris,0.0155965365525232,1269,-1.71823854152664,1.36648001610551,1.90727406330377,1.23942132878097
Ryan Nielsen,0.0685618375171038,1205,-2.14717871632727,-8.89129251495611,-3.05234343431798,1.05535088111204
Sean McDermott,-0.0847543766271521,1943,-0.629040927511367,-4.46359059057757,-2.5229662955881,1.13425621973308
Shane Bowen,0.0361348787361529,2323,-1.43795019506297,-4.47126597487206,-2.08580304631579,1.10203619801215
Steve Spagnuolo,-0.0658827862672959,2824,-1.04447140725086,4.90380930055681,-10.494366991426,1.39701447043642
Steve Wilks,-0.0306268205078613,1228,1.16127136164412,-3.08265601630721,-3.54009891757043,1.03843975231238
Teryl Austin,-0.0191933966408937,2574,-1.05530333373155,3.12625944411476,1.55655644854304,1.2090110093464
Todd Bowles,0.0154597526367175,2708,-0.286481878126194,9.41152735888418,4.7965753684577,1.4171446988747
Vance Joseph,-0.067990087254483,2669,1.76285354716585,8.70573694470007,0.434028282105561,1.41421763107649
Vic Fangio,-0.130175615175792,2041,3.28663514427582,-5.89652282976581,-1.3160227464365,0.977154991419073
Zach Orr,0.00628591146745929,1391,-1.39328722373239,-4.64266335509992,-3.78068989513695,1.09948975402608
