caller,seasons,n,mu,raw,se
Dan Quinn,2,448,-0.121016134920442,2.36834821477532,0.022219898695753
Mike Caldwell,2,409,-0.0671247087442998,2.42058679293887,0.0258764044310614
Jim Schwartz,3,578,-0.0636979922258866,2.41840830228733,0.0196832399162877
DeMeco Ryans,3,638,-0.0494659833910904,2.44070532796525,0.0181592158011606
Vic Fangio,3,639,-0.0440690948123151,2.45826290788039,0.0193031280173273
Mike Macdonald,4,878,-0.0285003842671228,2.46101366509609,0.0173211274025119
Teryl Austin,4,737,-0.0262054523199952,2.44830393225076,0.0176440186374716
Sean McDermott,3,588,-0.0256966196607137,2.47034013656532,0.0199327994614881
Patrick Graham,4,641,-0.0177393047900384,2.47029640949833,0.0204595738269209
Todd Bowles,4,810,-0.017469982850777,2.44570370632925,0.0180156735027207
Chris Shula,2,449,-0.0141933269029765,2.48726058006287,0.0217262452708055
Vance Joseph,4,838,-0.0127442852726332,2.46002386250758,0.0174981769557045
Brian Flores,3,574,-0.0127389287617879,2.41618466958767,0.0217652079553003
Shane Bowen,4,657,-0.0123893187050785,2.48660577940251,0.020434778660718
Steve Spagnuolo,4,832,-0.0111248311136609,2.45036057454462,0.0185883123701018
Jeff Ulbrich,4,746,0.000818880292015411,2.49817694384035,0.0174948844236957
Ejiro Evero,4,550,0.00617113268197261,2.48727272207087,0.0224020428254742
Gus Bradley,3,458,0.0116963968016587,2.52624453910053,0.0210138649518755
Matt Eberflus,3,464,0.0231881036905299,2.51599137896094,0.0213588648432756
Nick Rallis,3,423,0.0370689713190354,2.53586288124112,0.026503914258952
Lou Anarumo,4,736,0.0516564545897416,2.54442934886269,0.0183944342973129
Brandon Staley,3,463,0.0659165892101275,2.54954643705236,0.0230839386694056
Aaron Glenn,3,636,0.0856641582019618,2.53333333003446,0.0196743338483845
Dennis Allen,3,494,0.131712585551894,2.62396760725299,0.022677536583794
