caller,run_concept,N,share
Andy Reid,OUTSIDE ZONE,467,28.4756097560976
Andy Reid,INSIDE ZONE,513,31.2804878048781
Andy Reid,COUNTER,167,10.1829268292683
Andy Reid,TRICK,53,3.23170731707317
Andy Reid,MAN,98,5.97560975609756
Pete Carmichael,INSIDE ZONE,170,19.3842645381984
Pete Carmichael,OUTSIDE ZONE,262,29.8745724059293
Pete Carmichael,MAN,154,17.5598631698974
Pete Carmichael,PULL LEAD,50,5.70125427594071
Pete Carmichael,POWER,110,12.5427594070696
Pete Carmichael,COUNTER,49,5.58722919042189
Zac Taylor,INSIDE ZONE,382,26.7694463910301
Zac Taylor,OUTSIDE ZONE,283,19.8318149964961
Zac Taylor,TRAP,61,4.27470217238963
Zac Taylor,COUNTER,39,2.73300630693763
Zac Taylor,PULL LEAD,84,5.8864751226349
Zac Taylor,MAN,360,25.2277505255781
Zac Taylor,SNEAK,46,3.22354590049054
Zac Taylor,POWER,100,7.00770847932726
Sean McVay,INSIDE ZONE,270,15.2027027027027
Sean McVay,OUTSIDE ZONE,496,27.9279279279279
Sean McVay,MAN,682,38.4009009009009
Mike McDaniel,INSIDE ZONE,278,17.4732872407291
Mike McDaniel,OUTSIDE ZONE,661,41.5461973601508
Mike McDaniel,PULL LEAD,121,7.60527969830295
Mike McDaniel,TRICK,77,4.83972344437461
Mike McDaniel,MAN,191,12.0050282840981
Mike McDaniel,COUNTER,76,4.77686989314896
Kevin Stefanski,MAN,168,13.0739299610895
Kevin Stefanski,PULL LEAD,212,16.4980544747082
Kevin Stefanski,OUTSIDE ZONE,339,26.3813229571984
Kevin Stefanski,INSIDE ZONE,129,10.0389105058366
Kevin Stefanski,POWER,175,13.6186770428016
Kevin Stefanski,SNEAK,39,3.03501945525292
Kevin Stefanski,TRICK,23,1.78988326848249
Kevin Stefanski,DRAW,55,4.28015564202335
Kyle Shanahan,DRAW,36,1.85375901132853
Kyle Shanahan,MAN,195,10.0411946446962
Kyle Shanahan,INSIDE ZONE,326,16.7868177136972
Kyle Shanahan,OUTSIDE ZONE,856,44.0782698249228
Kyle Shanahan,COUNTER,136,7.00308959835221
Kyle Shanahan,POWER,155,7.98146240988671
Kyle Shanahan,TRICK,50,2.57466529351184
Kyle Shanahan,SNEAK,73,3.75901132852729
Kyle Shanahan,PULL LEAD,81,4.17095777548919
Greg Roman,MAN,156,11.7293233082707
Greg Roman,OUTSIDE ZONE,220,16.5413533834586
Greg Roman,POWER,205,15.4135338345865
Greg Roman,COUNTER,222,16.6917293233083
Greg Roman,INSIDE ZONE,246,18.4962406015038
Greg Roman,SNEAK,38,2.85714285714286
Greg Roman,DRAW,32,2.40601503759399
Matt Canada,TRICK,56,7.97720797720798
Matt Canada,MAN,95,13.5327635327635
Matt Canada,INSIDE ZONE,230,32.7635327635328
Matt Canada,PULL LEAD,31,4.41595441595442
Matt Canada,OUTSIDE ZONE,148,21.0826210826211
Matt Canada,COUNTER,13,1.85185185185185
Shane Waldron,OUTSIDE ZONE,313,32.8436516264428
Shane Waldron,INSIDE ZONE,231,24.2392444910808
Shane Waldron,DRAW,53,5.56138509968521
Shane Waldron,SNEAK,12,1.2591815320042
Shane Waldron,COUNTER,74,7.76495278069255
Shane Waldron,MAN,137,14.3756558237146
Shane Waldron,PULL LEAD,30,3.14795383001049
Shane Steichen,INSIDE ZONE,648,34.3766578249337
Shane Steichen,OUTSIDE ZONE,335,17.7718832891247
Shane Steichen,COUNTER,156,8.27586206896552
Shane Steichen,TRAP,93,4.93368700265252
Shane Steichen,POWER,171,9.07161803713528
Shane Steichen,SNEAK,62,3.28912466843501
Shane Steichen,MAN,212,11.2466843501326
Shane Steichen,PULL LEAD,144,7.63925729442971
Kevin O'Connell,INSIDE ZONE,311,20.4068241469816
Kevin O'Connell,MAN,347,22.7690288713911
Kevin O'Connell,POWER,93,6.10236220472441
Kevin O'Connell,OUTSIDE ZONE,574,37.6640419947507
Kevin O'Connell,TRICK,38,2.49343832020997
Kliff Kingsbury,PULL LEAD,109,8.35889570552147
Kliff Kingsbury,INSIDE ZONE,404,30.9815950920245
Kliff Kingsbury,MAN,254,19.478527607362
Kliff Kingsbury,DRAW,55,4.21779141104294
Kliff Kingsbury,OUTSIDE ZONE,152,11.6564417177914
Kliff Kingsbury,POWER,84,6.44171779141104
Kliff Kingsbury,COUNTER,179,13.7269938650307
Ken Dorsey,POWER,102,11.5254237288136
Ken Dorsey,INSIDE ZONE,219,24.7457627118644
Ken Dorsey,OUTSIDE ZONE,156,17.6271186440678
Ken Dorsey,COUNTER,47,5.31073446327684
Ken Dorsey,MAN,144,16.271186440678
Ken Dorsey,PULL LEAD,104,11.7514124293785
Ken Dorsey,TRAP,21,2.3728813559322
Ken Dorsey,DRAW,40,4.51977401129944
Josh McDaniels,INSIDE ZONE,117,11.1961722488038
Josh McDaniels,TRAP,22,2.10526315789474
Josh McDaniels,POWER,96,9.1866028708134
Josh McDaniels,PULL LEAD,51,4.88038277511962
Josh McDaniels,DRAW,71,6.79425837320574
Josh McDaniels,MAN,365,34.9282296650718
Josh McDaniels,OUTSIDE ZONE,196,18.755980861244
Matt LaFleur,TRICK,64,3.45945945945946
