caller,seasons,n,actual,resid,epa
Mike McDaniel,4,1764,56.2358276643991,25.3252099272362,-0.0968173829914661
Kyle Shanahan,4,2170,49.6774193548387,18.1488284693542,-0.0362778989000523
Greg Roman,3,1530,43.8562091503268,13.7006216732408,-0.0125966028575147
Bobby Slowik,2,977,44.4216990788127,13.5098667142335,-0.123659321741356
Josh McDaniels,2,1039,43.599615014437,13.2095986538001,-0.0480597143126892
Klint Kubiak,3,1250,42.48,12.3682189765572,-0.0479768111981451
Pete Carmichael,2,945,40,8.42029869990058,-0.120497307976678
Todd Monken,3,1740,36.7816091954023,5.5941143034604,0.0499095987065576
Sean McVay,4,1909,34.8873755893138,4.70151589913103,-0.0453148436585744
Sean Payton,3,1431,33.6827393431167,3.57277944246678,-0.0670764564339964
Arthur Smith,4,2050,32.6829268292683,3.04070039293388,-0.0694383077998079
Todd Downing,2,737,32.0217096336499,2.27916178570268,-0.0943273263136773
Ben Johnson,4,2189,31.5669255367748,1.18260699157957,-0.00810863306684635
Zac Robinson,2,972,29.8353909465021,-0.189621979562351,-0.035932671952774
Luke Getsy,2,1092,28.5714285714286,-0.342769091846518,0.0408882315256958
Kliff Kingsbury,3,1544,28.1735751295337,-0.956686202031342,0.0250135431264604
Matt LaFleur,4,2024,29.49604743083,-1.51519061253948,-0.0383509099222361
Kevin O'Connell,4,1702,29.4359576968273,-1.66780795074657,-0.074440492448954
Mike Kafka,3,1535,27.0358306188925,-1.83245502679278,-0.0341863312797942
Drew Petzing,3,1300,26.6923076923077,-2.59161268547178,0.00205158725194336
Liam Coen,2,1020,27.2549019607843,-3.15186512674773,-0.0154401552297322
Andy Reid,4,1978,26.845298281092,-3.98843264333428,-0.0207990338685438
Matt Canada,2,779,25.8023106546855,-4.56654695418588,-0.0254601742773385
Dave Canales,3,1376,23.546511627907,-5.4749797348767,-0.0794910293158421
Shane Steichen,4,2081,24.7477174435368,-5.70851290962806,0.00629368169784344
Mike McCarthy,2,922,24.7288503253796,-5.71021147096556,-0.0709423275145251
Kellen Moore,4,2224,24.4154676258993,-5.92559359870556,-0.0429810169145063
Shane Waldron,3,1076,22.5836431226766,-7.73773763231851,-0.062279953100272
Kevin Stefanski,2,1070,21.588785046729,-8.82132343251572,-0.0524224382625006
Press Taylor,2,867,20.9919261822376,-9.72497225185855,-0.11936942559523
Zac Taylor,4,1612,20.6575682382134,-10.0836622581884,-0.0415984614149646
Ken Dorsey,3,1036,13.4169884169884,-17.2461626001249,0.0044431090283002
Joe Brady,3,1470,13.1292517006803,-17.5611137132458,0.0622047050700833
