caller,season,n,actual,expected,epa,resid
Andy Reid,2022,493,22.920892494929,31.859473425434,0.0083162150389193,-8.93858093050505
Pete Carmichael,2022,465,47.0967741935484,30.8316694488448,-0.125900576542061,16.2651047447036
Zac Taylor,2022,468,14.957264957265,31.5973646087078,-0.0407387430254276,-16.6400996514429
Mike LaFleur,2022,405,33.0864197530864,29.378581829829,-0.0804389413446189,3.70783792325744
Sean McVay,2022,411,27.7372262773723,28.7460323405019,-0.0659186711213083,-1.00880606312965
Mike McDaniel,2022,410,56.8292682926829,30.8658192306757,-0.0741584388993502,25.9634490620072
Kevin Stefanski,2022,532,16.3533834586466,30.1090224982148,0.0261860504970512,-13.7556390395682
Kyle Shanahan,2022,593,56.8296795952782,32.4278440910688,-0.0795202241208512,24.4018355042094
Greg Roman,2022,561,40.1069518716578,29.8170242226166,0.0190270521898826,10.2899276490411
Matt Canada,2022,500,26.6,30.6234971873462,-0.00466927149146792,-4.02349718734622
Ben McAdoo,2022,483,14.0786749482402,29.7501994994918,-0.00179474801596393,-15.6715245512517
Byron Leftwich,2022,398,30.6532663316583,30.6356931367337,-0.212740916637095,0.0175731949246227
Shane Waldron,2022,450,19.7777777777778,29.9435979533527,-0.0318262393275898,-10.1658201755749
Shane Steichen,2022,664,16.7168674698795,31.0821230859911,0.0922545813226016,-14.3652556161116
Kevin O'Connell,2022,420,26.1904761904762,31.3898915744254,-0.0977682862386463,-5.19941538394919
Frank Reich,2022,211,17.0616113744076,29.6179078943074,-0.25581301570433,-12.5562965198998
Pep Hamilton,2022,398,32.1608040201005,29.3311679089938,-0.20368500190071,2.82963611110671
Joe Lombardi,2022,427,27.6346604215457,31.0990349147512,-0.0448166781172714,-3.46437449320556
Scott Turner,2022,538,38.4758364312267,29.9658080472933,-0.087110014513765,8.5100283839334
Kliff Kingsbury,2022,434,23.963133640553,28.4554593719988,-0.036232400350788,-4.49232573144585
Ken Dorsey,2022,475,15.5789473684211,30.542247807509,-0.003252473034357,-14.963300439088
Doug Pederson,2022,488,26.2295081967213,31.1871955728494,-0.0522833608136681,-4.95768737612812
Josh McDaniels,2022,428,53.9719626168224,31.173977017333,-0.0132024141080747,22.7979855994894
Matt Patricia,2022,425,15.0588235294118,29.5441090815208,-0.097668263592264,-14.485285552109
Matt LaFleur,2022,456,29.8245614035088,31.1686701075942,-0.0115042541813301,-1.3441087040854
Mike Kafka,2022,570,21.7543859649123,29.4820806906935,0.0595235410652923,-7.72769472578116
Arthur Smith,2022,559,39.3559928443649,29.5942229487015,0.00774309944781285,9.76176989566343
Todd Downing,2022,487,31.6221765913758,29.5040720679799,-0.109191700243401,2.11810452339585
Ben Johnson,2022,480,33.9583333333333,31.0176219829979,-0.0801706616630934,2.94071135033542
Nathaniel Hackett,2022,236,31.3559322033898,29.1200340062506,-0.186574015389512,2.23589819713922
Luke Getsy,2022,558,29.5698924731183,27.4867542635476,0.0665201919727483,2.08313820957072
Kellen Moore,2022,588,20.0680272108844,31.3877101449081,-0.0319744955327005,-11.3196829340237
Parks Frazier,2022,228,24.1228070175439,31.0278525477962,-0.0747793781950971,-6.9050455302523
Klint Kubiak,2022,208,37.9807692307692,29.4724787119776,-0.0257455266367357,8.50829051879162
Eric Bieniemy,2023,359,30.9192200557103,29.5170340199324,-0.0562061845561007,1.40218603577788
Bobby Slowik,2023,480,47.7083333333334,31.7626548054007,-0.163435735515668,15.9456785279326
Nathaniel Hackett,2023,388,30.6701030927835,29.5082799408623,-0.227300700846791,1.16182315192119
Matt Canada,2023,279,24.3727598566308,29.9125142782713,-0.0627198566892928,-5.53975442164047
Arthur Smith,2023,522,37.5478927203065,29.8009337229347,-0.133531728655927,7.74695899737178
Matt LaFleur,2023,502,37.0517928286853,31.4378104287671,-0.0731599336968683,5.61398239991817
Kevin Stefanski,2023,538,26.7657992565056,30.7078366240549,-0.130154252426221,-3.94203736754931
Zac Taylor,2023,383,14.0992167101828,30.7087710404443,-0.0790524422227558,-16.6095543302615
Mike Kafka,2023,454,26.2114537444934,28.5037968660569,-0.192884843890855,-2.29234312156353
Andy Reid,2023,537,24.9534450651769,31.3642471952423,-0.0839496861824167,-6.41080213006536
Sean McVay,2023,494,35.82995951417,31.6386034840394,-0.00733056530612797,4.19135603013067
Luke Getsy,2023,534,27.5280898876404,30.4057958225409,0.0141042728563038,-2.87770593490049
Mike McCarthy,2023,493,26.1663286004057,31.5053061028644,-0.00809459431516299,-5.3389775024587
Todd Monken,2023,599,26.2103505843072,32.4295774574869,0.016952801578972,-6.21922687317972
Press Taylor,2023,453,23.841059602649,31.3086170826527,-0.17208805154787,-7.46755748000367
Shane Steichen,2023,479,27.9749478079332,31.02440572964,-0.10462306292644,-3.0494579217068
Ben Johnson,2023,580,28.6206896551724,31.2240503895386,-0.02711803108245,-2.60336073436614
Mike McDaniel,2023,474,61.6033755274262,32.6328537336507,-0.049850686005305,28.9705217937754
Shane Waldron,2023,382,24.6073298429319,30.9854525341335,-0.0717896025540083,-6.37812269120161
Sean Payton,2023,451,30.1552106430155,29.5294580415321,-0.102732718633095,0.625752601483438
Kellen Moore,2023,431,22.2737819025522,31.086213946377,-0.167692610868653,-8.81243204382481
Dave Canales,2023,483,17.5983436853002,30.2298699361012,-0.172548952664771,-12.631526250801
Brian Johnson,2023,525,19.8095238095238,29.9163749863704,0.000389726381926437,-10.1068511768466
Tim Kelly,2023,444,28.8288288288288,30.3499145886383,-0.0823500957193173,-1.52108575980945
Ken Dorsey,2023,327,8.25688073394495,31.7173998085184,0.104573071299161,-23.4605190745734
Bill O'Brien,2023,415,19.7590361445783,29.3646964215371,-0.110727957876242,-9.60566027695875
Kyle Shanahan,2023,587,48.2112436115844,32.6961783955613,0.0143128847945289,15.515065216023
Kevin O'Connell,2023,393,30.5343511450382,31.5055725418278,-0.0885505153022651,-0.971221396789574
Pete Carmichael,2023,480,33.125,32.3043571560023,-0.115262891553963,0.820642843997696
Drew Petzing,2023,471,23.3545647558386,29.5732441150649,0.0298973483925173,-6.21867935922623
Thomas Brown,2023,246,14.2276422764228,28.6805240331384,-0.103061727619147,-14.4528817567157
Bo Hardegree,2023,233,33.4763948497854,31.4013762055804,-0.101357358337936,2.075018644205
Joe Brady,2023,258,4.65116279069767,31.6580428243723,0.0173784385132061,-27.0068800336746
Mike Sullivan,2023,231,20.3463203463203,31.6081577791022,-0.150523267342665,-11.2618374327819
Joe Brady,2024,603,8.45771144278608,30.753829631071,0.0875970829080537,-22.2961181882849
Arthur Smith,2024,544,25.9191176470588,29.8899809884674,-0.112522606153267,-3.97086334140861
Andy Reid,2024,518,32.0463320463321,30.5713005148191,-0.00738140023726996,1.47503153151299
Drew Petzing,2024,463,28.0777537796976,29.975309332362,0.0364373936750333,-1.89755555266437
Sean Payton,2024,478,35.3556485355649,31.0065929010261,-0.0553983916493453,4.34905563453876
Klint Kubiak,2024,444,47.972972972973,29.8062133921629,-0.0100902239099849,18.1667595808101
Brian Callahan,2024,450,28.8888888888889,28.8631224375632,-0.125936092303859,0.0257664513256835
Alex Van Pelt,2024,446,16.3677130044843,29.3375822669522,-0.0986440846437563,-12.9698692624679
Mike McCarthy,2024,429,23.0769230769231,29.2137507401355,-0.143165946319386,-6.13682766321238
Ryan Grubb,2024,383,26.8929503916449,30.038137456728,-0.0856572595052906,-3.1451870650831
Sean McVay,2024,493,35.2941176470588,29.5261140806982,-0.0753104322973418,5.76800356636061
Kellen Moore,2024,770,25.7142857142857,30.3517214624913,0.0644318694525471,-4.63743574820555
Shane Steichen,2024,496,31.0483870967742,29.8777507693176,-0.0522711670980037,1.17063632745656
Greg Roman,2024,481,45.1143451143451,31.3458320589856,-0.0556965539533949,13.7685130553595
Bobby Slowik,2024,497,41.2474849094568,30.0901125022163,-0.0852434694039928,11.1573724072404
Mike McDaniel,2024,448,55.5803571428572,30.8273152281929,-0.20531912397876,24.7530419146642
Todd Monken,2024,634,40.8517350157729,31.0848486976998,0.0770056676824667,9.76688631807312
Ben Johnson,2024,557,31.0592459605027,31.2920357731022,0.039996765647585,-0.232789812599513
Kevin O'Connell,2024,479,32.1503131524008,31.9211031199435,-0.0768764194680497,0.229210032457349
Press Taylor,2024,414,17.8743961352657,30.0694381737191,-0.0616845522702396,-12.1950420384534
Brian Daboll,2024,424,22.6415094339623,28.2523340888251,-0.0901816838623005,-5.61082465486285
Zac Taylor,2024,380,30,31.6605349090931,-0.0418044497994215,-1.66053490909311
Dave Canales,2024,410,20.7317073170732,29.5014590588285,-0.0035107217990317,-8.76975174175531
Kyle Shanahan,2024,457,46.1706783369803,31.1046344592874,-0.0165289143870709,15.0660438776929
Matt LaFleur,2024,551,30.4900181488203,31.8732383064317,-0.0172580859409188,-1.38322015761142
Zac Robinson,2024,495,25.2525252525253,30.6839546154846,-0.0184623044473348,-5.43142936295933
Kliff Kingsbury,2024,626,26.1980830670926,30.7914099932764,0.0860099961941009,-4.59332692618378
Shane Waldron,2024,244,24.5901639344262,29.9784579726516,-0.103556531405107,-5.38829403822539
Liam Coen,2024,508,27.9527559055118,30.8986046336826,0.00562253580281984,-2.94584872817081
Todd Downing,2024,250,32.8,30.2070986673236,-0.0653715258985758,2.59290133267639
Ken Dorsey,2024,234,16.2393162393162,29.4353290930645,-0.119860720812765,-13.1960128537483
Kellen Moore,2025,435,30.1149425287356,28.1691100259964,-0.124427132043003,1.9458325027392
Josh Grizzard,2025,472,33.4745762711864,29.1975970656248,-0.00717656724786346,4.27697920556162
Joe Brady,2025,609,21.3464696223317,30.2175744536084,0.0560529364910657,-8.87110483127666
Todd Monken,2025,507,44.1814595660749,29.8483829203207,0.0549632747394912,14.3330766457542
Liam Coen,2025,512,26.5625,29.9187720222108,-0.0363382939885923,-3.35627202221076
Sean McVay,2025,511,39.334637964775,30.576012707853,-0.0365246973180901,8.75862525692191
