caller,seasons,n,actual,resid,epa
Matt Canada,2,779,6.93196405648267,4.52378599695856,-0.0254601742773385
Sean McVay,4,1909,4.60974332111053,2.35337623684814,-0.0453148436585744
Mike McCarthy,2,922,4.33839479392624,2.04707881303932,-0.0709423275145251
Liam Coen,2,1020,4.21568627450981,1.93473495835183,-0.0154401552297322
Mike McDaniel,4,1764,4.08163265306122,1.70891947460639,-0.0968173829914661
Matt LaFleur,4,2024,3.21146245059289,0.836509887693662,-0.0383509099222361
Luke Getsy,2,1092,3.02197802197802,0.788567771492511,0.0408882315256958
Dave Canales,3,1376,2.76162790697674,0.429116303289341,-0.0794910293158421
Kyle Shanahan,4,2170,2.62672811059908,0.358476834318039,-0.0362778989000523
Bobby Slowik,2,977,2.66120777891505,0.343069399706068,-0.123659321741356
Andy Reid,4,1978,2.5278058645096,0.185699140039979,-0.0207990338685438
Josh McDaniels,2,1039,2.40615976900866,0.0645243814412256,-0.0480597143126892
Ben Johnson,4,2189,2.32983097304706,0.0020789166413811,-0.00810863306684635
Press Taylor,2,867,2.30680507497116,-0.0718973082358148,-0.11936942559523
Todd Monken,3,1740,2.18390804597702,-0.0891481667500055,0.0499095987065576
Sean Payton,3,1431,2.09643605870021,-0.204369374066019,-0.0670764564339964
Kellen Moore,4,2224,2.02338129496403,-0.266887340527161,-0.0429810169145063
Greg Roman,3,1530,1.89542483660131,-0.383337234478639,-0.0125966028575147
Pete Carmichael,2,945,1.7989417989418,-0.512446447191809,-0.120497307976678
Klint Kubiak,3,1250,1.76,-0.533539651036262,-0.0479768111981451
Kevin O'Connell,4,1702,1.70387779083431,-0.609017950433418,-0.074440492448954
Zac Taylor,4,1612,1.61290322580645,-0.628180084816496,-0.0415984614149646
Mike Kafka,3,1535,1.56351791530945,-0.646544532449945,-0.0341863312797942
Shane Waldron,3,1076,1.57992565055762,-0.737650830084007,-0.062279953100272
Kevin Stefanski,2,1070,1.49532710280374,-0.742378680440208,-0.0524224382625006
Kliff Kingsbury,3,1544,1.48963730569948,-0.793264932231374,0.0250135431264604
Zac Robinson,2,972,1.440329218107,-0.975039293711674,-0.035932671952774
Ken Dorsey,3,1036,1.15830115830116,-1.04353699921253,0.0044431090283002
Todd Downing,2,737,1.08548168249661,-1.18512325551174,-0.0943273263136773
Drew Petzing,3,1300,0.923076923076923,-1.3604066443737,0.00205158725194336
Shane Steichen,4,2081,0.816914944738107,-1.42231013253063,0.00629368169784344
Joe Brady,3,1470,0.748299319727889,-1.54262866535015,0.0622047050700833
Arthur Smith,4,2050,0.731707317073171,-1.55918895375983,-0.0694383077998079
