caller,season,n,actual,expected,epa,resid
Andy Reid,2022,493,2.83975659229209,2.35113825287262,0.0083162150389193,0.488618339419471
Pete Carmichael,2022,465,1.0752688172043,2.31925352291274,-0.125900576542061,-1.24398470570844
Zac Taylor,2022,468,1.4957264957265,2.21769077062575,-0.0407387430254276,-0.72196427489925
Mike LaFleur,2022,405,4.44444444444446,2.15666169628363,-0.0804389413446189,2.28778274816083
Sean McVay,2022,411,6.32603406326034,2.15386257585084,-0.0659186711213083,4.1721714874095
Mike McDaniel,2022,410,3.90243902439024,2.47911074323716,-0.0741584388993502,1.42332828115308
Kevin Stefanski,2022,532,1.69172932330827,2.24414607746303,0.0261860504970512,-0.552416754154756
Kyle Shanahan,2022,593,2.19224283305228,2.14315414390233,-0.0795202241208512,0.0490886891499489
Greg Roman,2022,561,2.13903743315508,2.22341751089608,0.0190270521898826,-0.0843800777410073
Matt Canada,2022,500,8,2.48068409021944,-0.00466927149146792,5.51931590978056
Ben McAdoo,2022,483,1.65631469979296,2.13493607358864,-0.00179474801596393,-0.478621373795685
Byron Leftwich,2022,398,3.01507537688443,2.23505970695519,-0.212740916637095,0.780015669929234
Shane Waldron,2022,450,1.55555555555556,2.38461007317528,-0.0318262393275898,-0.829054517619725
Shane Steichen,2022,664,0.301204819277109,2.07777320682941,0.0922545813226016,-1.7765683875523
Kevin O'Connell,2022,420,2.61904761904762,2.19941176662576,-0.0977682862386463,0.419635852421859
Frank Reich,2022,211,1.8957345971564,2.44639683647249,-0.25581301570433,-0.55066223931609
Pep Hamilton,2022,398,1.00502512562814,2.20262138120334,-0.20368500190071,-1.1975962555752
Joe Lombardi,2022,427,0.702576112412177,2.43211556624063,-0.0448166781172714,-1.72953945382845
Scott Turner,2022,538,4.83271375464684,2.28871970007293,-0.087110014513765,2.54399405457391
Kliff Kingsbury,2022,434,1.61290322580645,2.27624144655124,-0.036232400350788,-0.663338220744792
Ken Dorsey,2022,475,1.68421052631579,2.19734405740899,-0.003252473034357,-0.513133531093204
Doug Pederson,2022,488,3.89344262295082,2.2920692720752,-0.0522833608136681,1.60137335087562
Josh McDaniels,2022,428,2.57009345794393,2.46477151701932,-0.0132024141080747,0.105321940924608
Matt Patricia,2022,425,2.58823529411765,2.17647402352818,-0.097668263592264,0.411761270589469
Matt LaFleur,2022,456,2.19298245614035,2.34922501723192,-0.0115042541813301,-0.156242561091572
Mike Kafka,2022,570,2.28070175438597,2.15698006350482,0.0595235410652923,0.123721690881152
Arthur Smith,2022,559,0.357781753130589,2.28022042356185,0.00774309944781285,-1.92243867043126
Todd Downing,2022,487,1.02669404517454,2.15057919176728,-0.109191700243401,-1.12388514659274
Ben Johnson,2022,480,2.29166666666667,2.23951248607288,-0.0801706616630934,0.0521541805937864
Nathaniel Hackett,2022,236,2.96610169491525,2.08861704982849,-0.186574015389512,0.877484645086767
Luke Getsy,2022,558,3.22580645161291,2.15833995912281,0.0665201919727483,1.0674664924901
Kellen Moore,2022,588,3.06122448979592,2.11395812284227,-0.0319744955327005,0.947266366953651
Parks Frazier,2022,228,3.07017543859649,2.33952365958606,-0.0747793781950971,0.730651779010436
Klint Kubiak,2022,208,1.44230769230769,2.20978412063022,-0.0257455266367357,-0.767476428322528
Eric Bieniemy,2023,359,1.39275766016713,2.23510900867745,-0.0562061845561007,-0.842351348510318
Bobby Slowik,2023,480,3.33333333333333,2.27904629641368,-0.163435735515668,1.05428703691966
Nathaniel Hackett,2023,388,2.31958762886598,2.325631811832,-0.227300700846791,-0.00604418296602072
Matt Canada,2023,279,5.01792114695341,2.27823893641419,-0.0627198566892928,2.73968221053922
Arthur Smith,2023,522,0.766283524904215,2.24630605033331,-0.133531728655927,-1.4800225254291
Matt LaFleur,2023,502,3.18725099601594,2.33997170195592,-0.0731599336968683,0.847279294060019
Kevin Stefanski,2023,538,1.30111524163568,2.23133731386746,-0.130154252426221,-0.93022207223177
Zac Taylor,2023,383,1.30548302872063,2.20346566904871,-0.0790524422227558,-0.897982640328082
Mike Kafka,2023,454,1.98237885462555,2.15693099346291,-0.192884843890855,-0.174552138837362
Andy Reid,2023,537,1.48975791433892,2.31540645849917,-0.0839496861824167,-0.825648544160251
Sean McVay,2023,494,4.04858299595141,2.20780309038953,-0.00733056530612797,1.84077990556188
Luke Getsy,2023,534,2.80898876404495,2.31185448752744,0.0141042728563038,0.497134276517504
Mike McCarthy,2023,493,4.25963488843814,2.21001398272654,-0.00809459431516299,2.0496209057116
Todd Monken,2023,599,2.67111853088482,2.17196608641696,0.016952801578972,0.499152444467854
Press Taylor,2023,453,2.64900662251656,2.32511274310993,-0.17208805154787,0.323893879406632
Shane Steichen,2023,479,0.417536534446765,2.28220519093536,-0.10462306292644,-1.8646686564886
Ben Johnson,2023,580,1.89655172413793,2.27874809603111,-0.02711803108245,-0.382196371893172
Mike McDaniel,2023,474,4.64135021097046,2.27571759679461,-0.049850686005305,2.36563261417585
Shane Waldron,2023,382,1.04712041884817,2.31188239745493,-0.0717896025540083,-1.26476197860676
Sean Payton,2023,451,1.99556541019955,2.22902070826948,-0.102732718633095,-0.233455298069924
Kellen Moore,2023,431,3.48027842227378,2.232896604223,-0.167692610868653,1.24738181805078
Dave Canales,2023,483,2.89855072463768,2.20588326481157,-0.172548952664771,0.692667459826108
Brian Johnson,2023,525,0.190476190476191,2.16273244807408,0.000389726381926437,-1.97225625759789
Tim Kelly,2023,444,2.47747747747748,2.28235114513695,-0.0823500957193173,0.195126332340525
Ken Dorsey,2023,327,0.917431192660553,2.11948418358928,0.104573071299161,-1.20205299092872
Bill O'Brien,2023,415,3.37349397590361,2.24663324059402,-0.110727957876242,1.12686073530958
Kyle Shanahan,2023,587,3.91822827938671,2.15290344536013,0.0143128847945289,1.76532483402659
Kevin O'Connell,2023,393,1.78117048346056,2.26924992972184,-0.0885505153022651,-0.488079446261279
Pete Carmichael,2023,480,2.5,2.30376875925382,-0.115262891553963,0.196231240746177
Drew Petzing,2023,471,1.48619957537155,2.24413643828386,0.0298973483925173,-0.757936862912306
Thomas Brown,2023,246,2.84552845528456,2.44289645735871,-0.103061727619147,0.402631997925846
Bo Hardegree,2023,233,3.86266094420601,2.21683615478867,-0.101357358337936,1.64582478941734
Joe Brady,2023,258,0.387596899224806,2.25276419154708,0.0173784385132061,-1.86516729232227
Mike Sullivan,2023,231,3.46320346320346,2.38968808379315,-0.150523267342665,1.07351537941032
Joe Brady,2024,603,0.497512437810946,2.3124481054026,0.0875970829080537,-1.81493566759165
Arthur Smith,2024,544,0.36764705882353,2.33487946179059,-0.112522606153267,-1.96723240296706
Andy Reid,2024,518,3.47490347490347,2.31004050567847,-0.00738140023726996,1.164862969225
Drew Petzing,2024,463,0.647948164146868,2.32037414115759,0.0364373936750333,-1.67242597701072
Sean Payton,2024,478,1.67364016736402,2.28475970430417,-0.0553983916493453,-0.611119536940151
Klint Kubiak,2024,444,2.25225225225225,2.4613578574153,-0.0100902239099849,-0.209105605163049
Brian Callahan,2024,450,2.88888888888889,2.4271222576499,-0.125936092303859,0.461766631238987
Alex Van Pelt,2024,446,0.448430493273542,2.37996844097663,-0.0986440846437563,-1.93153794770309
Mike McCarthy,2024,429,4.42890442890442,2.38474694846984,-0.143165946319386,2.04415748043458
