caller,seasons,n,actual,resid,epa
Zac Taylor,4,1374,95.0509461426492,1.64584052007445,-0.0691335876695975
Mike McDaniel,4,1556,95.0514138817481,1.55007489849178,-0.046320024637175
Kevin O'Connell,4,1471,94.7654656696125,1.21276305695929,-0.0946738246694095
Sean McVay,4,1750,94.7428571428572,1.19198599542891,-0.0293715482354164
Kyle Shanahan,4,1858,94.6178686759957,1.18255603364774,-0.049748068829784
Kellen Moore,4,1893,94.5060750132066,1.0473593982892,-0.0729829352378562
Ben Johnson,4,1981,94.5986875315497,0.933257038697999,0.0114500466743574
Press Taylor,2,735,94.421768707483,0.905128863393047,-0.143189467286983
Arthur Smith,4,1803,94.5091514143095,0.859446566566378,-0.0580706102313827
Andy Reid,4,1617,94.186765615337,0.629049952412062,-0.0623465089430374
Pete Carmichael,2,868,94.0092165898618,0.520575163276514,-0.0888302831648751
Luke Getsy,2,892,94.0582959641256,0.466075720006585,-0.0437197639636128
Matt LaFleur,4,1810,93.9779005524862,0.382067603959556,-0.0383754116786614
Klint Kubiak,2,928,93.8577586206897,0.259030366252209,-0.0557702454288715
Kevin Stefanski,2,939,93.6102236421725,0.0821937831699765,-0.0945144732769368
Ken Dorsey,3,842,93.5866983372922,0.0626140988637507,-0.0695083309894077
Bobby Slowik,2,855,93.5672514619883,-0.00566951712668515,-0.144371945288969
Sean Payton,3,1160,93.3620689655172,-0.173998706299696,-0.0934410717964558
Mike Kafka,3,1266,93.2859399684044,-0.282066151805774,-0.0834136297705614
Liam Coen,2,861,93.2636469221835,-0.284992298598083,-0.0249144142963051
Mike McCarthy,2,798,93.2330827067669,-0.313360933074375,-0.0840386133874419
Joe Brady,3,1177,93.2030586236194,-0.335475526427246,0.0144671918729362
Dave Canales,3,1190,93.2773109243698,-0.339398629525132,-0.0915164510335992
Todd Monken,3,1483,92.9871881321645,-0.441137275740825,0.0579943835034472
Shane Steichen,4,1811,92.545554942021,-0.979833047341263,-0.0013790369744261
Josh McDaniels,2,859,92.5494761350408,-1.06072003960748,-0.0668236400814979
Zac Robinson,2,894,92.5055928411633,-1.10972670367368,-0.0274135578930027
Greg Roman,3,1278,92.018779342723,-1.55764361129308,-0.0267575887663664
Kliff Kingsbury,3,1286,91.6796267496112,-1.85863745991216,-0.000936587336784583
Shane Waldron,3,935,91.6577540106952,-1.95518841080487,-0.0603436771800175
Drew Petzing,3,1112,91.4568345323741,-2.1889925592666,-0.0149981134584534
