caller,season,n,actual,expected,epa,resid
Andy Reid,2022,413,93.4624697336562,94.0235570902975,-0.0323354624590632,-0.561087356641266
Pete Carmichael,2022,429,93.006993006993,93.581468797786,-0.10619406976101,-0.57447579079296
Zac Taylor,2022,380,96.0526315789474,92.6620339092456,-0.0584690904734952,3.39059766970183
Mike LaFleur,2022,363,94.2148760330578,94.2237272571269,-0.108725286630231,-0.00885122406909034
Sean McVay,2022,366,97.2677595628415,93.607896566391,-0.0644250768211368,3.65986299645054
Mike McDaniel,2022,358,95.2513966480447,93.8509266802719,-0.0345854319725707,1.40046996777284
Kevin Stefanski,2022,458,94.3231441048035,93.5973527910408,-0.0182192662250916,0.725791313762741
Kyle Shanahan,2022,530,93.7735849056604,93.7866605677695,-0.0574622021812315,-0.013075662109074
Greg Roman,2022,482,92.3236514522821,93.8346913246693,0.0401153172679342,-1.51103987238716
Matt Canada,2022,435,93.7931034482759,93.4972429412535,-0.0314128979697995,0.295860507022368
Ben McAdoo,2022,435,91.0344827586207,92.9013188817035,-0.00232602305624679,-1.86683612308282
Byron Leftwich,2022,363,93.9393939393939,93.0596505971651,-0.160798981026349,0.879743342228821
Shane Waldron,2022,386,93.7823834196891,93.8080957979736,-0.0255774203880927,-0.0257123782844673
Shane Steichen,2022,539,92.5788497217069,93.4949508513944,0.0779306208766681,-0.916101129687561
Kevin O'Connell,2022,380,94.4736842105263,93.6059608271247,-0.114711261324976,0.867723383401568
Pep Hamilton,2022,348,91.0919540229885,93.5424528245268,-0.212696889522432,-2.45049880153832
Joe Lombardi,2022,361,95.8448753462604,93.2523347829517,-0.0630253149490609,2.59254056330863
Scott Turner,2022,490,94.4897959183674,93.4354221212621,-0.103549205248567,1.05437379710528
Kliff Kingsbury,2022,374,91.4438502673797,93.1439894884028,-0.0283879462808847,-1.70013922102312
Ken Dorsey,2022,370,94.0540540540541,93.0059797538293,-0.0735423006721443,1.04807430022471
Doug Pederson,2022,428,92.9906542056075,93.6262586963511,-0.0387861839904685,-0.635604490743617
Josh McDaniels,2022,388,90.2061855670103,92.691678085278,-0.0322027661136746,-2.48549251826769
Matt Patricia,2022,370,93.7837837837838,93.1602357529305,-0.0824506572875621,0.623548030853272
Matt LaFleur,2022,419,93.3174224343675,93.9068415995714,0.00734221129755977,-0.589419165203864
Mike Kafka,2022,463,92.6565874730022,93.2564602814792,-0.0189041900197064,-0.599872808477016
Arthur Smith,2022,496,95.9677419354839,93.9573170917649,0.0382213651713344,2.01042484371891
Todd Downing,2022,433,94.919168591224,93.4003647976054,-0.128397153823811,1.51880379361864
Ben Johnson,2022,446,93.7219730941704,93.3931065380841,-0.0469733063348742,0.328866556086339
Nathaniel Hackett,2022,205,95.609756097561,93.4068609737768,-0.226065528683546,2.20289512378413
Luke Getsy,2022,452,94.0265486725664,93.8070520231154,-0.0302469870158001,0.21949664945096
Kellen Moore,2022,529,95.0850661625709,93.6029327952344,-0.0259419349928885,1.48213336733653
Parks Frazier,2022,206,96.116504854369,92.9843847612733,-0.0625238715878968,3.13212009309565
Eric Bieniemy,2023,307,91.2052117263844,94.022127704434,-0.14723071082213,-2.81691597804962
Bobby Slowik,2023,429,93.006993006993,93.6843320345267,-0.18409073448334,-0.677339027533705
Nathaniel Hackett,2023,335,90.7462686567164,93.6314371628548,-0.188537404230282,-2.88516850613836
Matt Canada,2023,237,93.6708860759494,93.2181691570121,-0.0680669455117063,0.45271691893727
Arthur Smith,2023,461,93.7093275488069,93.9641383619991,-0.13322620161702,-0.254810813192179
Matt LaFleur,2023,450,95.7777777777778,93.8684382703569,-0.049734530589647,1.90933950742085
Kevin Stefanski,2023,481,92.9313929313929,93.5919252725748,-0.167161468764972,-0.660532341181877
Zac Taylor,2023,328,93.9024390243902,93.0621740658109,-0.113275318224801,0.840264958579354
Mike Kafka,2023,367,94.2779291553134,93.6735720660446,-0.238802013385848,0.604357089268746
Andy Reid,2023,428,93.9252336448598,93.9416215798565,-0.110730067652729,-0.0163879349967004
Sean McVay,2023,459,95.4248366013072,92.754025280086,-0.019669772079113,2.67081132122114
Luke Getsy,2023,440,94.0909090909091,93.5317405516451,-0.0575599802827294,0.559168539263993
Mike McCarthy,2023,415,94.9397590361446,93.3233743690583,-0.0381938458925269,1.61638466708631
Todd Monken,2023,494,93.7246963562753,93.987274037199,0.0474938836725434,-0.262577680923698
Press Taylor,2023,375,94.1333333333333,93.1157698631287,-0.19472712357839,1.01756347020468
Shane Steichen,2023,433,92.378752886836,93.592150450854,-0.100726032702201,-1.21339756401801
Ben Johnson,2023,535,94.2056074766355,93.5684788227081,0.0120039638793359,0.637128653927405
Mike McDaniel,2023,420,96.1904761904762,94.0670481749943,0.0562404865088561,2.12342801548185
Shane Waldron,2023,341,89.7360703812317,93.810201967217,-0.0649888628542075,-4.07413158598534
Sean Payton,2023,366,95.9016393442623,93.3062942138787,-0.129365178771683,2.59534513038365
Kellen Moore,2023,362,93.646408839779,93.628871375026,-0.229716027989078,0.0175374647530333
Dave Canales,2023,418,90.4306220095694,93.5673366608232,-0.186230349189571,-3.13671465125381
Brian Johnson,2023,415,93.0120481927711,93.6265783281211,-0.0702884458005428,-0.614530135350051
Tim Kelly,2023,394,92.3857868020305,93.3707132406041,-0.033048974577016,-0.984926438573638
Ken Dorsey,2023,264,92.8030303030303,93.1296613406051,0.0415766491752232,-0.326631037574828
Bill O'Brien,2023,371,90.5660377358491,92.9332788421137,-0.129401891099445,-2.36724110626467
Kyle Shanahan,2023,505,95.2475247524752,93.8889986925786,-0.00314551773342784,1.35852605989663
Kevin O'Connell,2023,335,94.9253731343284,93.6379456875929,-0.137288226832205,1.28742744673545
Pete Carmichael,2023,439,94.9886104783599,93.461586158205,-0.0718620270151212,1.52702432015492
Drew Petzing,2023,404,92.0792079207921,93.8067222880845,0.0135847358494113,-1.72751436729241
Thomas Brown,2023,218,93.1192660550459,93.6084027137231,-0.173076739415116,-0.489136658677253
Bo Hardegree,2023,215,94.8837209302326,92.8255266644234,-0.106532041901766,2.05819426580916
Joe Brady,2023,209,92.3444976076555,93.3041676094657,-0.0453417934299084,-0.959670001810238
Joe Brady,2024,485,93.1958762886598,93.0473389330598,0.0488693831814932,0.148537355599942
Arthur Smith,2024,468,94.8717948717949,93.5287441453363,-0.109481515458379,1.34305072645854
Andy Reid,2024,423,95.9810874704492,94.0390384789054,-0.0464915847736045,1.94204899154374
Drew Petzing,2024,400,90.75,93.4218780100346,0.0448931876104327,-2.67187801003455
Sean Payton,2024,384,92.4479166666667,93.1626878368358,-0.0971961453663729,-0.714771170169115
Klint Kubiak,2024,393,94.4020356234097,94.1372559422452,-0.032674734374039,0.264779681164512
Brian Callahan,2024,383,94.7780678851175,93.3173536943082,-0.12932876678422,1.46071419080927
Alex Van Pelt,2024,363,93.1129476584022,93.3884024784256,-0.167221723714479,-0.275454820023413
Mike McCarthy,2024,383,91.3838120104439,93.6144815412576,-0.133713753101253,-2.23066953081374
Ryan Grubb,2024,331,92.7492447129909,93.3624619263537,-0.0841640621603797,-0.613217213362717
Sean McVay,2024,456,95.1754385964912,93.0748510125436,-0.0747423498123362,2.1005875839476
Kellen Moore,2024,627,94.2583732057416,93.4261623657111,0.0208426708417933,0.832210840030527
Shane Steichen,2024,453,93.598233995585,93.4125341195408,-0.0268501633280686,0.185699876044239
Greg Roman,2024,404,91.5841584158416,93.297882983,-0.0543856998619687,-1.71372456715838
Bobby Slowik,2024,426,94.131455399061,93.7595226954966,-0.104373446311539,0.371932703564411
Mike McDaniel,2024,395,94.9367088607595,93.7830096709577,-0.207968774876451,1.15369918980177
Todd Monken,2024,546,92.6739926739927,93.5084689340312,0.0972777255043224,-0.834476260038528
Ben Johnson,2024,513,94.9317738791423,93.9281990305025,0.0544253242498019,1.0035748486398
Kevin O'Connell,2024,403,96.5260545905707,93.3703302153878,-0.0960230033095955,3.1557243751829
Press Taylor,2024,360,94.7222222222222,93.1324086089929,-0.0895044086501002,1.58981361322934
Brian Daboll,2024,359,93.5933147632312,93.1223791123765,-0.153150343836848,0.470935650854713
Zac Taylor,2024,326,94.1717791411043,92.9638430019098,-0.0838627920377475,1.20793613919452
Dave Canales,2024,356,94.3820224719101,93.6397202061803,-0.0440985300483999,0.742302265729805
Kyle Shanahan,2024,376,94.9468085106383,93.8482661355049,-0.0634702241563415,1.09854237513339
Matt LaFleur,2024,500,92.4,93.5014016628265,-0.0494665932804347,-1.10140166282655
Zac Robinson,2024,461,93.9262472885033,93.7828097969229,0.0221745128583755,0.143437491580357
Kliff Kingsbury,2024,508,90.9448818897638,93.5172011885117,0.0364796980834147,-2.57231929874796
Shane Waldron,2024,208,90.8653846153846,93.4088962295881,-0.117246402212634,-2.54351161420345
Liam Coen,2024,438,93.6073059360731,93.3468457090256,0.0163489695145115,0.260460227047474
Todd Downing,2024,232,94.3965517241379,93.8034283446855,-0.0675896337127378,0.593123379452479
Ken Dorsey,2024,208,93.75,94.0170418757659,-0.203324994358879,-0.267041875765869
Kellen Moore,2025,375,94.9333333333333,93.9525772730509,-0.144918840746085,0.980756060282403
Josh Grizzard,2025,406,95.0738916256158,93.5868564497661,-0.0817902949386338,1.48703517584967
Joe Brady,2025,483,93.5817805383023,93.2573037611525,0.00580262695294532,0.324476777149783
Todd Monken,2025,443,92.5507900677201,93.8942656156441,0.0212868037833313,-1.343475547924
Liam Coen,2025,423,92.9078014184397,93.5998483188891,-0.067641038667789,-0.69204690044937
Sean McVay,2025,469,91.6844349680171,93.1101785666907,0.0326019309238712,-1.42574359867362
Matt LaFleur,2025,441,94.5578231292517,93.7700438526482,-0.0576463634160912,0.787779276603473
Kevin O'Connell,2025,353,92.9178470254958,93.4526533817097,-0.0311220692993054,-0.534806356213906
Zac Taylor,2025,340,95.8823529411765,92.9915117516237,-0.0243462367531132,2.89084118955275
Kevin Patullo,2025,409,90.2200488997555,93.6482709019575,-0.0684905962467485,-3.42822200220196
Ben Johnson,2025,487,95.482546201232,94.1932848102013,0.0190766428576238,1.28926139103069
John Morton,2025,214,90.6542056074766,93.8109825704699,-0.0213006197118034,-3.15677696299329
Arthur Smith,2025,378,93.1216931216931,93.945300058713,-0.029112378815337,-0.823606937019918
Mike McDaniel,2025,383,93.733681462141,93.9759320752117,-0.00304363432581051,-0.242250613070667
Dave Canales,2025,416,95.1923076923077,93.5258212570961,-0.0369259953642118,1.66648643521162
Greg Roman,2025,392,92.0918367346939,93.6033696088256,-0.0805100985263399,-1.5115328741317
Nick Caley,2025,459,92.5925925925926,92.8626003608205,-0.129925154863749,-0.270007768227913
Andy Reid,2025,353,93.2011331444759,94.2155732818096,-0.0577941916450307,-1.01444013733364
Josh McDaniels,2025,471,94.4798301486199,92.9830050772163,-0.095343595706796,1.49682507140368
