caller,season,n,actual,expected,epa,resid
Andy Reid,2022,413,93.4624697336562,93.1570012834979,-0.0323354624590632,0.30546845015833
Pete Carmichael,2022,429,93.006993006993,93.4504295840408,-0.10619406976101,-0.443436577047777
Zac Taylor,2022,380,96.0526315789474,93.1125593812842,-0.0584690904734952,2.94007219766317
Mike LaFleur,2022,363,94.2148760330578,93.5578631139655,-0.108725286630231,0.65701291909231
Sean McVay,2022,366,97.2677595628415,93.5839123087503,-0.0644250768211368,3.68384725409128
Mike McDaniel,2022,358,95.2513966480447,93.4113324853961,-0.0345854319725707,1.84006416264859
Kevin Stefanski,2022,458,94.3231441048035,93.4301824288597,-0.0182192662250916,0.892961675943752
Kyle Shanahan,2022,530,93.7735849056604,93.3549933950856,-0.0574622021812315,0.418591510574785
Greg Roman,2022,482,92.3236514522821,93.4927939750347,0.0401153172679342,-1.16914252275255
Matt Canada,2022,435,93.7931034482759,93.4467667546766,-0.0314128979697995,0.346336693599298
Ben McAdoo,2022,435,91.0344827586207,93.5441206789565,-0.00232602305624679,-2.50963792033578
Byron Leftwich,2022,363,93.9393939393939,93.3576669410569,-0.160798981026349,0.581726998337047
Shane Waldron,2022,386,93.7823834196891,93.3804691455525,-0.0255774203880927,0.401914274136644
Shane Steichen,2022,539,92.5788497217069,93.3379351871575,0.0779306208766681,-0.759085465450667
Kevin O'Connell,2022,380,94.4736842105263,93.4946161351706,-0.114711261324976,0.979068075355727
Pep Hamilton,2022,348,91.0919540229885,93.6296974790507,-0.212696889522432,-2.53774345606223
Joe Lombardi,2022,361,95.8448753462604,93.3184898130781,-0.0630253149490609,2.52638553318224
Scott Turner,2022,490,94.4897959183674,93.458428808621,-0.103549205248567,1.03136710974636
Kliff Kingsbury,2022,374,91.4438502673797,93.362272662275,-0.0283879462808847,-1.9184223948953
Ken Dorsey,2022,370,94.0540540540541,93.329434330399,-0.0735423006721443,0.724619723655067
Doug Pederson,2022,428,92.9906542056075,93.3476878243072,-0.0387861839904685,-0.357033618699717
Josh McDaniels,2022,388,90.2061855670103,93.4477604695202,-0.0322027661136746,-3.24157490250991
Matt Patricia,2022,370,93.7837837837838,93.3994974316777,-0.0824506572875621,0.384286352106045
Matt LaFleur,2022,419,93.3174224343675,93.5629318323796,0.00734221129755977,-0.245509398012018
Mike Kafka,2022,463,92.6565874730022,93.3319542886887,-0.0189041900197064,-0.675366815686488
Arthur Smith,2022,496,95.9677419354839,93.6121461852904,0.0382213651713344,2.35559575019343
Todd Downing,2022,433,94.919168591224,93.3651281421785,-0.128397153823811,1.55404044904556
Ben Johnson,2022,446,93.7219730941704,93.555274605751,-0.0469733063348742,0.166698488419357
Nathaniel Hackett,2022,205,95.609756097561,93.4439681506738,-0.226065528683546,2.16578794688714
Luke Getsy,2022,452,94.0265486725664,93.5796242767731,-0.0302469870158001,0.446924395793317
Kellen Moore,2022,529,95.0850661625709,93.3890021140273,-0.0259419349928885,1.69606404854355
Parks Frazier,2022,206,96.116504854369,93.3127062991985,-0.0625238715878968,2.80379855517045
Eric Bieniemy,2023,307,91.2052117263844,93.658775362984,-0.14723071082213,-2.45356363659963
Bobby Slowik,2023,429,93.006993006993,93.5261102823111,-0.18409073448334,-0.519117275318038
Nathaniel Hackett,2023,335,90.7462686567164,93.5988777075241,-0.188537404230282,-2.85260905080766
