caller,team,season,n,resid,epa
Andy Reid,KC,2022,413,-0.56780853802586,-0.0323354624590632
Pete Carmichael,NO,2022,429,-0.567419795723223,-0.10619406976101
Zac Taylor,CIN,2022,380,3.36126912581294,-0.0584690904734952
Mike LaFleur,NYJ,2022,363,-0.00411089786813701,-0.108725286630231
Sean McVay,LA,2022,366,3.62528792170228,-0.0644250768211368
Mike McDaniel,MIA,2022,358,1.3419278840113,-0.0345854319725707
Kevin Stefanski,CLE,2022,458,0.686061525448956,-0.0182192662250916
Kyle Shanahan,SF,2022,530,-0.0209133692507413,-0.0574622021812315
Greg Roman,BAL,2022,482,-1.50485895728671,0.0401153172679342
Matt Canada,PIT,2022,435,0.282590745509359,-0.0314128979697995
Ben McAdoo,CAR,2022,435,-1.86686988534598,-0.00232602305624679
Byron Leftwich,TB,2022,363,0.873190854206563,-0.160798981026349
Shane Waldron,SEA,2022,386,-0.0376362411469211,-0.0255774203880927
Shane Steichen,PHI,2022,539,-0.921876277905875,0.0779306208766681
Kevin O'Connell,MIN,2022,380,0.92541478182141,-0.114711261324976
Frank Reich,IND,2022,191,-2.93270777033261,-0.24184857956402
Pep Hamilton,HOU,2022,348,-2.45754395065637,-0.212696889522432
Joe Lombardi,LAC,2022,361,2.57971744127881,-0.0630253149490609
Scott Turner,WAS,2022,490,1.07682043192338,-0.103549205248567
Kliff Kingsbury,ARI,2022,374,-1.68378252715351,-0.0283879462808847
Ken Dorsey,BUF,2022,370,1.048168411126,-0.0735423006721443
Doug Pederson,JAX,2022,428,-0.640798770935736,-0.0387861839904685
Josh McDaniels,LV,2022,388,-2.50524844705444,-0.0322027661136746
Matt Patricia,NE,2022,370,0.64518124670595,-0.0824506572875621
Matt LaFleur,GB,2022,419,-0.583159311859027,0.00734221129755977
Mike Kafka,NYG,2022,463,-0.612354819254535,-0.0189041900197064
Arthur Smith,ATL,2022,496,2.0328139706004,0.0382213651713344
Todd Downing,TEN,2022,433,1.50890432934838,-0.128397153823811
Ben Johnson,DET,2022,446,0.335843266393032,-0.0469733063348742
Nathaniel Hackett,DEN,2022,205,2.21118214653759,-0.226065528683546
Luke Getsy,CHI,2022,452,0.229248074831168,-0.0302469870158001
Kellen Moore,DAL,2022,529,1.48529128676776,-0.0259419349928885
Parks Frazier,IND,2022,206,3.0831335528383,-0.0625238715878968
Klint Kubiak,DEN,2022,183,0.0959823366071366,-0.0890955045167865
Eric Bieniemy,WAS,2023,307,-2.83254835427001,-0.14723071082213
Frank Reich,CAR,2023,180,-0.338693658510847,-0.152288141846657
Bobby Slowik,HOU,2023,429,-0.707626342773426,-0.18409073448334
Nathaniel Hackett,NYJ,2023,335,-2.92869526948502,-0.188537404230282
