caller,seasons,n,actual,resid,epa
MIA,4,1819,95.3271028037383,1.90486923359855,-0.040693477324019
SF,4,2125,94.8705882352941,1.48624475984013,-0.0671615923735148
CIN,4,1592,94.7236180904523,1.31986519349878,-0.080400988412787
MIN,4,1714,94.63243873979,1.14392996043001,-0.0940622780385101
LA,4,2087,94.5376137997125,1.0468533208168,-0.0306821851515862
NO,4,1907,94.3890928159413,0.902050180340166,-0.0989747590824423
KC,4,1829,94.1498086386003,0.644280644568543,-0.0803747597181566
ATL,4,2114,93.99243140965,0.461310779811525,-0.0539545093657751
TEN,4,1869,93.900481540931,0.461241843676178,-0.105961497916918
GB,4,2156,93.7847866419295,0.28671250161965,-0.0379931877828541
DEN,4,1831,93.7192790824686,0.260634535586882,-0.0972318645985823
PIT,4,1974,93.6676798378926,0.179334315485507,-0.0804829140634416
DET,4,2187,93.7357110196616,0.142871938342643,-0.0161037124918239
NYJ,4,1721,93.6664729808251,0.135874214870577,-0.145390708957848
CHI,4,2066,93.7076476282672,0.0652927050632114,-0.0527980214386949
JAX,4,1884,93.4182590233546,-0.0724332157973256,-0.0854301352544258
NYG,4,1854,93.3656957928803,-0.103237405178245,-0.0962714813087042
LAC,4,1802,93.3407325194229,-0.132301112390908,-0.0926919000651729
CLE,4,1938,93.3952528379773,-0.143996902171548,-0.129541919423485
TB,4,1933,93.2229694774961,-0.184803118806887,-0.116811866554505
BUF,4,2065,93.2687651331719,-0.208135257333015,0.000646824446071491
DAL,4,2018,93.211100099108,-0.25509965077146,-0.039819386238057
CAR,4,1847,93.0157011369789,-0.50951916589308,-0.0774467669217632
NE,4,1839,92.9853181076672,-0.585724391517209,-0.119659840840595
HOU,4,1975,92.9113924050633,-0.611204581924634,-0.145209085081197
IND,4,1966,92.7772126144456,-0.741268532200963,-0.0565868631129165
WAS,4,1973,92.7521540800811,-0.763844863690519,-0.0545591995121464
PHI,4,2277,92.5779534475187,-0.811641680655064,-0.0202968296254211
LV,4,1659,92.6461723930078,-0.855134379942779,-0.15436974879873
BAL,4,2262,92.3519009725906,-1.05032976963792,0.0284008533775372
SEA,4,1871,92.4104756814538,-1.16708881392446,-0.0531128024799874
ARI,4,1762,91.5437003405221,-1.94575934756492,-0.034268852961794
