caller,seasons,n,actual,resid,epa
CIN,4,1592,94.7236180904523,1.80083495663039,-0.080400988412787
LA,4,2087,94.5376137997125,1.46645384367197,-0.0306821851515862
MIA,4,1819,95.3271028037383,1.39668956439924,-0.040693477324019
MIN,4,1714,94.63243873979,1.19263027971795,-0.0940622780385101
SF,4,2125,94.8705882352941,0.923808880413283,-0.0671615923735148
NO,4,1907,94.3890928159413,0.723634121864326,-0.0989747590824423
TEN,4,1869,93.900481540931,0.449958534531575,-0.105961497916918
DEN,4,1831,93.7192790824686,0.449667502335029,-0.0972318645985823
BUF,4,2065,93.2687651331719,0.209478108126661,0.000646824446071491
PIT,4,1974,93.6676798378926,0.156402527500918,-0.0804829140634416
KC,4,1829,94.1498086386003,0.117629730616716,-0.0803747597181566
GB,4,2156,93.7847866419295,0.0829222914460352,-0.0379931877828541
NYG,4,1854,93.3656957928803,0.0671901266937431,-0.0962714813087042
DET,4,2187,93.7357110196616,0.0618383554110647,-0.0161037124918239
ATL,4,2114,93.99243140965,0.0603250771507192,-0.0539545093657751
CHI,4,2066,93.7076476282672,0.0234549239436527,-0.0527980214386949
JAX,4,1884,93.4182590233546,0.0131614964985306,-0.0854301352544258
LAC,4,1802,93.3407325194229,-0.0596363920218128,-0.0926919000651729
NE,4,1839,92.9853181076672,-0.0631788750586811,-0.119659840840595
NYJ,4,1721,93.6664729808251,-0.0921031682038339,-0.145390708957848
TB,4,1933,93.2229694774961,-0.139578231800666,-0.116811866554505
CAR,4,1847,93.0157011369789,-0.213600934745806,-0.0774467669217632
CLE,4,1938,93.3952528379773,-0.234789603511859,-0.129541919423485
DAL,4,2018,93.211100099108,-0.400962495236737,-0.039819386238057
HOU,4,1975,92.9113924050633,-0.509337213974968,-0.145209085081197
LV,4,1659,92.6461723930078,-0.598520550690471,-0.15436974879873
IND,4,1966,92.7772126144456,-0.669695371771389,-0.0565868631129165
WAS,4,1973,92.7521540800811,-0.78360606013248,-0.0545591995121464
PHI,4,2277,92.5779534475187,-0.990352685063047,-0.0202968296254211
SEA,4,1871,92.4104756814538,-1.29420936012065,-0.0531128024799874
BAL,4,2262,92.3519009725906,-1.43064607781293,0.0284008533775372
ARI,4,1762,91.5437003405221,-1.91347192080689,-0.034268852961794
