caller,season,n,actual,expected,epa,resid
BAL,2022,543,92.6335174953959,93.7584495676157,0.00294958828205814,-1.12493207221972
CIN,2022,435,95.8620689655172,92.8153515821216,-0.0789901193359802,3.04671738339566
TEN,2022,498,95.1807228915663,93.3811167157798,-0.148095795278808,1.79960617578654
DET,2022,518,94.2084942084942,93.4474680529598,-0.0505366401034892,0.761026155534395
JAX,2022,494,92.7125506072875,93.5993744776799,-0.0712805713417559,-0.886823870392448
NYJ,2022,427,94.1451990632318,94.1461342559207,-0.127309037874119,-0.000935192688857001
ARI,2022,437,91.533180778032,93.0745540276272,-0.0325995756044678,-1.54137324959518
WAS,2022,553,94.3942133815552,93.4843253916901,-0.0910687652285164,0.909887989865084
CAR,2022,503,91.0536779324056,92.8086980910709,-0.03233838759022,-1.7550201586653
DEN,2022,443,94.3566591422122,93.4160844601573,-0.159055853855395,0.940574682054901
IND,2022,455,93.4065934065934,93.3002521572532,-0.149233781472668,0.106341249340176
BUF,2022,436,94.0366972477064,93.001054951904,-0.0534545469926586,1.03564229580242
NE,2022,428,93.9252336448598,93.1638618913767,-0.096338841968399,0.761371753483175
CLE,2022,534,94.1947565543071,93.5931477877085,-0.059202642581157,0.601608766598659
KC,2022,465,93.7634408602151,94.1068704538448,-0.0779070381355544,-0.343429593629722
SEA,2022,451,93.3481152993348,93.8349595091031,-0.0170485027332658,-0.486844209768307
LA,2022,434,96.3133640552995,93.6030323741623,-0.0867609914890084,2.71033168113725
NYG,2022,527,93.168880455408,93.1516671090244,-0.00867317141911995,0.0172133463835991
CHI,2022,531,93.5969868173258,93.6713230475194,-0.0712550987407091,-0.0743362301935946
PHI,2022,620,92.5806451612903,93.4618596492275,0.0636560691580659,-0.881214487937186
LAC,2022,421,96.1995249406176,93.2893562769947,-0.0781306793776093,2.91016866362294
DAL,2022,606,94.3894389438944,93.6193136983972,-0.0363957464768747,0.770125245497169
MIN,2022,435,94.4827586206897,93.5846782552785,-0.0977260143249884,0.898080365411161
ATL,2022,577,95.6672443674177,93.9919917174394,0.0226059374455977,1.6752526499783
PIT,2022,478,93.7238493723849,93.5763047579442,-0.049321544142323,0.147544614440733
NO,2022,514,93.3852140077821,93.4989043246911,-0.113845899722862,-0.113690316909029
SF,2022,603,93.5323383084577,93.7621010674371,-0.0742495786491323,-0.229762758979334
