caller,season,n,actual,expected,epa,resid
BAL,2022,543,92.6335174953959,93.4989222395705,0.00294958828205814,-0.865404744174612
CIN,2022,435,95.8620689655172,93.2250385174806,-0.0789901193359802,2.63703044803663
TEN,2022,498,95.1807228915663,93.2275405729631,-0.148095795278808,1.9531823186032
DET,2022,518,94.2084942084942,93.4669721655864,-0.0505366401034892,0.741522042907818
JAX,2022,494,92.7125506072875,93.3661094199308,-0.0712805713417559,-0.65355881264334
NYJ,2022,427,94.1451990632318,93.4482577394266,-0.127309037874119,0.696941323805191
ARI,2022,437,91.533180778032,93.3584514962727,-0.0325995756044678,-1.82527071824063
WAS,2022,553,94.3942133815552,93.4824548836858,-0.0910687652285164,0.911758497869357
CAR,2022,503,91.0536779324056,93.5346756848853,-0.03233838759022,-2.48099775247971
DEN,2022,443,94.3566591422122,93.3399016647253,-0.159055853855395,1.01675747748692
IND,2022,455,93.4065934065934,93.4386606923827,-0.149233781472668,-0.032067285789239
BUF,2022,436,94.0366972477064,93.361954760114,-0.0534545469926586,0.67474248759244
NE,2022,428,93.9252336448598,93.3896651474115,-0.096338841968399,0.535568497448324
CLE,2022,534,94.1947565543071,93.3711025822029,-0.059202642581157,0.823653972104253
KC,2022,465,93.7634408602151,93.2619086260437,-0.0779070381355544,0.501532234171407
SEA,2022,451,93.3481152993348,93.3820131480562,-0.0170485027332658,-0.0338978487213666
LA,2022,434,96.3133640552995,93.4850268649615,-0.0867609914890084,2.82833719033799
NYG,2022,527,93.168880455408,93.2326579116554,-0.00867317141911995,-0.0637774562473936
CHI,2022,531,93.5969868173258,93.5295564306658,-0.0712550987407091,0.0674303866600354
PHI,2022,620,92.5806451612903,93.3683618710887,0.0636560691580659,-0.787716709798374
LAC,2022,421,96.1995249406176,93.3890933945173,-0.0781306793776093,2.81043154610026
DAL,2022,606,94.3894389438944,93.3838243925139,-0.0363957464768747,1.00561455138052
MIN,2022,435,94.4827586206897,93.3943058293441,-0.0977260143249884,1.08845279134553
ATL,2022,577,95.6672443674177,93.6148151264653,0.0226059374455977,2.05242924095234
PIT,2022,478,93.7238493723849,93.4317692802541,-0.049321544142323,0.292080092130831
NO,2022,514,93.3852140077821,93.4520158786254,-0.113845899722862,-0.0668018708433209
SF,2022,603,93.5323383084577,93.2981760841895,-0.0742495786491323,0.23416222426826
TB,2022,445,92.5842696629214,93.3618809801809,-0.163198742220241,-0.777611317259513
GB,2022,497,93.7625754527163,93.4589374832944,0.0289436223911086,0.303637969421899
HOU,2022,425,90.8235294117647,93.5930237068849,-0.195815808045514,-2.76949429512025
MIA,2022,417,95.4436450839329,93.4237268188303,-0.0317757823515676,2.01991826510259
LV,2022,462,90.6926406926407,93.4482253088064,-0.0308686722537657,-2.75558461616566
DEN,2023,430,96.2790697674419,93.4408759239108,-0.0840322006233901,2.83819384353104
KC,2023,481,93.7629937629938,93.5533995068247,-0.112841146333983,0.209594256169098
MIN,2023,401,94.2643391521197,93.6050732682768,-0.153398898697256,0.659265883842892
CIN,2023,383,93.733681462141,93.4495824746613,-0.112510917606148,0.284098987479723
MIA,2023,498,96.7871485943775,93.3219377893999,0.0616986200804397,3.46521080497757
PIT,2023,521,93.0902111324376,93.3972997880485,-0.105850901297381,-0.307088655610912
PHI,2023,476,93.4873949579832,93.4083614529682,-0.0765454269272565,0.0790335050150048
TB,2023,502,91.2350597609562,93.4171635672391,-0.207521610370136,-2.1821038062829
WAS,2023,373,91.4209115281501,93.4533617931141,-0.147264900015562,-2.03245026496396
CHI,2023,511,94.1291585127202,93.5583902781724,-0.0791002367632263,0.570768234547799
IND,2023,515,92.2330097087379,93.4724510757669,-0.107679452066699,-1.23944136702899
DET,2023,575,93.7391304347826,93.4811883698339,0.000609882033389607,0.257942064948708
NYG,2023,410,94.1463414634146,93.5196263906432,-0.249286863607604,0.62671507277139
NYJ,2023,417,91.8465227817746,93.4801094966541,-0.209767326230197,-1.6335867148795
BUF,2023,535,92.5233644859813,93.5302795762214,-8.68008933334806e-05,-1.00691509024006
TEN,2023,480,92.0833333333333,93.5378121957183,-0.0166731673370424,-1.45447886238496
ATL,2023,507,94.0828402366864,93.5353728558655,-0.155821814075024,0.547467380820876
GB,2023,534,94.9438202247191,93.5775795456176,-0.0490706112682263,1.36624067910154
JAX,2023,460,93.4782608695652,93.4067453767942,-0.156804376937773,0.0715154927709705
LV,2023,412,92.7184466019418,93.383535178541,-0.120578643151568,-0.665088576599217
SEA,2023,404,89.6039603960396,93.7447370278953,-0.0543677016336579,-4.14077663185572
ARI,2023,475,92.6315789473684,93.6361703621714,0.00128592219791917,-1.00459141480296
LA,2023,518,94.980694980695,93.3694444683068,-0.0238865708939472,1.61125051238821
SF,2023,558,95.5197132616487,93.1680662016715,-0.0197720647686055,2.35164705997725
CAR,2023,457,92.9978118161926,93.5360228076284,-0.16963023252182,-0.538210991435818
NE,2023,428,90.8878504672897,93.4483789952002,-0.12591258778833,-2.56052852791046
NO,2023,507,95.2662721893491,93.3827092544097,-0.10004132615744,1.88356293493945
DAL,2023,487,93.6344969199179,93.4295516728865,-0.0335460062037381,0.204945247031333
CLE,2023,571,93.169877408056,93.5403971454934,-0.200696578657095,-0.370519737437405
LAC,2023,430,93.7209302325581,93.3966692935589,-0.161725599214781,0.324260938999259
HOU,2023,495,93.1313131313131,93.4166098724712,-0.173252920430116,-0.285296741158064
BAL,2023,554,92.7797833935018,93.4309920249003,0.0401467897623296,-0.651208631398433
DEN,2024,468,92.9487179487179,93.322738699424,-0.0947222420826363,-0.374020750706023
IND,2024,537,93.4823091247672,93.4980505005607,-0.0125751522416509,-0.0157413757935103
NO,2024,464,94.6120689655172,93.48609451333,-0.0306890603668731,1.12597445218728
BAL,2024,616,92.0454545454546,93.2024366476319,0.0600850487660083,-1.15698210217735
JAX,2024,450,94.4444444444444,93.5346078342862,-0.069735920081536,0.90983661015828
MIA,2024,459,94.7712418300654,93.4053091312026,-0.194612590401293,1.36593269886274
ATL,2024,537,94.2271880819367,93.3367195409104,-0.000285359748138034,0.890468541026337
GB,2024,594,93.4343434343434,93.3755021303992,-0.0600262324353963,0.058841303944206
