caller,seasons,n,hhi,eff,epa
Zac Robinson,2,918,0.430908934614802,2.32067594721358,-0.0367584873776079
Arthur Smith,4,1857,0.312891026441672,3.19600089325802,-0.0708563176611129
Sean McVay,4,1776,0.264230278647454,3.78457762342308,-0.0369770656516021
Kyle Shanahan,4,1942,0.252396512683965,3.96201987644788,-0.0274284537862429
Kevin O'Connell,4,1524,0.246288742078482,4.06027490968849,-0.0995137641753934
Klint Kubiak,2,959,0.244633239059279,4.08775195000251,-0.0562057880620639
Mike McDaniel,4,1591,0.239733949919339,4.17129071763286,-0.0713339911763263
Dave Canales,3,1201,0.229388325718429,4.35941976065289,-0.0973741638068603
Ben Johnson,4,2013,0.224796313877205,4.44847151962754,0.013167939819229
Andy Reid,4,1640,0.220220914922438,4.54089476629503,-0.0712108438596039
Matt LaFleur,4,1850,0.218990866754537,4.56640048427628,-0.0459192078721684
Bobby Slowik,2,868,0.217518078846086,4.59731901506721,-0.136963432727699
Shane Waldron,3,953,0.215847251306235,4.63290588111888,-0.0871442841739244
Shane Steichen,4,1885,0.203644257828683,4.91052392373987,-0.000515903676649968
Luke Getsy,2,931,0.203184212851238,4.92164221800124,-0.0409931860760126
Joe Brady,3,1269,0.199347893670939,5.01635598744118,0.0407324900154914
Mike McCarthy,2,827,0.194174607579666,5.15000397047136,-0.0962055472537712
Zac Taylor,4,1427,0.192560429520758,5.19317495546093,-0.0583568157833109
Kliff Kingsbury,3,1304,0.191920006387636,5.21050420340347,-0.026783448792537
Matt Canada,2,702,0.191363881392015,5.22564651555885,-0.0125885699793398
Kellen Moore,4,1989,0.191099974377202,5.23286307734481,-0.0577862861600426
Josh McDaniels,2,882,0.189851763403531,5.2672673778357,-0.0690254879114377
Pete Carmichael,2,877,0.185578041803394,5.38856855198109,-0.101468021799826
Todd Monken,3,1507,0.184999387387424,5.40542330502862,0.0419610993530014
Mike Kafka,3,1305,0.184461249394961,5.42119281572705,-0.0903754228262152
Sean Payton,3,1220,0.177085581627691,5.64698712796632,-0.0944597442359587
Ken Dorsey,3,885,0.167102810976856,5.98433978551387,-0.0667232634068209
Liam Coen,2,887,0.166990376182414,5.98836904773264,-0.0263519285429426
Kevin Stefanski,2,974,0.165328344653293,6.04856960309546,-0.0835600413680381
Press Taylor,2,761,0.165070975150867,6.05800019710337,-0.14046564750109
Drew Petzing,3,1159,0.16339660503489,6.12007819738037,-0.045469428418241
Greg Roman,3,1330,0.159624830585926,6.26468949930505,-0.0443377313158593
