caller,season,n,hhi,se,epa,eff
Andy Reid,2022,416,0.234814164201183,0.0142447226823026,-0.0356602053731108,4.25868687862979
Pete Carmichael,2022,434,0.182824014100958,0.00814008658567865,-0.111037037039201,5.46974096875363
Zac Taylor,2022,401,0.1619952612235,0.00725899354093752,-0.0497148502014226,6.17302007754616
Mike LaFleur,2022,374,0.194486545225771,0.0109966204184582,-0.0948291348422912,5.14174386119688
Sean McVay,2022,371,0.214245755261877,0.0113432011064439,-0.0696521411446549,4.66753704771271
Mike McDaniel,2022,367,0.20905196415446,0.013501467050975,-0.0479738910502321,4.7834996626061
Kevin Stefanski,2022,480,0.175703125,0.0089946653774149,-0.0153532659867775,5.69141840818141
Kyle Shanahan,2022,553,0.20127922984608,0.0110091134032763,-0.0386824213628524,4.96822250743262
Greg Roman,2022,496,0.180362252861602,0.00882723708875567,0.00243481815672459,5.54439736770937
Matt Canada,2022,457,0.202131683656613,0.0107598481916398,0.00228392949054753,4.9472699277508
Ben McAdoo,2022,455,0.218963893249608,0.00851866635657478,0.00637674787706061,4.56696300544881
Byron Leftwich,2022,373,0.167937669357215,0.00882566681579991,-0.186623259020555,5.95459019901562
Shane Waldron,2022,399,0.237806295186588,0.0148597261966669,-0.0690686677239443,4.20510314588341
Shane Steichen,2022,583,0.223611237786454,0.0133074485275443,0.0905213251863293,4.47204715603331
Kevin O'Connell,2022,390,0.260986193293886,0.0145326122105958,-0.116294749176655,3.83162031438936
Pep Hamilton,2022,357,0.176062581895503,0.0104164352232203,-0.22608240378671,5.67979856499844
Joe Lombardi,2022,379,0.191038770267542,0.00878209534881532,-0.0560914638764312,5.2345395575963
Scott Turner,2022,498,0.19206141836422,0.00835617376203313,-0.108095463555134,5.20666778636211
Kliff Kingsbury,2022,384,0.205512152777778,0.0115249739947877,-0.0599846008699387,4.86589229144667
Ken Dorsey,2022,391,0.146368744317476,0.00692828070076588,-0.0812186009591194,6.83205970416052
Doug Pederson,2022,446,0.17339982706268,0.0115864014307525,-0.0716481502648158,5.76701843905833
Josh McDaniels,2022,395,0.160698605992629,0.0095161506573152,-0.0266203819950924,6.22282933833207
Matt Patricia,2022,382,0.169745895123489,0.0095013967649446,-0.0967616220516842,5.89115865966896
Matt LaFleur,2022,426,0.234774846260663,0.0112996442848738,-0.0232021512874696,4.25940008449514
Mike Kafka,2022,478,0.166584968750547,0.00870703549026219,-0.00476870932090218,6.00294256739005
Arthur Smith,2022,507,0.411614128045625,0.0203012635735166,0.0174678671348259,2.42945985539436
Todd Downing,2022,445,0.226643100618609,0.0120972300914436,-0.13498904480693,4.4122234353067
Ben Johnson,2022,448,0.164660395408163,0.00679251316590928,-0.0417571289664401,6.07310578552409
Nathaniel Hackett,2022,213,0.230664109854747,0.0161433919141675,-0.212301219573043,4.33530817009078
Luke Getsy,2022,469,0.20073103868413,0.0101721285646096,-0.0315585642226979,4.98179059180577
Kellen Moore,2022,544,0.177889814013841,0.00773470825322038,-0.0111798941404285,5.62145733606869
Parks Frazier,2022,213,0.213780334589698,0.015238153962555,-0.103755583243331,4.67769873182802
Eric Bieniemy,2023,315,0.230677752582514,0.0127144981664587,-0.1476475740709,4.33505177159334
Bobby Slowik,2023,440,0.176735537190083,0.00843310344084423,-0.17376111026176,5.65817161561842
Nathaniel Hackett,2023,347,0.219526779559668,0.013436352053741,-0.177445066572095,4.55525290356751
Matt Canada,2023,245,0.171278633902541,0.0123061531796198,-0.0403303342966397,5.83843984048244
Arthur Smith,2023,472,0.359029373743177,0.0200537766854782,-0.152261726431928,2.78528742529943
Matt LaFleur,2023,459,0.212287771559846,0.010495798235653,-0.0611770930324632,4.71058692006708
Kevin Stefanski,2023,494,0.155247586421676,0.00672137905181643,-0.149833831212178,6.44132397191575
Zac Taylor,2023,337,0.178508219672622,0.00958530404254688,-0.112116865813732,5.60198293296503
Mike Kafka,2023,379,0.189409708927117,0.0118460289023611,-0.247725799601122,5.27956040724813
Andy Reid,2023,432,0.203768004115226,0.0088442550184504,-0.125001239271283,4.90754181129694
Sean McVay,2023,463,0.280222420219341,0.0146657834198129,-0.0156730932000518,3.56859383063375
Luke Getsy,2023,462,0.205674556323907,0.00974753238373132,-0.0505707567452867,4.86205011389522
Mike McCarthy,2023,427,0.168448244656637,0.0102525409500457,-0.0491252289408821,5.93654152964543
Todd Monken,2023,494,0.176187119933125,0.00721439688724689,0.0124266971287276,5.67578379384129
