caller,seasons,n,actual,resid,epa
Zac Robinson,2,972,58.641975308642,34.1978399351301,-0.035932671952774
Arthur Smith,4,2050,41.7560975609756,17.333525874811,-0.0694383077998079
Kyle Shanahan,4,2170,39.4470046082949,14.9622498194297,-0.0362778989000523
Mike McDaniel,4,1764,37.4716553287982,12.3032296392138,-0.0968173829914661
Ben Johnson,4,2189,35.2215623572407,11.1931351350868,-0.00810863306684635
Todd Downing,2,737,36.7706919945726,11.1411440470528,-0.0943273263136773
Kevin O'Connell,4,1702,33.7250293772033,8.34233272283367,-0.074440492448954
Klint Kubiak,3,1250,32.48,8.10803141966463,-0.0479768111981451
Bobby Slowik,2,977,32.1392016376663,7.32551898536567,-0.123659321741356
Matt LaFleur,4,2024,30.0889328063241,5.09795101595078,-0.0383509099222361
Shane Waldron,3,1076,29.089219330855,4.35941722520999,-0.062279953100272
Pete Carmichael,2,945,27.7248677248677,1.99505943824691,-0.120497307976678
Sean McVay,4,1909,25.9821896280775,1.69625592214578,-0.0453148436585744
Kevin Stefanski,2,1070,25.8878504672897,1.30874876176642,-0.0524224382625006
Dave Canales,3,1376,24.6366279069767,0.262468088239564,-0.0794910293158421
Andy Reid,4,1978,23.6097067745197,-1.06917388880337,-0.0207990338685438
Joe Brady,3,1470,21.9047619047619,-1.58448062647058,0.0622047050700833
Sean Payton,3,1431,22.7812718378756,-1.61418769271702,-0.0670764564339964
Todd Monken,3,1740,22.183908045977,-2.52832792399601,0.0499095987065576
Liam Coen,2,1020,20.8823529411765,-3.05380292364634,-0.0154401552297322
Kellen Moore,4,2224,20.0089928057554,-4.3853365244987,-0.0429810169145063
Luke Getsy,2,1092,18.3150183150183,-5.77829031464761,0.0408882315256958
Matt Canada,2,779,18.9987163029525,-6.14226505552469,-0.0254601742773385
Zac Taylor,4,1612,17.5558312655087,-6.93319326881366,-0.0415984614149646
Shane Steichen,4,2081,16.0980297933686,-7.61209659597038,0.00629368169784344
Mike McCarthy,2,922,16.3774403470716,-7.76016476024709,-0.0709423275145251
Mike Kafka,3,1535,15.8957654723127,-7.86082819735189,-0.0341863312797942
Ken Dorsey,3,1036,15.0579150579151,-8.93222101079479,0.0044431090283002
Josh McDaniels,2,1039,15.5919153031761,-9.23989258950382,-0.0480597143126892
Greg Roman,3,1530,14.3790849673203,-9.95360586439181,-0.0125966028575147
Drew Petzing,3,1300,13.3076923076923,-10.526105203021,0.00205158725194336
Press Taylor,2,867,12.5720876585928,-11.6455255574713,-0.11936942559523
Kliff Kingsbury,3,1544,9.84455958549222,-13.6027376987812,0.0250135431264604
