caller,season,n,actual,expected,epa,resid
Andy Reid,2022,493,32.4543610547667,25.8714286772946,0.0083162150389193,6.58293237747211
Pete Carmichael,2022,465,26.4516129032258,26.0213206163658,-0.125900576542061,0.430292286860073
Zac Taylor,2022,468,15.3846153846154,24.7241588146227,-0.0407387430254276,-9.33954343000728
Mike LaFleur,2022,405,31.358024691358,25.2291345467538,-0.0804389413446189,6.12889014460423
Sean McVay,2022,411,29.4403892944039,24.4683333171799,-0.0659186711213083,4.97205597722401
Mike McDaniel,2022,410,31.7073170731707,26.0787250142454,-0.0741584388993502,5.62859205892536
Kevin Stefanski,2022,532,28.9473684210526,25.0442683402645,0.0261860504970512,3.90310008078814
Kyle Shanahan,2022,593,34.4013490725126,24.9441876709084,-0.0795202241208512,9.4571614016042
Greg Roman,2022,561,13.1907308377897,24.0736208995555,0.0190270521898826,-10.8828900617659
Matt Canada,2022,500,18.2,25.4243310123682,-0.00466927149146792,-7.22433101236823
Ben McAdoo,2022,483,17.3913043478261,24.8806190185295,-0.00179474801596393,-7.48931467070342
Byron Leftwich,2022,398,8.04020100502512,25.6057511275662,-0.212740916637095,-17.5655501225411
Shane Waldron,2022,450,35.7777777777778,25.2459244690836,-0.0318262393275898,10.5318533086943
Shane Steichen,2022,664,9.93975903614459,23.6101177908166,0.0922545813226016,-13.670358754672
Kevin O'Connell,2022,420,38.5714285714286,25.9636510336506,-0.0977682862386463,12.607777537778
Frank Reich,2022,211,19.4312796208531,25.3996717500814,-0.25581301570433,-5.9683921292283
Pep Hamilton,2022,398,15.0753768844221,24.7330802179237,-0.20368500190071,-9.65770333350157
Joe Lombardi,2022,427,24.5901639344262,25.1427514936592,-0.0448166781172714,-0.552587559232951
Scott Turner,2022,538,26.2081784386617,25.0931439478103,-0.087110014513765,1.11503449085148
Kliff Kingsbury,2022,434,6.91244239631337,23.7293486032755,-0.036232400350788,-16.8169062069621
Ken Dorsey,2022,475,10.5263157894737,24.3431255660559,-0.003252473034357,-13.8168097765822
Doug Pederson,2022,488,13.5245901639344,25.3304793392537,-0.0522833608136681,-11.8058891753193
Josh McDaniels,2022,428,14.7196261682243,25.764692902008,-0.0132024141080747,-11.0450667337837
Matt Patricia,2022,425,11.7647058823529,24.3008652969318,-0.097668263592264,-12.5361594145789
Matt LaFleur,2022,456,33.5526315789474,25.9954004025642,-0.0115042541813301,7.55723117638314
Mike Kafka,2022,570,9.82456140350875,24.5138715887279,0.0595235410652923,-14.6893101852191
Arthur Smith,2022,559,54.3828264758499,24.5937224490858,0.00774309944781285,29.7891040267641
Todd Downing,2022,487,34.2915811088296,25.5943847670998,-0.109191700243401,8.69719634172975
Ben Johnson,2022,480,24.1666666666667,24.6246410952881,-0.0801706616630934,-0.457974428621434
Nathaniel Hackett,2022,236,19.4915254237288,25.0393631725998,-0.186574015389512,-5.54783774887101
Luke Getsy,2022,558,17.2043010752688,23.4149392173495,0.0665201919727483,-6.21063814208071
Kellen Moore,2022,588,26.1904761904762,25.416669632834,-0.0319744955327005,0.77380655764215
Parks Frazier,2022,228,19.7368421052631,25.4447302650334,-0.0747793781950971,-5.7078881597702
Klint Kubiak,2022,208,17.7884615384615,24.4070722775247,-0.0257455266367357,-6.61861073906318
Eric Bieniemy,2023,359,30.3621169916435,23.6548882973975,-0.0562061845561007,6.70722869424601
Bobby Slowik,2023,480,25.8333333333334,24.8465102887712,-0.163435735515668,0.986823044562108
Nathaniel Hackett,2023,388,31.9587628865979,24.7633119488193,-0.227300700846791,7.19545093777868
Matt Canada,2023,279,20.4301075268817,24.6331862798194,-0.0627198566892928,-4.20307875293771
Arthur Smith,2023,522,50.191570881226,24.814534253687,-0.133531728655927,25.377036627539
Matt LaFleur,2023,502,30.2788844621514,24.6514335653162,-0.0731599336968683,5.62745089683519
Kevin Stefanski,2023,538,22.8624535315985,24.1191228027681,-0.130154252426221,-1.25666927116956
Zac Taylor,2023,383,14.8825065274151,24.4380567971782,-0.0790524422227558,-9.5555502697631
Mike Kafka,2023,454,16.9603524229075,22.9216391085298,-0.192884843890855,-5.96128668562234
Andy Reid,2023,537,20.8566108007449,24.6846290863704,-0.0839496861824167,-3.82801828562548
Sean McVay,2023,494,23.2793522267207,24.7992313991071,-0.00733056530612797,-1.51987917238642
Luke Getsy,2023,534,19.4756554307116,24.8021665548955,0.0141042728563038,-5.32651112418382
Mike McCarthy,2023,493,15.0101419878296,24.1342150528762,-0.00809459431516299,-9.1240730650466
Todd Monken,2023,599,14.3572621035058,25.0803747965343,0.016952801578972,-10.7231126930285
Press Taylor,2023,453,13.6865342163355,24.900261954575,-0.17208805154787,-11.2137277382395
Shane Steichen,2023,479,19.6242171189979,23.8334436871749,-0.10462306292644,-4.20922656817702
Ben Johnson,2023,580,35.1724137931034,24.1619291451984,-0.02711803108245,11.010484647905
Mike McDaniel,2023,474,41.9831223628692,25.7286426465848,-0.049850686005305,16.2544797162844
Shane Waldron,2023,382,29.3193717277487,24.7473316744984,-0.0717896025540083,4.57204005325028
Sean Payton,2023,451,24.8337028824834,23.6387501109367,-0.102732718633095,1.1949527715467
Kellen Moore,2023,431,18.5614849187935,24.7287707044603,-0.167692610868653,-6.16728578566677
Dave Canales,2023,483,22.9813664596273,25.1639760629608,-0.172548952664771,-2.18260960333342
Brian Johnson,2023,525,9.90476190476191,22.9590607164871,0.000389726381926437,-13.0542988117252
Tim Kelly,2023,444,25,24.5143804841818,-0.0823500957193173,0.485619515818243
Ken Dorsey,2023,327,11.9266055045872,23.3731125843133,0.104573071299161,-11.4465070797261
Bill O'Brien,2023,415,10.1204819277108,23.8651362344264,-0.110727957876242,-13.7446543067155
Kyle Shanahan,2023,587,42.7597955706985,24.3986372923196,0.0143128847945289,18.3611582783789
Kevin O'Connell,2023,393,36.1323155216285,25.2481515061954,-0.0885505153022651,10.8841640154331
Pete Carmichael,2023,480,28.9583333333333,25.4474057171804,-0.115262891553963,3.51092761615292
Drew Petzing,2023,471,19.9575371549894,24.1169990421987,0.0298973483925173,-4.1594618872093
Thomas Brown,2023,246,30.0813008130081,23.826907700064,-0.103061727619147,6.25439311294415
Bo Hardegree,2023,233,28.3261802575107,25.6444769563721,-0.101357358337936,2.68170330113864
Joe Brady,2023,258,17.8294573643411,24.0907059686417,0.0173784385132061,-6.26124860430064
Mike Sullivan,2023,231,25.974025974026,25.3325270045371,-0.150523267342665,0.641498969488836
Joe Brady,2024,603,24.212271973466,23.2651792441929,0.0875970829080537,0.947092729273145
Arthur Smith,2024,544,29.7794117647059,24.0678836714805,-0.112522606153267,5.71152809322537
Andy Reid,2024,518,16.2162162162163,23.9957526175154,-0.00738140023726996,-7.77953640129917
Drew Petzing,2024,463,10.3671706263499,24.1375996656796,0.0364373936750333,-13.7704290393297
Sean Payton,2024,478,23.6401673640168,25.1000754511818,-0.0553983916493453,-1.45990808716502
