caller,team,season,n,resid
Andy Reid,KC,2022,493,6.59730746949176
Pete Carmichael,NO,2022,465,0.351888027082248
Zac Taylor,CIN,2022,468,-9.45108399933409
Mike LaFleur,NYJ,2022,405,6.13742016715768
Sean McVay,LA,2022,411,4.91030288547496
Mike McDaniel,MIA,2022,410,5.55519588382505
Kevin Stefanski,CLE,2022,532,3.74382035701739
Kyle Shanahan,SF,2022,593,9.41546974706809
Greg Roman,BAL,2022,561,-10.8957628007321
Matt Canada,PIT,2022,500,-7.37370625063779
Ben McAdoo,CAR,2022,483,-7.48152818461382
Byron Leftwich,TB,2022,398,-17.5913954874379
Shane Waldron,SEA,2022,450,10.5352109169795
Shane Steichen,PHI,2022,664,-13.6070665179651
Kevin O'Connell,MIN,2022,420,12.5623838754282
Frank Reich,IND,2022,211,-6.05638100284536
Pep Hamilton,HOU,2022,398,-9.70256516344885
Joe Lombardi,LAC,2022,427,-0.559466812907952
Scott Turner,WAS,2022,538,1.02680210010273
Kliff Kingsbury,ARI,2022,434,-16.8407072875357
Ken Dorsey,BUF,2022,475,-13.8207443819234
Doug Pederson,JAX,2022,488,-11.847367868606
Josh McDaniels,LV,2022,428,-11.0766898666587
Matt Patricia,NE,2022,425,-12.611399015083
Matt LaFleur,GB,2022,456,7.54451879970076
Mike Kafka,NYG,2022,570,-14.8028534428592
Arthur Smith,ATL,2022,559,29.7460863696602
Todd Downing,TEN,2022,487,8.58730433673218
Ben Johnson,DET,2022,480,-0.484603055908039
Nathaniel Hackett,DEN,2022,236,-5.51523746196496
Luke Getsy,CHI,2022,558,-6.32584539298836
Kellen Moore,DAL,2022,588,0.692838902401471
Parks Frazier,IND,2022,228,-5.84492825233101
Klint Kubiak,DEN,2022,208,-6.74339697445527
Eric Bieniemy,WAS,2023,359,6.65620183079274
Frank Reich,CAR,2023,199,-2.94158947303067
Bobby Slowik,HOU,2023,480,0.981840717528645
Nathaniel Hackett,NYJ,2023,388,7.20122432067375
Matt Canada,PIT,2023,279,-4.14385310370863
Arthur Smith,ATL,2023,522,25.4027503467668
Matt LaFleur,GB,2023,502,5.60023737811592
Kevin Stefanski,CLE,2023,538,-1.32586944391294
Zac Taylor,CIN,2023,383,-9.47372298736331
Mike Kafka,NYG,2023,454,-5.9464191312241
Josh McDaniels,LV,2023,180,-4.63729016689791
Andy Reid,KC,2023,537,-3.80908302907283
Sean McVay,LA,2023,494,-1.54491306324056
Luke Getsy,CHI,2023,534,-5.38838104194914
Mike McCarthy,DAL,2023,493,-9.27431320216181
Todd Monken,BAL,2023,599,-10.6574868693177
Press Taylor,JAX,2023,453,-11.2455537468688
Shane Steichen,IND,2023,479,-4.18779649820359
Ben Johnson,DET,2023,580,11.0548829794701
Mike McDaniel,MIA,2023,474,16.2804437761946
Shane Waldron,SEA,2023,382,4.60257090784181
Sean Payton,DEN,2023,451,1.22483582659201
Kellen Moore,LAC,2023,431,-6.21916193800295
Dave Canales,TB,2023,483,-2.14608304094576
Brian Johnson,PHI,2023,525,-12.9658869157235
Tim Kelly,TEN,2023,444,0.52071840980569
Ken Dorsey,BUF,2023,327,-11.516651436003
Bill O'Brien,NE,2023,415,-13.7251743912158
Kyle Shanahan,SF,2023,587,18.3311419901033
Kevin O'Connell,MIN,2023,393,10.9720295451525
Pete Carmichael,NO,2023,480,3.54161522428816
Drew Petzing,ARI,2023,471,-4.19687077940904
Thomas Brown,CAR,2023,246,6.41367943518288
Bo Hardegree,LV,2023,233,2.7095500299859
Joe Brady,BUF,2023,258,-6.35916275918022
Mike Sullivan,PIT,2023,231,0.704240997309802
Joe Brady,BUF,2024,603,0.823745165162335
Arthur Smith,PIT,2024,544,5.72109815103057
Andy Reid,KC,2024,518,-7.81423349695772
Drew Petzing,ARI,2024,463,-13.780766122896
Sean Payton,DEN,2024,478,-1.39408901442916
Klint Kubiak,NO,2024,444,19.0642738421154
Brian Callahan,TEN,2024,450,-7.14041681090994
Alex Van Pelt,NE,2024,446,-4.69730502921636
Mike McCarthy,DAL,2024,429,-6.3014604680952
Kevin Stefanski,CLE,2024,157,-0.562509627431443
Ryan Grubb,SEA,2024,383,-6.35371584416057
Sean McVay,LA,2024,493,2.71526383799
Kellen Moore,PHI,2024,770,-6.50709069249302
Shane Steichen,IND,2024,496,-3.93074199091642
Greg Roman,LAC,2024,481,-8.49653220195285
Bobby Slowik,HOU,2024,497,13.4413287699433
Mike McDaniel,MIA,2024,448,14.5541501214861
Todd Monken,BAL,2024,634,-1.44647843665694
Ben Johnson,DET,2024,557,19.0698203736083
Kevin O'Connell,MIN,2024,479,6.18939681954697
Luke Getsy,LV,2024,199,-1.35524175387231
Press Taylor,JAX,2024,414,-12.2179721495596
Brian Daboll,NYG,2024,424,-7.08234665546357
Zac Taylor,CIN,2024,380,-4.9069505831913
Dave Canales,CAR,2024,410,9.29972080468405
Kyle Shanahan,SF,2024,457,17.0855931187746
Matt LaFleur,GB,2024,551,2.31528462412785
Zac Robinson,ATL,2024,495,32.2657765877066
Kliff Kingsbury,WAS,2024,626,-14.52528959283
Shane Waldron,CHI,2024,244,-7.39130186161301
Liam Coen,TB,2024,508,-4.69620187297523
Todd Downing,NYJ,2024,250,15.7575069889426
Ken Dorsey,CLE,2024,234,4.41172489434736
Thomas Brown,CHI,2024,187,-7.34362998568917
Scott Turner,LV,2024,181,-6.2664079464437
Kellen Moore,NO,2025,435,-6.07222714129535
Josh Grizzard,TB,2025,472,-11.8302345362697
Joe Brady,BUF,2025,609,-2.04013998762436
Todd Monken,BAL,2025,507,6.00510674071384
Liam Coen,JAX,2025,512,-1.39925104158465
Sean McVay,LA,2025,511,1.247614933772
Matt LaFleur,GB,2025,515,5.46919335150025
Kevin O'Connell,MIN,2025,410,4.00145263433821
Kevin Stefanski,CLE,2025,190,-7.69127519311089
Zac Taylor,CIN,2025,381,-3.36825436670481
Kevin Patullo,PHI,2025,514,-3.47634622254608
Ben Johnson,CHI,2025,572,13.5248729431598
John Morton,DET,2025,227,14.2956838783057
Arthur Smith,PIT,2025,425,5.94890519363039
Mike McDaniel,MIA,2025,432,11.9931600039342
Dave Canales,CAR,2025,483,-4.86748923796305
Greg Roman,LAC,2025,488,-10.2756232656844
Nick Caley,HOU,2025,528,-4.8803029200909
Andy Reid,KC,2025,430,1.70222225490697
Josh McDaniels,NE,2025,611,-7.86742402420498
Shane Steichen,IND,2025,442,-6.30887445837799
Chip Kelly,LV,2025,247,7.57658378436015
Drew Petzing,ARI,2025,366,-14.5225894265895
Kliff Kingsbury,WAS,2025,484,-9.39422396881401
Brian Schottenheimer,DAL,2025,465,-5.27659422407548
Kyle Shanahan,SF,2025,533,15.3878674816208
Tanner Engstrand,NYJ,2025,456,2.42645567969272
Klint Kubiak,SEA,2025,598,5.19537122135227
Zac Robinson,ATL,2025,477,36.3224752063803
Sean Payton,DEN,2025,502,-4.24302451171545
Mike Kafka,NYG,2025,511,-1.90707276522414
Bo Hardegree,TEN,2025,308,8.13749126557795
Tommy Rees,CLE,2025,231,1.82668370521302
Dan Campbell,DET,2025,215,10.1704839660331
