caller,seasons,n,actual,resid,epa
Luke Getsy,2,1092,36.8131868131868,19.2850386913211,0.0408882315256958
Kliff Kingsbury,3,1544,35.1036269430052,17.6974639615015,0.0250135431264604
Todd Monken,3,1740,33.3333333333333,15.6603997667459,0.0499095987065576
Pete Carmichael,2,945,27.4074074074074,9.87493006069035,-0.120497307976678
Arthur Smith,4,2050,24.0487804878049,6.3334465780091,-0.0694383077998079
Shane Steichen,4,2081,23.7385872176838,6.01537782870723,0.00629368169784344
Mike McDaniel,4,1764,23.2426303854875,5.83100312039923,-0.0968173829914661
Mike Kafka,3,1535,22.4104234527687,4.95763010293828,-0.0341863312797942
Kyle Shanahan,4,2170,21.5668202764977,4.23802484869786,-0.0362778989000523
Kellen Moore,4,2224,21.6726618705036,4.1486048022379,-0.0429810169145063
Drew Petzing,3,1300,20.3076923076923,3.03610763799112,0.00205158725194336
Sean Payton,3,1431,19.9860237596087,2.40568317457315,-0.0670764564339964
Klint Kubiak,3,1250,19.52,1.81890663921832,-0.0479768111981451
Shane Waldron,3,1076,18.3085501858736,1.03722054469763,-0.062279953100272
Mike McCarthy,2,922,17.8958785249458,0.831210722342744,-0.0709423275145251
Joe Brady,3,1470,18.4353741496599,0.692370209564175,0.0622047050700833
Greg Roman,3,1530,17.9738562091503,0.530622561456142,-0.0125966028575147
Ken Dorsey,3,1036,17.6640926640927,0.401292477184224,0.0044431090283002
Matt LaFleur,4,2024,17.1936758893281,-0.674558012459145,-0.0383509099222361
Todd Downing,2,737,15.8751696065129,-1.06523454219628,-0.0943273263136773
Liam Coen,2,1020,16.078431372549,-1.61071938553861,-0.0154401552297322
Press Taylor,2,867,14.878892733564,-2.03762234778346,-0.11936942559523
Kevin Stefanski,2,1070,14.9532710280374,-2.47121777089538,-0.0524224382625006
Kevin O'Connell,4,1702,14.2185663924794,-2.69140511369234,-0.074440492448954
Bobby Slowik,2,977,13.2036847492323,-3.83708918202161,-0.123659321741356
Ben Johnson,4,2189,11.4207400639561,-6.47490251496224,-0.00810863306684635
Sean McVay,4,1909,10.3195390256679,-6.85566330544218,-0.0453148436585744
Zac Taylor,4,1612,9.6774193548387,-7.27270680795154,-0.0415984614149646
Matt Canada,2,779,9.37098844672658,-7.64195886422642,-0.0254601742773385
Josh McDaniels,2,1039,9.91337824831569,-7.74563747342529,-0.0480597143126892
Andy Reid,4,1978,8.74620829120324,-8.51419797088081,-0.0207990338685438
Zac Robinson,2,972,8.53909465020576,-8.54119825629142,-0.035932671952774
Dave Canales,3,1376,8.57558139534884,-8.66171003638789,-0.0794910293158421
