caller,season,n,actual,expected,epa,resid
Andy Reid,2022,493,7.30223123732252,16.9202364403112,0.0083162150389193,-9.6180052029887
Pete Carmichael,2022,465,27.5268817204301,17.3186480197855,-0.125900576542061,10.2082337006446
Zac Taylor,2022,468,12.1794871794872,16.5240849306584,-0.0407387430254276,-4.34459775117122
Mike LaFleur,2022,405,15.5555555555556,16.6815411984737,-0.0804389413446189,-1.1259856429181
Sean McVay,2022,411,14.3552311435523,16.587336205508,-0.0659186711213083,-2.23210506195569
Mike McDaniel,2022,410,18.0487804878049,17.0135910881729,-0.0741584388993502,1.03518939963204
Kevin Stefanski,2022,532,12.406015037594,17.5629139657279,0.0261860504970512,-5.15689892813394
Kyle Shanahan,2022,593,24.283305227656,16.9177822116919,-0.0795202241208512,7.36552301596407
Greg Roman,2022,561,32.0855614973262,17.0282828855642,0.0190270521898826,15.057278611762
Matt Canada,2022,500,9.40000000000001,17.1171305257827,-0.00466927149146792,-7.7171305257827
Ben McAdoo,2022,483,16.3561076604555,17.5478665223712,-0.00179474801596393,-1.19175886191567
Byron Leftwich,2022,398,5.27638190954774,17.1657876565528,-0.212740916637095,-11.8894057470051
Shane Waldron,2022,450,19.5555555555556,17.3216517989834,-0.0318262393275898,2.23390375657214
Shane Steichen,2022,664,31.3253012048193,17.3542409882802,0.0922545813226016,13.971060216539
Kevin O'Connell,2022,420,10.7142857142857,16.8106488781493,-0.0977682862386463,-6.09636316386361
Frank Reich,2022,211,9.00473933649288,17.5689837696711,-0.25581301570433,-8.56424443317817
Pep Hamilton,2022,398,20.8542713567839,17.2564533337876,-0.20368500190071,3.59781802299635
Joe Lombardi,2022,427,10.3044496487119,17.8401393532334,-0.0448166781172714,-7.53568970452148
Scott Turner,2022,538,11.1524163568773,17.3184593938651,-0.087110014513765,-6.16604303698779
Kliff Kingsbury,2022,434,27.8801843317972,16.9319896581089,-0.036232400350788,10.9481946736883
Ken Dorsey,2022,475,20.2105263157895,16.8694368271451,-0.003252473034357,3.34108948864434
Doug Pederson,2022,488,25.4098360655738,17.4641605352097,-0.0522833608136681,7.94567553036403
Josh McDaniels,2022,428,9.57943925233644,17.4908795158997,-0.0132024141080747,-7.91144026356324
Matt Patricia,2022,425,7.52941176470589,16.6798068032984,-0.097668263592264,-9.15039503859246
