caller,seasons,n,actual,resid,epa
Kyle Shanahan,4,1858,54.951560818084,5.34894408335342,-0.049748068829784
Ken Dorsey,3,842,53.4441805225653,4.26895540924366,-0.0695083309894077
Bobby Slowik,2,855,53.5672514619883,4.19445257089291,-0.144371945288969
Dave Canales,3,1190,53.0252100840336,3.54275664111146,-0.0915164510335992
Luke Getsy,2,894,52.013422818792,2.79830186492378,-0.0465869879395903
Liam Coen,2,861,52.2648083623693,2.33721053628001,-0.0249144142963051
Kliff Kingsbury,3,1286,51.3996889580093,1.85101214871621,-0.000936587336784583
Drew Petzing,3,1114,50.7181328545781,1.40883169493086,-0.018072858054853
Andy Reid,4,1617,50.5875077303649,1.16081312805616,-0.0623465089430374
Kevin Stefanski,2,939,50.692225772098,1.12623260996211,-0.0945144732769368
Mike Kafka,3,1268,50.5520504731861,1.0581133399476,-0.0867007245377224
Arthur Smith,4,1804,50.7206208425721,1.029090406559,-0.0608110173281175
Klint Kubiak,2,928,50.323275862069,0.867014429692563,-0.0557702454288715
Mike McDaniel,4,1558,49.8074454428755,0.756788408725662,-0.0481691958803555
Shane Steichen,4,1811,50.1932633903921,0.535779426204507,-0.0013790369744261
Zac Taylor,4,1374,49.8544395924309,0.0861048937017386,-0.0691335876695975
Kellen Moore,4,1893,49.6038034865293,-0.0976456310531355,-0.0729829352378562
Josh McDaniels,2,859,49.708963911525,-0.205665837205747,-0.0668236400814979
Press Taylor,2,735,48.7074829931973,-0.367559401356455,-0.143189467286983
Sean McVay,4,1750,49.0857142857143,-0.452644811357764,-0.0293715482354164
Zac Robinson,2,894,48.8814317673378,-0.719009833181199,-0.0274135578930027
Pete Carmichael,2,868,48.6175115207373,-0.927818621495909,-0.0888302831648751
Todd Monken,3,1485,48.4848484848485,-1.19911356004401,0.0573710507076695
Kevin O'Connell,4,1471,48.130523453433,-1.28318756555393,-0.0946738246694095
Matt LaFleur,4,1810,47.5138121546961,-2.0293038869431,-0.0383754116786614
Greg Roman,3,1279,47.4589523064895,-2.31048794255021,-0.028950770618212
Ben Johnson,4,1981,45.8859162039374,-3.86568813959435,0.0114500466743574
Mike McCarthy,2,800,44.375,-4.60099433735012,-0.0848449912201612
Joe Brady,3,1177,41.4613423959218,-8.38325477902325,0.0144671918729362
Sean Payton,3,1160,41.0344827586207,-8.44239134469936,-0.0934410717964558
Shane Waldron,3,935,39.144385026738,-10.4481991057727,-0.0603436771800175
