caller,season,n,actual,expected,epa,resid
Andy Reid,2022,413,53.2687651331719,49.5300423146449,-0.0323354624590632,3.73872281852703
Pete Carmichael,2022,429,48.2517482517483,49.8559107174684,-0.10619406976101,-1.60416246572019
Zac Taylor,2022,380,47.6315789473684,50.0770363917476,-0.0584690904734952,-2.44545744437921
Mike LaFleur,2022,363,57.5757575757576,49.7227289706222,-0.108725286630231,7.85302860513534
Sean McVay,2022,366,50.5464480874317,49.3472110703995,-0.0644250768211368,1.19923701703224
Mike McDaniel,2022,358,49.4413407821229,49.34185285475,-0.0345854319725707,0.0994879273728984
Kevin Stefanski,2022,458,48.6899563318777,50.0497539946606,-0.0182192662250916,-1.35979766278289
Kyle Shanahan,2022,530,54.9056603773585,49.8107838349522,-0.0574622021812315,5.09487654240625
Greg Roman,2022,483,46.583850931677,49.8267250648443,0.0341692458506573,-3.2428741331673
Matt Canada,2022,435,53.7931034482759,49.7856532568219,-0.0314128979697995,4.00745019145398
Ben McAdoo,2022,435,54.0229885057471,49.5757814179892,-0.00232602305624679,4.44720708775795
Byron Leftwich,2022,363,47.9338842975207,49.2050262029506,-0.160798981026349,-1.27114190542993
Shane Waldron,2022,386,39.3782383419689,49.8453486305444,-0.0255774203880927,-10.4671102885755
Shane Steichen,2022,539,50.4638218923933,49.7692615291404,0.0779306208766681,0.694560363252897
Kevin O'Connell,2022,380,50,49.5911090860241,-0.114711261324976,0.408890913975867
Pep Hamilton,2022,348,51.1494252873563,49.2964467012334,-0.212696889522432,1.85297858612291
Joe Lombardi,2022,361,49.8614958448754,49.5381960000358,-0.0630253149490609,0.323299844839568
Scott Turner,2022,491,47.2505091649695,49.8419700839126,-0.105633393775049,-2.59146091894317
Kliff Kingsbury,2022,374,53.7433155080214,49.4055612600424,-0.0283879462808847,4.33775424797904
Ken Dorsey,2022,370,54.5945945945946,49.5216030768446,-0.0735423006721443,5.07299151774998
Doug Pederson,2022,428,50.9345794392524,49.5814737036964,-0.0387861839904685,1.353105735556
Josh McDaniels,2022,388,52.319587628866,49.8936520947009,-0.0322027661136746,2.42593553416508
Matt Patricia,2022,370,40.5405405405406,49.2061664365433,-0.0824506572875621,-8.66562589600279
Matt LaFleur,2022,419,48.4486873508353,49.2023932905357,0.00734221129755977,-0.753705939700325
Mike Kafka,2022,464,52.1551724137931,49.7480938532229,-0.0222369015602203,2.40707856057021
Arthur Smith,2022,496,46.5725806451613,49.5751095094508,0.0382213651713344,-3.00252886428949
Todd Downing,2022,434,45.3917050691244,49.490941765671,-0.123004280099397,-4.09923669654651
Ben Johnson,2022,446,45.9641255605381,49.6940674402254,-0.0469733063348742,-3.72994187968729
Nathaniel Hackett,2022,205,44.390243902439,49.7614011241169,-0.226065528683546,-5.37115722167783
Luke Getsy,2022,452,54.2035398230089,48.9813183920573,-0.0302469870158001,5.22222143095151
Kellen Moore,2022,529,47.4480151228733,49.7082589930082,-0.0259419349928885,-2.26024387013488
Parks Frazier,2022,206,49.5145631067961,49.3607149540799,-0.0625238715878968,0.153848152716179
Eric Bieniemy,2023,307,48.2084690553746,49.4724524914248,-0.14723071082213,-1.26398343605018
Bobby Slowik,2023,429,52.2144522144522,49.301143730437,-0.18409073448334,2.9133084840152
Nathaniel Hackett,2023,335,52.2388059701493,49.5543936829069,-0.188537404230282,2.68441228724237
Matt Canada,2023,237,54.0084388185654,49.3833263463612,-0.0680669455117063,4.62511247220422
Arthur Smith,2023,461,52.7114967462039,49.9970143050796,-0.13322620161702,2.71448244112435
Matt LaFleur,2023,450,50.6666666666667,49.4315200779173,-0.049734530589647,1.23514658874936
Kevin Stefanski,2023,481,52.5987525987526,49.105364344472,-0.167161468764972,3.49338825428062
Zac Taylor,2023,328,50,49.2566218463386,-0.113275318224801,0.743378153661404
Mike Kafka,2023,367,47.6839237057221,49.0891098245288,-0.238802013385848,-1.40518611880675
Andy Reid,2023,428,51.8691588785047,49.1971502237231,-0.110730067652729,2.67200865478159
Sean McVay,2023,459,49.8910675381264,49.5862596240179,-0.019669772079113,0.304807914108494
Luke Getsy,2023,442,49.7737556561086,49.4542131663987,-0.0632966721421994,0.319542489709896
Mike McCarthy,2023,415,48.4337349397591,49.2050748919866,-0.0381938458925269,-0.771339952227564
Todd Monken,2023,494,47.3684210526316,49.5610540333065,0.0474938836725434,-2.19263298067484
Press Taylor,2023,375,47.4666666666667,49.3643449147542,-0.19472712357839,-1.89767824808758
Shane Steichen,2023,433,45.0346420323325,49.2353874802865,-0.100726032702201,-4.20074544795394
Ben Johnson,2023,535,48.2242990654206,49.716021836361,0.0120039638793359,-1.49172277094048
Mike McDaniel,2023,420,48.0952380952381,48.7943108592715,0.0562404865088561,-0.699072764033367
Shane Waldron,2023,341,35.4838709677419,49.3303137178645,-0.0649888628542075,-13.8464427501226
Sean Payton,2023,366,35.2459016393443,49.2530212376287,-0.129365178771683,-14.0071195982845
Kellen Moore,2023,362,51.6574585635359,49.5110439414478,-0.229716027989078,2.14641462208815
Dave Canales,2023,418,51.9138755980861,49.6076405690047,-0.186230349189571,2.30623502908142
Brian Johnson,2023,415,54.2168674698795,49.7377509812275,-0.0702884458005428,4.47911648865205
Tim Kelly,2023,394,50.7614213197969,49.8947745425447,-0.033048974577016,0.866646777252235
Ken Dorsey,2023,264,47.3484848484848,49.2294176058336,0.0415766491752232,-1.88093275734874
Bill O'Brien,2023,371,45.5525606469003,49.2406615831781,-0.129401891099445,-3.68810093627786
Kyle Shanahan,2023,505,59.8019801980198,49.4767528831369,-0.00314551773342784,10.3252273148829
Kevin O'Connell,2023,335,47.1641791044776,49.2440090250613,-0.137288226832205,-2.07982992058371
Pete Carmichael,2023,439,48.9749430523918,49.2418242953633,-0.0718620270151212,-0.2668812429715
Drew Petzing,2023,405,47.1604938271605,49.0430758617542,0.00918043973269285,-1.88258203459375
Thomas Brown,2023,218,57.7981651376147,49.3029164748454,-0.173076739415116,8.49524866276924
Bo Hardegree,2023,215,46.9767441860465,48.5641653038735,-0.106532041901766,-1.58742111782695
