caller,seasons,n,actual,resid,epa
CAR,4,1847,54.5208446128858,5.10358916112522,-0.0774467669217632
SF,4,2125,53.9764705882353,4.3845915555954,-0.0671615923735148
NYJ,4,1721,53.3410807669959,3.83177342489664,-0.145390708957848
PIT,4,1975,53.2658227848101,3.66610152661046,-0.0829747024678354
LV,4,1660,52.3493975903615,2.96879731028913,-0.154905611049967
ARI,4,1764,51.7573696145125,2.46929994651249,-0.0361887645272034
CLE,4,1938,51.7543859649123,2.45951819315291,-0.129541919423485
PHI,4,2277,51.7347386912604,1.89040725200805,-0.0202968296254211
HOU,4,1975,51.1392405063291,1.73581889158563,-0.145209085081197
JAX,4,1884,51.0615711252654,1.66579676819708,-0.0854301352544258
KC,4,1829,50.8474576271187,1.42817385963171,-0.0803747597181566
TEN,4,1870,50.427807486631,0.966634404531771,-0.104721887467459
MIA,4,1821,50.0274574409665,0.905634372002611,-0.0422817595269303
IND,4,1967,50.3812913065582,0.750606303658644,-0.0570571155176771
LA,4,2087,49.9281264973646,0.468469857027157,-0.0306821851515862
TB,4,1933,49.8706673564408,0.229292930683439,-0.116811866554505
NYG,4,1856,49.2456896551724,-0.122686400046121,-0.0985033350057321
CIN,4,1592,49.1206030150754,-0.499658245387381,-0.080400988412787
WAS,4,1974,49.0881458966565,-0.540067539328621,-0.0551024247260468
ATL,4,2114,48.9120151371807,-0.754985672861415,-0.0539545093657751
LAC,4,1802,48.6126526082131,-0.953581236244971,-0.0926919000651729
NO,4,1907,48.0859989512323,-1.44277204220746,-0.0989747590824423
DET,4,2187,48.1481481481481,-1.53764173436177,-0.0161037124918239
MIN,4,1715,47.7551020408163,-1.5884522967714,-0.0954342132255043
CHI,4,2068,47.6305609284333,-1.78681181985127,-0.0540287476087016
GB,4,2156,47.3562152133581,-2.19096532696253,-0.0379931877828541
BAL,4,2265,47.4613686534216,-2.3284742255874,0.0267555111381852
SEA,4,1871,46.3388562266168,-3.12600577342707,-0.0531128024799874
BUF,4,2065,46.1016949152543,-3.52043669246877,0.000646824446071491
DAL,4,2020,45.8910891089109,-3.56870331091457,-0.0401825252085888
NE,4,1839,44.589450788472,-4.85981454208792,-0.119659840840595
DEN,4,1832,43.3951965065502,-6.13525108348855,-0.0983213487489953
