caller,season,n,actual,expected,epa,resid
BAL,2022,544,45.9558823529412,49.7774581863162,-0.00226141680168977,-3.82157583337496
CIN,2022,435,47.1264367816092,49.9452483791044,-0.0789901193359802,-2.81881159749525
TEN,2022,499,46.0921843687375,49.4228320931624,-0.143365923860269,-3.33064772442492
DET,2022,518,46.7181467181467,49.6740758419037,-0.0505366401034892,-2.95592912375696
JAX,2022,494,51.8218623481782,49.4405504783638,-0.0712805713417559,2.38131186981434
NYJ,2022,427,57.6112412177986,49.6126473298955,-0.127309037874119,7.99859388790308
ARI,2022,437,52.6315789473684,49.1261123110555,-0.0325995756044678,3.50546663631292
WAS,2022,554,47.4729241877256,49.5850208218778,-0.0929384710164641,-2.11209663415214
CAR,2022,503,54.8707753479125,49.5521616094392,-0.03233838759022,5.31861373847332
DEN,2022,444,46.1711711711712,49.5248233144348,-0.163411959653368,-3.35365214326361
IND,2022,456,50,49.507734467063,-0.151059087529256,0.492265532936962
BUF,2022,436,54.1284403669725,49.4689105369082,-0.0534545469926586,4.65952983006427
NE,2022,428,40.4205607476636,49.4707572404469,-0.096338841968399,-9.05019649278337
CLE,2022,534,49.812734082397,49.8995787418737,-0.059202642581157,-0.0868446594766965
KC,2022,465,52.6881720430108,49.4477157503046,-0.0779070381355544,3.24045629270616
SEA,2022,451,39.4678492239468,49.8151126497336,-0.0170485027332658,-10.3472634257868
LA,2022,434,51.8433179723502,49.2466281704639,-0.0867609914890084,2.59668980188633
NYG,2022,528,52.4621212121212,49.6534771991499,-0.0116212948535878,2.80864401297136
CHI,2022,531,53.8606403013183,49.1307830630947,-0.0712550987407091,4.72985723822356
PHI,2022,620,49.3548387096774,49.5747237628506,0.0636560691580659,-0.219885053173194
LAC,2022,421,48.9311163895487,49.5855202371887,-0.0781306793776093,-0.654403847640033
DAL,2022,606,47.5247524752475,49.6368619819286,-0.0363957464768747,-2.11210950668105
MIN,2022,435,49.4252873563219,49.4308106515599,-0.0977260143249884,-0.00552329523809192
ATL,2022,577,47.1403812824957,49.4517481203096,0.0226059374455977,-2.31136683781389
PIT,2022,478,52.7196652719665,49.4931779084844,-0.049321544142323,3.22648736348213
NO,2022,514,47.8599221789883,49.7830288593407,-0.113845899722862,-1.9231066803524
SF,2022,603,54.2288557213931,49.7082029853887,-0.0742495786491323,4.52065273600432
TB,2022,445,47.8651685393259,49.0659130892057,-0.163198742220241,-1.20074454987986
GB,2022,497,47.6861167002012,49.3390833527989,0.0289436223911086,-1.65296665259768
HOU,2022,425,52.2352941176471,49.4529083616593,-0.195815808045514,2.78238575598771
MIA,2022,417,49.4004796163069,48.9999110678689,-0.0317757823515676,0.400568548438052
LV,2022,462,51.5151515151515,49.7644105192387,-0.0308686722537657,1.75074099591283
DEN,2023,430,38.3720930232558,49.5510163626006,-0.0840322006233901,-11.1789233393447
KC,2023,481,52.3908523908524,49.3268344047907,-0.112841146333983,3.06401798606166
MIN,2023,402,45.273631840796,49.1950795869922,-0.159104202739635,-3.92144774619621
CIN,2023,383,48.5639686684073,49.4719038043881,-0.112510917606148,-0.907935135980807
MIA,2023,498,48.3935742971888,48.9225953637835,0.0616986200804397,-0.52902106659478
PIT,2023,521,55.6621880998081,49.433997164761,-0.105850901297381,6.22819093504703
PHI,2023,476,53.781512605042,49.8166403850588,-0.0765454269272565,3.96487221998328
TB,2023,502,49.601593625498,49.7562934202977,-0.207521610370136,-0.15469979479969
WAS,2023,373,48.2573726541555,49.5026245673285,-0.147264900015562,-1.24525191317294
CHI,2023,513,49.1228070175439,49.3340099183207,-0.0839589839151265,-0.211202900776847
IND,2023,515,45.631067961165,49.2441774687721,-0.107679452066699,-3.61310950760704
DET,2023,575,48,49.6284906501355,0.000609882033389607,-1.62849065013555
NYG,2023,410,47.0731707317073,49.2250816851128,-0.249286863607604,-2.15191095340543
