caller,seasons,n,actual,resid,epa
Joe Brady,3,1470,5.64625850340136,3.17253525975199,0.0622047050700833
Sean Payton,3,1431,3.49406009783368,1.39503655830828,-0.0670764564339964
Matt Canada,2,779,3.59435173299101,1.3721854200795,-0.0254601742773385
Kyle Shanahan,4,2170,3.36405529953917,1.25715991639729,-0.0362778989000523
Kellen Moore,4,2224,3.64208633093525,1.25068713380596,-0.0429810169145063
Ken Dorsey,3,1036,3.28185328185328,0.993474673501822,0.0044431090283002
Luke Getsy,2,1092,2.56410256410257,0.902805808130332,0.0408882315256958
Kevin Stefanski,2,1070,2.89719626168225,0.786855121621338,-0.0524224382625006
Zac Taylor,4,1612,2.85359801488834,0.692937591664136,-0.0415984614149646
Shane Steichen,4,2081,2.97933685728015,0.613626964033479,0.00629368169784344
Press Taylor,2,867,2.88350634371395,0.399370770562399,-0.11936942559523
Kevin O'Connell,4,1702,2.40893066980023,0.34646751253531,-0.074440492448954
Klint Kubiak,3,1250,2.08,0.308631331241922,-0.0479768111981451
Josh McDaniels,2,1039,2.02117420596728,0.191084169986621,-0.0480597143126892
Mike Kafka,3,1535,2.01954397394137,0.185651164350227,-0.0341863312797942
Drew Petzing,3,1300,2.15384615384616,0.140645339650713,0.00205158725194336
Arthur Smith,4,2050,1.90243902439025,0.0708074376708269,-0.0694383077998079
Greg Roman,3,1530,2.48366013071895,-0.0594364706869319,-0.0125966028575147
Mike McCarthy,2,922,1.95227765726681,-0.144383973803639,-0.0709423275145251
Liam Coen,2,1020,1.76470588235294,-0.312446587059622,-0.0154401552297322
Bobby Slowik,2,977,1.22824974411464,-0.469953725687007,-0.123659321741356
Todd Downing,2,737,1.22116689280868,-0.4784518188536,-0.0943273263136773
Todd Monken,3,1740,1.32183908045977,-0.59504220100928,0.0499095987065576
Shane Waldron,3,1076,1.11524163568774,-0.687236869087216,-0.062279953100272
Matt LaFleur,4,2024,1.23517786561265,-0.780008741594609,-0.0383509099222361
Pete Carmichael,2,945,0.952380952380953,-1.01479000847099,-0.120497307976678
Mike McDaniel,4,1764,0.566893424036282,-1.05864429050126,-0.0968173829914661
Sean McVay,4,1909,0.942902042954429,-1.11535412382264,-0.0453148436585744
Ben Johnson,4,2189,0.913659205116493,-1.17402321795254,-0.00810863306684635
Zac Robinson,2,972,1.02880658436214,-1.36233278314532,-0.035932671952774
Dave Canales,3,1376,0.290697674418604,-1.53804579643737,-0.0794910293158421
Andy Reid,4,1978,0.202224469160768,-2.13492207674052,-0.0207990338685438
Kliff Kingsbury,3,1544,0.259067357512953,-2.17700721005934,0.0250135431264604
