caller,season,n,actual,expected,epa,resid
Andy Reid,2022,493,0.405679513184584,1.77342253875882,0.0083162150389193,-1.36774302557423
Pete Carmichael,2022,465,1.0752688172043,2.07970973864694,-0.125900576542061,-1.00444092144264
Zac Taylor,2022,468,4.27350427350428,2.18572894640617,-0.0407387430254276,2.08777532709811
Mike LaFleur,2022,405,2.46913580246913,1.6152221610968,-0.0804389413446189,0.853913641372335
Sean McVay,2022,411,0.486618004866181,2.06530661184234,-0.0659186711213083,-1.57868860697616
Mike McDaniel,2022,410,1.46341463414634,2.12441589778414,-0.0741584388993502,-0.661001263637802
Kevin Stefanski,2022,532,3.57142857142858,2.37228688601771,0.0261860504970512,1.19914168541087
Kyle Shanahan,2022,593,3.37268128161889,2.16743447403145,-0.0795202241208512,1.20524680758744
Greg Roman,2022,561,1.60427807486631,2.69822109824834,0.0190270521898826,-1.09394302338203
Matt Canada,2022,500,4,2.46586756429751,-0.00466927149146792,1.53413243570248
Ben McAdoo,2022,483,1.24223602484472,1.90410802075032,-0.00179474801596393,-0.661871995905602
Byron Leftwich,2022,398,1.50753768844221,3.38541048480345,-0.212740916637095,-1.87787279636125
Shane Waldron,2022,450,1.55555555555556,1.6642459108132,-0.0318262393275898,-0.108690355257648
Shane Steichen,2022,664,6.32530120481927,2.64551861768575,0.0922545813226016,3.67978258713352
Kevin O'Connell,2022,420,1.90476190476191,1.89011436576644,-0.0977682862386463,0.0146475389954617
Frank Reich,2022,211,0.473933649289099,1.74160368833801,-0.25581301570433,-1.26767003904891
Pep Hamilton,2022,398,2.01005025125628,2.01660567360325,-0.20368500190071,-0.00655542234697171
Joe Lombardi,2022,427,2.81030444964871,2.97825416500012,-0.0448166781172714,-0.167949715351406
Scott Turner,2022,538,0.929368029739779,2.18431116289504,-0.087110014513765,-1.25494313315527
Kliff Kingsbury,2022,434,0.460829493087555,2.64016124848378,-0.036232400350788,-2.17933175539623
Ken Dorsey,2022,475,2.94736842105263,2.28872871761039,-0.003252473034357,0.658639703442245
Doug Pederson,2022,488,2.86885245901639,2.38513511191786,-0.0522833608136681,0.483717347098534
Josh McDaniels,2022,428,1.40186915887851,1.64284533980846,-0.0132024141080747,-0.240976180929948
Matt Patricia,2022,425,1.64705882352941,1.1120584114619,-0.097668263592264,0.535000412067507
Matt LaFleur,2022,456,0.657894736842104,1.9222963073078,-0.0115042541813301,-1.26440157046569
Mike Kafka,2022,570,2.28070175438596,1.53396920924965,0.0595235410652923,0.746732545136313
Arthur Smith,2022,559,1.25223613595707,1.55618021217606,0.00774309944781285,-0.303944076218998
Todd Downing,2022,487,1.64271047227926,1.74536019563316,-0.109191700243401,-0.102649723353905
Ben Johnson,2022,480,0.416666666666668,2.12286492171794,-0.0801706616630934,-1.70619825505128
Nathaniel Hackett,2022,236,2.54237288135594,2.36898917853793,-0.186574015389512,0.173383702818006
Luke Getsy,2022,558,1.7921146953405,1.47544543717205,0.0665201919727483,0.316669258168453
Kellen Moore,2022,588,2.2108843537415,2.46738396994025,-0.0319744955327005,-0.256499616198754
Parks Frazier,2022,228,2.63157894736842,2.50553326933234,-0.0747793781950971,0.126045678036078
Klint Kubiak,2022,208,1.92307692307693,1.73384479459436,-0.0257455266367357,0.18923212848257
Eric Bieniemy,2023,359,1.67130919220056,2.12620059034753,-0.0562061845561007,-0.454891398146974
Bobby Slowik,2023,480,2.08333333333333,1.77062789874981,-0.163435735515668,0.312705434583528
Nathaniel Hackett,2023,388,2.57731958762887,1.88800776950396,-0.227300700846791,0.689311818124911
Matt Canada,2023,279,2.8673835125448,1.78542571902979,-0.0627198566892928,1.08195779351501
Arthur Smith,2023,522,0.957854406130268,1.44737279655064,-0.133531728655927,-0.489518390420376
Matt LaFleur,2023,502,1.59362549800797,2.04949479999319,-0.0731599336968683,-0.455869301985225
Kevin Stefanski,2023,538,2.23048327137546,1.85131672212593,-0.130154252426221,0.379166549249538
Zac Taylor,2023,383,2.088772845953,2.10005352892135,-0.0790524422227558,-0.0112806829683509
Mike Kafka,2023,454,2.20264317180617,1.9923223378497,-0.192884843890855,0.210320833956469
Andy Reid,2023,537,0.186219739292365,2.27222248922806,-0.0839496861824167,-2.08600274993569
Sean McVay,2023,494,0.607287449392712,1.68576895436418,-0.00733056530612797,-1.07848150497147
Luke Getsy,2023,534,3.37078651685394,1.8555009430331,0.0141042728563038,1.51528557382084
Mike McCarthy,2023,493,1.62271805273833,1.98713127320229,-0.00809459431516299,-0.364413220463955
