caller,seasons,n,actual,resid,epa
Joe Brady,2,215,30.6976744186047,17.394376577333,0.208027992137643
Sean Payton,3,223,22.4215246636771,9.22102760105924,0.0332285387633628
Kellen Moore,4,348,22.9885057471264,8.08210778799465,0.124494794766879
Kyle Shanahan,3,288,19.4444444444444,7.03774506190611,0.110731390822265
Zac Taylor,3,210,17.1428571428571,4.80282854732303,0.0518854546050231
Shane Steichen,4,344,18.0232558139535,3.99596900408438,0.217537625183806
Mike Kafka,3,206,15.0485436893204,1.95714611315973,0.15627250740829
Arthur Smith,4,274,13.5036496350365,0.0534603513274216,0.00097910196513585
Greg Roman,3,267,13.4831460674157,-0.593089954997325,0.0906778680028093
Matt LaFleur,4,292,8.56164383561644,-4.68123421943683,0.0126455391769948
Todd Monken,3,242,8.26446280991735,-4.99669995162759,0.384757794993968
Sean McVay,3,223,6.2780269058296,-6.91125974510149,0.088013480513486
Ben Johnson,4,295,6.4406779661017,-8.33379915994355,0.135710342809305
Andy Reid,4,314,1.27388535031847,-12.9042861863057,0.133570608267691
Kliff Kingsbury,3,246,1.6260162601626,-13.1874003260192,0.0540542187608355
