caller,season,n,actual,expected,epa,resid
Andy Reid,2022,74,2.70270270270271,11.417663431525,0.0100581484871942,-8.71496072882233
Pete Carmichael,2022,61,8.19672131147541,15.5086740797966,0.07262016551905,-7.31195276832117
Zac Taylor,2022,82,23.1707317073171,12.419502393388,0.01830524760412,10.7512293139291
Mike McDaniel,2022,60,8.33333333333333,13.5520792116101,-0.0964889804522196,-5.21874587827673
Kevin Stefanski,2022,75,25.3333333333333,16.6335266275952,0.302660085260868,8.69980670573811
Kyle Shanahan,2022,104,18.2692307692308,11.2426144294799,-0.0442323343685041,7.02661633975087
Greg Roman,2022,99,9.09090909090909,15.0217423408358,-0.00647233622242735,-5.93083324992672
Matt Canada,2022,79,25.3164556962025,15.23043264965,0.283076934799363,10.0860230465526
Ben McAdoo,2022,65,9.23076923076923,13.5860540323819,0.185171835697614,-4.35528480161268
Byron Leftwich,2022,79,7.59493670886076,16.4023952694209,-0.223349955734573,-8.80745856056013
Shane Waldron,2022,60,11.6666666666667,12.1490458205032,0.0337061330676078,-0.48237915383652
Shane Steichen,2022,117,35.8974358974359,14.6972463569707,0.298514464153693,21.2001895404652
Joe Lombardi,2022,74,16.2162162162162,17.0675685358662,0.0745181674892836,-0.851352319649951
Scott Turner,2022,69,5.79710144927536,16.0495110787451,0.0438372566216234,-10.2524096294698
Kliff Kingsbury,2022,65,3.07692307692308,17.5040091452404,-0.063537399814679,-14.4270860683173
Doug Pederson,2022,75,18.6666666666667,15.3276794863244,0.0969754679997761,3.33898718034228
Josh McDaniels,2022,69,8.69565217391305,9.97526957383514,-0.0810891972935718,-1.2796173999221
Ken Dorsey,2022,76,15.7894736842105,13.3731825252701,0.136079256471835,2.41629115894044
Matt LaFleur,2022,64,4.6875,12.8185998277331,-0.0479548764415085,-8.13109982773312
Mike Kafka,2022,72,18.0555555555556,11.6040468603993,0.363042907582389,6.45150869515621
Arthur Smith,2022,72,9.72222222222222,11.9106747404051,0.0787480044075184,-2.18845251818291
Ben Johnson,2022,68,2.94117647058824,14.7412893492455,-0.0358897282139342,-11.8001128786572
Luke Getsy,2022,62,16.1290322580645,12.6808788349491,0.329442340009395,3.44815342311537
Kellen Moore,2022,94,12.7659574468085,15.2447628540958,0.317754582204717,-2.47880540728727
Bobby Slowik,2023,60,15,12.9674178315327,-0.349093382308881,2.03258216846735
Arthur Smith,2023,62,6.45161290322581,12.1008689612931,-0.233232206154254,-5.64925605806732
Matt LaFleur,2023,75,10.6666666666667,13.3572820791354,-0.0731701056162516,-2.69061541246871
Kevin Stefanski,2023,76,15.7894736842105,12.7888781318784,0.161228079937006,3.0005955523321
Mike Kafka,2023,60,16.6666666666667,14.5717334328219,-0.259228092432022,2.09493323384473
Andy Reid,2023,79,1.26582278481013,14.748601481625,0.0559411414816408,-13.4827786968149
Sean McVay,2023,64,4.6875,12.4067863042001,0.236699553148355,-7.71928630420007
Luke Getsy,2023,66,25.7575757575758,14.042833672526,0.128940978285038,11.7147420850498
Mike McCarthy,2023,71,11.2676056338028,13.2528310864639,0.183574295904435,-1.98522545266109
Todd Monken,2023,82,2.4390243902439,13.3912499181972,0.445743192986744,-10.9522255279533
Press Taylor,2023,64,14.0625,15.9663078833546,-0.204846028937027,-1.9038078833546
Shane Steichen,2023,71,4.22535211267606,12.7496472900917,0.013920548936011,-8.52429517741564
Ben Johnson,2023,77,5.19480519480519,12.9506139876926,0.182239046344509,-7.75580879288738
Sean Payton,2023,73,30.1369863013699,14.2910625032876,0.0112085040301494,15.8459237980822
Kellen Moore,2023,68,16.1764705882353,14.6957534002414,-0.151750973480589,1.48071718799389
Dave Canales,2023,61,4.91803278688524,12.9191436331536,0.159069624103484,-8.00111084626835
Brian Johnson,2023,78,52.5641025641026,17.0748004098781,0.285379105653518,35.4893021542245
Ken Dorsey,2023,67,19.4029850746269,11.1493280240849,0.353932850841266,8.25365705054199
Bill O'Brien,2023,70,17.1428571428571,12.2721805855898,-0.155670251165117,4.87067655726735
Kyle Shanahan,2023,103,14.5631067961165,11.1200645584071,0.280357051315238,3.44304223770945
Pete Carmichael,2023,68,5.88235294117647,12.3001414248446,0.239723544786958,-6.41778848366812
Joe Brady,2024,111,33.3333333333334,13.9881231327046,0.241367648313711,19.3452102006287
Arthur Smith,2024,63,17.4603174603175,14.995210828437,-0.164853468359936,2.46510663188047
Andy Reid,2024,82,1.21951219512195,15.5246434284647,0.10578485996258,-14.3051312333427
Drew Petzing,2024,69,7.2463768115942,12.3799537841663,-0.134535619314166,-5.13357697257206
Sean Payton,2024,68,20.5882352941177,12.1179203591857,0.213802841656348,8.47031493493192
Klint Kubiak,2024,62,9.67741935483871,14.6888595562609,0.240391644498994,-5.01144020142214
Sean McVay,2024,82,9.7560975609756,11.5938288318675,0.0804787200035117,-1.83773127089187
Kellen Moore,2024,116,40.5172413793103,14.1254584485633,0.205652403067155,26.3917829307471
Shane Steichen,2024,74,2.7027027027027,13.0370356444571,0.156136633576574,-10.3343329417544
Greg Roman,2024,85,11.7647058823529,13.8479384128004,0.173781557468807,-2.08323253044749
Todd Monken,2024,90,10,13.9197986019361,0.397662205828561,-3.91979860193614
Ben Johnson,2024,78,6.41025641025641,14.9144823639057,0.265406327274365,-8.50422595364925
Kevin O'Connell,2024,60,21.6666666666667,14.6006836439483,-0.0616247388223806,7.06598302271838
Press Taylor,2024,75,20,13.8500922402988,0.0171423033873241,6.14990775970121
Brian Daboll,2024,66,21.2121212121212,14.9697431391387,-0.00729997817314022,6.24237807298248
Zac Taylor,2024,60,11.6666666666667,12.4321585451253,-0.102164281407992,-0.765491878458612
Matt LaFleur,2024,80,10,10.7905551436124,0.113736233208328,-0.790555143612439
Zac Robinson,2024,83,3.6144578313253,14.5049267325057,0.0168301901185371,-10.8904689011804
Kliff Kingsbury,2024,111,1.8018018018018,14.6132980007678,0.231903677051132,-12.811496198966
