measure,n_callers_splithalf,splithalf_r,splithalf_lo,splithalf_hi,splithalf_drop3,splithalf_spearman,same_dc_r,n_same_dc,dc_changed_r,n_dc_changed,travel_r,travel_lo,travel_hi,travel_p,n_movers,mover_mean_abs_shift,between_caller_sd,coach_attribution
drop8,36,0.667,0.433,0.817,0.461,0.585,0.547,57,0.001,39,0.729,0.297,0.913,0.0047,13,1.52,2.17,coach (clean)
F_COVER6,36,0.725,0.52,0.851,0.645,0.782,0.731,57,-0.047,39,0.724,0.289,0.912,0.0051,13,3.39,6.18,coach (clean)
rotate,36,0.901,0.813,0.949,0.839,0.832,0.817,57,0.359,39,0.702,0.246,0.904,0.00747,13,5.1,8.2,coach-leaning
F_COVER2,36,0.787,0.619,0.887,0.711,0.752,0.802,57,-0.096,39,0.62,0.104,0.873,0.0239,13,5.78,7.76,coach (clean)
F_COVER0,36,0.755,0.567,0.868,0.577,0.712,0.706,57,-0.034,39,0.581,0.044,0.857,0.0373,13,1.43,1.95,coach (clean)
F_COVER3,36,0.767,0.587,0.875,0.661,0.747,0.72,57,-0.067,39,0.506,-0.062,0.827,0.0774,13,7.58,8.62,coach-leaning
F_COVER4,36,0.568,0.294,0.755,0.393,0.517,0.527,57,-0.076,39,0.492,-0.082,0.82,0.088,13,4.71,5.45,coach-leaning
F_COVER2MAN,36,0.641,0.396,0.801,0.454,0.63,0.567,57,0.067,39,0.461,-0.121,0.807,0.113,13,0.85,1.36,coach-leaning
is_man,36,0.747,0.555,0.864,0.655,0.739,0.641,57,0.308,39,0.449,-0.136,0.802,0.124,13,4.8,6.21,unresolved: coach ~= building
F_COVER1,36,0.749,0.557,0.865,0.673,0.723,0.654,57,0.298,39,0.403,-0.191,0.78,0.173,13,4.3,5.37,unresolved: coach ~= building
mof_open,36,0.811,0.658,0.9,0.715,0.796,0.698,57,0.262,39,0.312,-0.289,0.736,0.3,13,4.9,4.95,unresolved: coach ~= building
