caller,n_pa,n_charted,blank_pct,oz_charted,oz_lower_bound,oz_upper_bound,bound_width
Arthur Smith,632,562,11.1,61,54.3,65.3,11
Mike McCarthy,287,196,31.7,58.2,39.7,71.4,31.7
Andy Reid,612,415,32.2,57.3,38.9,71.1,32.2
Shane Waldron,369,333,9.8,57.1,51.5,61.2,9.7
Dave Canales,449,371,17.4,57.1,47.2,64.6,17.4
Sean McVay,759,583,23.2,55.1,42.3,65.5,23.2
Bobby Slowik,337,287,14.8,53.3,45.4,60.2,14.8
Kevin O'Connell,759,509,32.9,52.7,35.3,68.2,32.9
Luke Getsy,340,274,19.4,51.1,41.2,60.6,19.4
Klint Kubiak,364,302,17,49.7,41.2,58.2,17
Sean Payton,485,399,17.7,48.4,39.8,57.5,17.7
Ben Johnson,817,630,22.9,48.1,37.1,60,22.9
Mike Kafka,447,325,27.3,47.7,34.7,62,27.3
Kyle Shanahan,571,472,17.3,46.8,38.7,56,17.3
Todd Downing,259,204,21.2,46.6,36.7,57.9,21.2
Press Taylor,261,198,24.1,46.5,35.2,59.4,24.2
Matt LaFleur,614,457,25.6,44.9,33.4,59,25.6
Kellen Moore,587,432,26.4,44.9,33,59.5,26.5
Joe Brady,363,281,22.6,44.5,34.4,57,22.6
Liam Coen,297,226,23.9,43.8,33.3,57.2,23.9
Mike McDaniel,762,739,3,39.1,37.9,40.9,3
Kevin Stefanski,467,294,37,37.4,23.6,60.6,37
Ken Dorsey,370,216,41.6,37,21.6,63.2,41.6
Scott Turner,263,168,36.1,35.7,22.8,58.9,36.1
Todd Monken,424,285,32.8,35.4,23.8,56.6,32.8
Shane Steichen,704,470,33.2,33.2,22.2,55.4,33.2
Greg Roman,517,330,36.2,30.3,19.3,55.5,36.2
Zac Taylor,510,353,30.8,28.6,19.8,50.6,30.8
Drew Petzing,483,314,35,26.8,17.4,52.4,35
Kliff Kingsbury,475,287,39.6,20.9,12.6,52.2,39.6
Josh McDaniels,356,239,32.9,20.5,13.8,46.6,32.8
